ec33b4b1cbc0c15a3cc1db3c7f3989075c936b2ad2a16e7691a6747b88dc4801,1334a2fa0dafdcda785b01e3b6198e7871f9bdd042a796e6f542fe6052d4d3a1,78fd092473a81c6eac48784f4fedecf8e91c4d6b3e72c0d111b228c8e268d2dd,48c5fc8296eca23a124faaa4a275671c617a10c7667979443b0d7fd4b48e382f,8882c9c23a2ac99262c18e30562daaade8862e795c71501b64a9161a6673efd9,63688bb6900a93d21e8af85c79ccad39824d7359ca8c9e2c8d2df0b8ac391584,af54c9eecde8971ba0a318c088ddf5b3a92dfd12c05245ea58000fa717fc942f
"花開季節的真心","0:00","故事劇情主題曲\n-「映照在眼中的倒影」編曲-\n\n時間 / 01:20\n作曲 / ReNee\n編曲 / 多田彰文","bgm_MC143_juke","1:20","bgm_MC143","357"
"魔物植物‧莫培爾培","0:00","故事劇情Boss戰\n\n時間 / 02:25\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC145_juke","2:25","bgm_MC145","358"
"映照在眼中的倒影","0:50","角色歌曲\n\n時間 / 01:29\n演唱　 / 鈴莓（悠木碧）\n　　　鏡華（小倉唯）\n作詞 / ReNee\n作曲 / ReNee\n編曲 / 戸嶋友祐","bgm_MC152","1:29","bgm_MC152","359"
"坐鎮於煉獄之物","0:00","主線冒險Boss戰\n-｢業火燃燒的密林｣編曲-\n\n時間 / 01:31\n作曲 / 松尾早人、IM.Lab\n編曲 / 松尾早人","bgm_MC142_juke","1:31","bgm_MC142","360"
"大夢想樂園大遊行　寶石兔與祕密的夥伴們","0:00","故事劇情主題曲\n-《神奇寶石遊行！》編曲-\n\n時間 / 02:43\n作曲 / INN\n編曲 / 小出大和（Cygames）","bgm_MC147_juke","2:43","bgm_MC147","361"
"捲土重來‧吉諾","0:00","故事劇情Boss戰\n\n時間 / 01:42\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC150_juke","1:42","bgm_MC150","362"
"神奇寶石遊行！","0:48","角色歌曲\n\n時間 / 01:23\n歌　 / 庫露露（田中美海）\n作詞 / 松井洋平\n作曲 / INN\n編曲 / INN","bgm_MC153","1:23","bgm_MC153","363"
"大夢想樂園導覽","0:00","故事劇情迷你內容\n-《神奇寶石遊行！》編曲-\n\n時間 / 02:47\n作曲 / INN\n編曲 / IM.Lab","bgm_MC148_juke","2:47","bgm_MC148","364"
"集合吧，做好事社團！　美空的愉快暑假","0:00","故事劇情主題曲\n-《Ai-愛的逃亡★》、《最終冒險★》編曲-\n\n時間 / 01:45\n作曲 / 梯拓哉（Cygames）、IM.Lab\n編曲 / 塚越廉","bgm_MC156_juke","1:45","bgm_MC156","365"
"盛夏的發狂史萊姆","0:00","故事劇情Boss戰\n\n時間 / 02:00\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC158_juke","2:00","bgm_MC158","366"
"Ai-愛的逃亡★","0:42","角色歌曲\n\n時間 / 01:24\n歌　 / 美空（鬼頭明里）\n作詞 / 岩井彩夏\n作曲 / 梯拓哉（Cygames）\n編曲 / 梯拓哉（Cygames）","bgm_MC154","1:24","bgm_MC154","367"
"修復夏日相片","0:00","故事劇情迷你內容\n-《Ai-愛的逃亡★》編曲-\n\n時間 / 01:48\n作曲 / 梯拓哉（Cygames）\n編曲 / 古見千桜子（Cygames）","bgm_MC157_juke","1:48","bgm_MC157","368"
"幻惑的妖精　-於盛夏之園起舞的身影-","0:00","故事劇情主題曲\n-「Re:collection」編曲-\n\n時間 / 01:27\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","bgm_MC162_juke","1:27","bgm_MC162","369"
"混沌生成系統","0:00","故事劇情Boss戰\n\n時間 / 02:15\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC164_juke","2:15","bgm_MC164","370"
"Re:collection","0:50","角色歌曲\n\n時間 / 01:28\n演唱　 / 愛梅斯（相坂優歌）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","bgm_MC193","1:28","bgm_MC193","371"
"水都的回憶","0:00","故事劇情迷你內容\n-「Re:collection」編曲-\n\n時間 / 01:49\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 小半大","bgm_MC163A_juke","1:49","bgm_MC163A","372"
"煉獄之叛亂","0:00","煉獄之叛亂\n\n時間 / 1:29\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC178A_juke","1:29","bgm_MC178A","373"
"煉獄之叛亂　-六凶‧魔蜘蛛阿剌克涅-","0:00","煉獄之叛亂\n\n時間 / 1:39\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC178B_juke","1:39","bgm_MC178B","374"
"與魔蜘蛛僕人的戰鬥","0:00","煉獄之叛亂Boss戰\n\n時間 / 1:40\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC179A_juke","1:40","bgm_MC179A","375"
"拿不准的盜賊三姊妹","0:00","煉獄之叛亂Boss戰\n\n時間 / 1:40\n作曲 / 植田能平‧関根修平（Cygames）\n編曲 / 植田能平","bgm_MC179B_juke","1:40","bgm_MC179B","376"
"與革命少女的戰鬥","0:00","煉獄之叛亂Boss戰\n\n時間 / 2:07\n作曲 / IM.Lab‧Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC180_juke","2:07","bgm_MC180","377"
"潛藏在地底煉獄的災禍","0:00","煉獄之叛亂Boss戰\n\n時間 / 2:05\n作曲 / IM.Lab\n編曲 / 東大路憲太","bgm_MC181A_juke","2:05","bgm_MC181A","378"
"甦醒的六凶‧魔蜘蛛阿剌克涅","0:00","煉獄之叛亂Boss戰\n\n時間 / 2:08\n作曲 / IM.Lab\n編曲 / 東大路憲太","bgm_MC181B_juke","2:08","bgm_MC181B","379"
"再臨的公主造型冰龍","0:00","煉獄之叛亂Boss戰\n-「Yes！ Precious Harmony！」編曲-\n\n時間 / 2:49\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 中川峻彰","bgm_MC182_juke","2:49","bgm_MC182","380"
"雪菲","0:00","角色主題曲\n\n時間 / 1:47\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_M408_juke","1:47","bgm_M408","381"
"芙蕾雅","0:00","角色主題曲\n\n時間 / 2:50\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC069_juke","2:50","bgm_MC069","382"
"阿剌克涅","0:00","角色主題曲\n\n時間 / 1:55\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC059_juke","1:55","bgm_MC059","383"
"顯現的魔蜘蛛真容","0:00","主線劇情\n\n時間 / 3:15\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC176B_juke","3:15","bgm_MC176B","384"
"望的一日店長記　這裡是阿爾克絲鍊金堂","0:00","故事劇情主題曲\n-《Dance in the Fragrance》《阿爾克絲鍊金堂》\n編曲-\n\n時間 / 01:37\n作曲 / 山本真央樹、小出大和（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC186_juke","1:37","bgm_MC186","385"
"惡毒巨蛇","0:00","故事劇情Boss戰\n\n時間 / 01:34\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC188_juke","1:34","bgm_MC188","386"
"Dance in the Fragrance","0:55","角色歌曲\n\n時間 / 01:24\n演唱　 / 望（日笠陽子）\n　　　露易絲瑪莉（鈴代紗弓）\n　　　彩羽（青山吉能）\n　　　苑（井上ほの花）\n作詞 / 児玉雨子\n作曲 / 山本真央樹\n編曲 / 山本真央","bgm_MC207","1:24","bgm_MC207","387"
"阿爾克絲鍊金堂　業務日誌","0:00","故事劇情迷你內容\n-《Dance in the Fragrance》編曲-\n\n時間 / 02:01\n作曲 / 山本真央樹\n編曲 / Enarak（Cygames）","bgm_MC187_juke","2:01","bgm_MC187","388"
"阿爾克絲鍊金堂","0:00","角色主題曲\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC189A_juke","1:39","bgm_MC189A","389"
"阿爾克絲鍊金堂（化學Ver.）","0:00","角色主題曲\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）、岡本優一（Cygames）","bgm_MC189B_juke","1:39","bgm_MC189B","390"
"蠻賊歸來　炎國的無法無天姊妹","0:00","故事劇情主題曲\n-「狂野蠻賊表演時間！！」編曲-\n\n時間 / 01:55\n作曲 / 関根修平（Cygames）\n編曲 / 塚越廉","bgm_MC194_juke","1:55","bgm_MC194","391"
"超級 衝刺喬","0:00","故事劇情Boss戰\n\n時間 / 01:37\n作曲 / 中村博\n編曲 / 中村博","bgm_MC196_juke","1:37","bgm_MC196","392"
"狂野蠻賊表演時間！！","0:39","角色歌曲\n\n時間 / 01:20\n演唱　 / 倭（ファイルーズあい）\n　　　若菜 (石見舞菜香)\n　　　布武機 (花井美春)\n作詞 / 岩井彩夏（Cygames）、佐藤遥（Cygames）\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC208","1:20","bgm_MC208","393"
"衝突！破壞！非法坦克大戰","0:00","小遊戲\n-「狂野蠻賊表演時間！！」編曲-\n\n時間 / 01:54\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC198_juke","1:54","bgm_MC198","394"
"出擊吧！戰車戰鬥！","0:00","小遊戲\n-「蠻賊三姊妹」編曲-\n\n時間 / 00:23\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC199_Battle","0:23","bgm_MC199","395"
"Let's！「究極鍊成」！","0:00","究極鍊成\n-「阿爾克絲鍊金堂」編曲-\n\n時間 / 02:05\n作曲 / 小出大和（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC190_juke","2:05","bgm_MC190","396"
"於此地邂逅身經百戰的強敵","0:00","追憶之戰域\n\n時間 / 01:18\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC191_juke","1:18","bgm_MC191","397"
"Love＆Punishment　惡魔送來的聖誕節","0:00","故事劇情主題曲\n-｢今晚，在槲寄生底下｣編曲-\n\n時間 / 03:26\n作曲 / 矢野達也\n編曲 / 小出大和（Cygames）","bgm_MC213_juke","3:26","bgm_MC213","398"
"年幼鬼魂‧吐舌鬼","0:00","故事劇情Boss戰\n\n時間 / 01:37\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC214_juke","1:37","bgm_MC214","399"
"今晚，在槲寄生底下","0:51","角色歌曲\n\n時間 / 01:31\n演唱　 / 萊拉耶爾（河瀬茉希）\n　　　伊緒（伊藤静）\n作詞 / 結城アイラ\n作曲 / 矢野達也\n編曲 / 矢野達也","bgm_MC209","1:31","bgm_MC209","400"
"朱火深淵","0:00","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","bgm_MC165_juke","1:24","bgm_MC165","401"
"轟流深淵","0:00","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","bgm_MC166_juke","1:24","bgm_MC166","402"
"烈風深淵","0:00","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","bgm_MC167_juke","1:24","bgm_MC167","403"
"燦爛深淵","0:00","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","bgm_MC168_juke","1:24","bgm_MC168","404"
"玄闇深淵","0:00","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","bgm_MC169_juke","1:24","bgm_MC169","405"
"征戰深遠的潛魔深淵","0:00","深淵討伐戰\n\n時間 / 01:56\n作曲 / 塚越廉、松尾早人\n編曲 / 塚越廉","bgm_MC170_juke","1:56","bgm_MC170","406"
"迎春吉歐‧格黑納　蛇少女與雙姝劍士","0:00","故事劇情主題曲\n-｢Tiny Twin Stars！！｣編曲-\n\n時間 / 01:21\n作曲 / 金山秀士（Dream Monster）\n編曲 / 岡本優一（Cygames）","bgm_MC215B_juke","1:21","bgm_MC215B","407"
"咒縛的大蛇‧梅杜希亞娜","0:00","故事劇情Boss戰\n\n時間 / 01:35\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC216_juke","1:35","bgm_MC216","408"
"Tiny Twin Stars！！","0:57","角色歌曲\n\n時間 / 01:34\n演唱　 / 梅杜莎（水橋かおり）\n　　　莫妮卡（辻あゆみ）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）\n額外編曲 / 佐藤厚仁 (Dream Monster)","bgm_MC210","1:34","bgm_MC210","409"
"寂靜的永凍冥界","0:00","主線冒險\n\n時間 / 03:09\n作曲 / 東大路憲太\n編曲 / Enarak（Cygames）","bgm_MC201_juke","3:09","bgm_MC201","410"
"吉歐‧尼布爾黑爾之戰","0:00","主線冒險\n\n時間 / 01:36\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC202_juke","1:36","bgm_MC202","411"
"靜寂世界的強敵","0:00","主線冒險Boss戰\n\n時間 / 01:57\n作曲 / 守谷勇人\n編曲 / 守谷勇人","bgm_MC203_juke","1:57","bgm_MC203","412"
"薇歐莉特","0:00","角色主題曲\n-「寂靜的永凍冥界」編曲-\n\n時間 / 02:54\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC160_juke","2:54","bgm_MC160","413"
"三魔姬屬","0:00","角色主題曲\n\n時間 / 03:24\n作曲 / Enarak（Cygames）\n編曲 / 岡本優一（Cygames）、Enarak（Cygames）","bgm_MC205_juke","3:24","bgm_MC205","414"
"潛入‧阿斯特朗　七個願望與創世之殘響","0:00","故事劇情主題曲\n-《Phosphorus》編曲-\n\n時間 / 03:13\n作曲 / 竹次幸司\n編曲 / 小出大和（Cygames）","bgm_MC219_juke","3:13","bgm_MC219","415"
"妖狐神荒尾‧始源","0:00","故事劇情Boss戰\n-《相互碰撞的鬥志》編曲-\n\n時間 / 01:44\n作曲 / 伊藤翼\n編曲 / 岡本優一（Cygames）","bgm_MC223_juke","1:44","bgm_MC223","416"
"始源‧七重冠冕","0:00","故事劇情Boss戰\n\n時間 / 02:24\n作曲 / 中川峻彰、西木康智、伊藤翼、\n　　　サワグチカズヒコ、東大路憲太、ウツミタカアキ、\n　　　伊禮完（Cygames）、白井友規（Cygames）\n編曲 / 中川峻彰","bgm_MC224_juke","2:24","bgm_MC224","417"
"Phosphorus","0:46","角色歌曲\n\n時間 / 01:30\n演唱 / 菲歐（相坂優歌）\n作詞 / カイザー恵理菜、竹次幸司\n作曲 / 竹次幸司\n編曲 / 竹次幸司","bgm_MC245","1:30","bgm_MC245","418"
"阿斯特朗開發錄","0:00","故事劇情迷你內容\n-《Phosphorus》編曲-\n\n時間 / 01:30\n作曲 / 竹次幸司\n編曲 / 塚越廉","bgm_MC220A_juke","1:30","bgm_MC220A","419"
"穿越靜寂的世界","0:00","巡遊\n-《Precious Journey》編曲-\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 小出大和（Cygames）","bgm_MC211_juke","1:39","bgm_MC211","420"
"誓約女君","0:00","角色主題曲\n\n時間 / 01:59\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M23_juke","1:59","bgm_M23","421"
"變貌大妃","0:00","角色主題曲\n\n時間 / 02:55\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M177_juke","2:55","bgm_M177","422"
"迷宮女王","0:00","角色主題曲\n\n時間 / 04:14\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M307_juke","4:14","bgm_M307","423"
"霸瞳皇帝","0:00","角色主題曲\n\n時間 / 01:53\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M49_juke","1:53","bgm_M49","424"
"跳躍王","0:00","角色主題曲\n\n時間 / 02:05\n作曲 / サワグチカズヒコ\n編曲 / サワグチカズヒコ","bgm_M50_juke","2:05","bgm_M50","425"
"嚮導老君","0:00","角色主題曲\n\n時間 / 02:21\n作曲 / ウツミタカアキ、伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M600_juke","2:21","bgm_M600","426"
"緊緊相連","1:04","角色歌曲\n\n時間 / 01:31\n演唱 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / 利根川貴之\n作曲 / 利根川貴之、坂和也\n編曲 / Dr.Usui、坂和也＆Wicky.Recordings","bgm_MC244","1:31","bgm_MC244","427"
