d6647cbeb2c916a4fb1348db3d45ed78b0bc56d717547631cc5c82b52c9b218c,c08a915fbe64027e3e74ae022c19a1843f3821877c161dece7f188f8196f9c25,beef00883481d2f5ef14edb5321510e46d81e647759f25494dd0a54bd15a32e7,77694746595a6f5991f3ad70973de4ed0c16a8f6f54b5b698463ff558193caf6,1a97f96ba8bdee4f100cbeefb37d688dc4b72314c3f6caff1af367ae27b55606,0eea78e2b1cabfd7c1b70f8edec38a073928959da211b67b64f925a6a0346710,c6026e01d261bd7b55158d2a7aaaaf16e1b270df41315f35112676c75e389784
"357","bgm_MC143","花開季節的真心","bgm_MC143_juke","故事劇情主題曲\n-「映照在眼中的倒影」編曲-\n\n時間 / 01:20\n作曲 / ReNee\n編曲 / 多田彰文","1:20","0:00"
"358","bgm_MC145","魔物植物‧莫培爾培","bgm_MC145_juke","故事劇情Boss戰\n\n時間 / 02:25\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","2:25","0:00"
"359","bgm_MC152","映照在眼中的倒影","bgm_MC152","角色歌曲\n\n時間 / 01:29\n演唱　 / 鈴莓（悠木碧）\n　　　鏡華（小倉唯）\n作詞 / ReNee\n作曲 / ReNee\n編曲 / 戸嶋友祐","1:29","0:50"
"360","bgm_MC142","坐鎮於煉獄之物","bgm_MC142_juke","主線冒險Boss戰\n-｢業火燃燒的密林｣編曲-\n\n時間 / 01:31\n作曲 / 松尾早人、IM.Lab\n編曲 / 松尾早人","1:31","0:00"
"361","bgm_MC147","大夢想樂園大遊行　寶石兔與祕密的夥伴們","bgm_MC147_juke","故事劇情主題曲\n-《神奇寶石遊行！》編曲-\n\n時間 / 02:43\n作曲 / INN\n編曲 / 小出大和（Cygames）","2:43","0:00"
"362","bgm_MC150","捲土重來‧吉諾","bgm_MC150_juke","故事劇情Boss戰\n\n時間 / 01:42\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","1:42","0:00"
"363","bgm_MC153","神奇寶石遊行！","bgm_MC153","角色歌曲\n\n時間 / 01:23\n歌　 / 庫露露（田中美海）\n作詞 / 松井洋平\n作曲 / INN\n編曲 / INN","1:23","0:48"
"364","bgm_MC148","大夢想樂園導覽","bgm_MC148_juke","故事劇情迷你內容\n-《神奇寶石遊行！》編曲-\n\n時間 / 02:47\n作曲 / INN\n編曲 / IM.Lab","2:47","0:00"
"365","bgm_MC156","集合吧，做好事社團！　美空的愉快暑假","bgm_MC156_juke","故事劇情主題曲\n-《Ai-愛的逃亡★》、《最終冒險★》編曲-\n\n時間 / 01:45\n作曲 / 梯拓哉（Cygames）、IM.Lab\n編曲 / 塚越廉","1:45","0:00"
"366","bgm_MC158","盛夏的發狂史萊姆","bgm_MC158_juke","故事劇情Boss戰\n\n時間 / 02:00\n作曲 / 田山里奈\n編曲 / 田山里奈","2:00","0:00"
"367","bgm_MC154","Ai-愛的逃亡★","bgm_MC154","角色歌曲\n\n時間 / 01:24\n歌　 / 美空（鬼頭明里）\n作詞 / 岩井彩夏\n作曲 / 梯拓哉（Cygames）\n編曲 / 梯拓哉（Cygames）","1:24","0:42"
"368","bgm_MC157","修復夏日相片","bgm_MC157_juke","故事劇情迷你內容\n-《Ai-愛的逃亡★》編曲-\n\n時間 / 01:48\n作曲 / 梯拓哉（Cygames）\n編曲 / 古見千桜子（Cygames）","1:48","0:00"
"369","bgm_MC162","幻惑的妖精　-於盛夏之園起舞的身影-","bgm_MC162_juke","故事劇情主題曲\n-「Re:collection」編曲-\n\n時間 / 01:27\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","1:27","0:00"
"370","bgm_MC164","混沌生成系統","bgm_MC164_juke","故事劇情Boss戰\n\n時間 / 02:15\n作曲 / 田山里奈\n編曲 / 田山里奈","2:15","0:00"
"371","bgm_MC193","Re:collection","bgm_MC193","角色歌曲\n\n時間 / 01:28\n演唱　 / 愛梅斯（相坂優歌）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","1:28","0:50"
"372","bgm_MC163A","水都的回憶","bgm_MC163A_juke","故事劇情迷你內容\n-「Re:collection」編曲-\n\n時間 / 01:49\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 小半大","1:49","0:00"
"373","bgm_MC178A","煉獄之叛亂","bgm_MC178A_juke","煉獄之叛亂\n\n時間 / 1:29\n作曲 / 中町友洋\n編曲 / 中町友洋","1:29","0:00"
"374","bgm_MC178B","煉獄之叛亂　-六凶‧魔蜘蛛阿剌克涅-","bgm_MC178B_juke","煉獄之叛亂\n\n時間 / 1:39\n作曲 / 中町友洋\n編曲 / 中町友洋","1:39","0:00"
"375","bgm_MC179A","與魔蜘蛛僕人的戰鬥","bgm_MC179A_juke","煉獄之叛亂Boss戰\n\n時間 / 1:40\n作曲 / 植田能平\n編曲 / 植田能平","1:40","0:00"
"376","bgm_MC179B","拿不准的盜賊三姊妹","bgm_MC179B_juke","煉獄之叛亂Boss戰\n\n時間 / 1:40\n作曲 / 植田能平‧関根修平（Cygames）\n編曲 / 植田能平","1:40","0:00"
"377","bgm_MC180","與革命少女的戰鬥","bgm_MC180_juke","煉獄之叛亂Boss戰\n\n時間 / 2:07\n作曲 / IM.Lab‧Enarak（Cygames）\n編曲 / Enarak（Cygames）","2:07","0:00"
"378","bgm_MC181A","潛藏在地底煉獄的災禍","bgm_MC181A_juke","煉獄之叛亂Boss戰\n\n時間 / 2:05\n作曲 / IM.Lab\n編曲 / 東大路憲太","2:05","0:00"
"379","bgm_MC181B","甦醒的六凶‧魔蜘蛛阿剌克涅","bgm_MC181B_juke","煉獄之叛亂Boss戰\n\n時間 / 2:08\n作曲 / IM.Lab\n編曲 / 東大路憲太","2:08","0:00"
"380","bgm_MC182","再臨的公主造型冰龍","bgm_MC182_juke","煉獄之叛亂Boss戰\n-「Yes！ Precious Harmony！」編曲-\n\n時間 / 2:49\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 中川峻彰","2:49","0:00"
"381","bgm_M408","雪菲","bgm_M408_juke","角色主題曲\n\n時間 / 1:47\n作曲 / 中川峻彰\n編曲 / 中川峻彰","1:47","0:00"
"382","bgm_MC069","芙蕾雅","bgm_MC069_juke","角色主題曲\n\n時間 / 2:50\n作曲 / IM.Lab\n編曲 / IM.Lab","2:50","0:00"
"383","bgm_MC059","阿剌克涅","bgm_MC059_juke","角色主題曲\n\n時間 / 1:55\n作曲 / IM.Lab\n編曲 / IM.Lab","1:55","0:00"
"384","bgm_MC176B","顯現的魔蜘蛛真容","bgm_MC176B_juke","主線劇情\n\n時間 / 3:15\n作曲 / IM.Lab\n編曲 / IM.Lab","3:15","0:00"
"385","bgm_MC186","望的一日店長記　這裡是阿爾克絲鍊金堂","bgm_MC186_juke","故事劇情主題曲\n-《Dance in the Fragrance》《阿爾克絲鍊金堂》\n編曲-\n\n時間 / 01:37\n作曲 / 山本真央樹、小出大和（Cygames）\n編曲 / 小出大和（Cygames）","1:37","0:00"
"386","bgm_MC188","惡毒巨蛇","bgm_MC188_juke","故事劇情Boss戰\n\n時間 / 01:34\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","1:34","0:00"
"387","bgm_MC207","Dance in the Fragrance","bgm_MC207","角色歌曲\n\n時間 / 01:24\n演唱　 / 望（日笠陽子）\n　　　露易絲瑪莉（鈴代紗弓）\n　　　彩羽（青山吉能）\n　　　苑（井上ほの花）\n作詞 / 児玉雨子\n作曲 / 山本真央樹\n編曲 / 山本真央","1:24","0:55"
"388","bgm_MC187","阿爾克絲鍊金堂　業務日誌","bgm_MC187_juke","故事劇情迷你內容\n-《Dance in the Fragrance》編曲-\n\n時間 / 02:01\n作曲 / 山本真央樹\n編曲 / Enarak（Cygames）","2:01","0:00"
"389","bgm_MC189A","阿爾克絲鍊金堂","bgm_MC189A_juke","角色主題曲\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 岡本優一（Cygames）","1:39","0:00"
"390","bgm_MC189B","阿爾克絲鍊金堂（化學Ver.）","bgm_MC189B_juke","角色主題曲\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）、岡本優一（Cygames）","1:39","0:00"
"391","bgm_MC194","蠻賊歸來　炎國的無法無天姊妹","bgm_MC194_juke","故事劇情主題曲\n-「狂野蠻賊表演時間！！」編曲-\n\n時間 / 01:55\n作曲 / 関根修平（Cygames）\n編曲 / 塚越廉","1:55","0:00"
"392","bgm_MC196","超級 衝刺喬","bgm_MC196_juke","故事劇情Boss戰\n\n時間 / 01:37\n作曲 / 中村博\n編曲 / 中村博","1:37","0:00"
"393","bgm_MC208","狂野蠻賊表演時間！！","bgm_MC208","角色歌曲\n\n時間 / 01:20\n演唱　 / 倭（ファイルーズあい）\n　　　若菜 (石見舞菜香)\n　　　布武機 (花井美春)\n作詞 / 岩井彩夏（Cygames）、佐藤遥（Cygames）\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","1:20","0:39"
"394","bgm_MC198","衝突！破壞！非法坦克大戰","bgm_MC198_juke","小遊戲\n-「狂野蠻賊表演時間！！」編曲-\n\n時間 / 01:54\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","1:54","0:00"
"395","bgm_MC199","出擊吧！戰車戰鬥！","bgm_MC199_Battle","小遊戲\n-「蠻賊三姊妹」編曲-\n\n時間 / 00:23\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","0:23","0:00"
"396","bgm_MC190","Let's！「究極鍊成」！","bgm_MC190_juke","究極鍊成\n-「阿爾克絲鍊金堂」編曲-\n\n時間 / 02:05\n作曲 / 小出大和（Cygames）\n編曲 / Enarak（Cygames）","2:05","0:00"
"397","bgm_MC191","於此地邂逅身經百戰的強敵","bgm_MC191_juke","追憶之戰域\n\n時間 / 01:18\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","1:18","0:00"
"398","bgm_MC213","Love＆Punishment　惡魔送來的聖誕節","bgm_MC213_juke","故事劇情主題曲\n-｢今晚，在槲寄生底下｣編曲-\n\n時間 / 03:26\n作曲 / 矢野達也\n編曲 / 小出大和（Cygames）","3:26","0:00"
"399","bgm_MC214","年幼鬼魂‧吐舌鬼","bgm_MC214_juke","故事劇情Boss戰\n\n時間 / 01:37\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）","1:37","0:00"
"400","bgm_MC209","今晚，在槲寄生底下","bgm_MC209","角色歌曲\n\n時間 / 01:31\n演唱　 / 萊拉耶爾（河瀬茉希）\n　　　伊緒（伊藤静）\n作詞 / 結城アイラ\n作曲 / 矢野達也\n編曲 / 矢野達也","1:31","0:51"
"401","bgm_MC165","朱火深淵","bgm_MC165_juke","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","1:24","0:00"
"402","bgm_MC166","轟流深淵","bgm_MC166_juke","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","1:24","0:00"
"403","bgm_MC167","烈風深淵","bgm_MC167_juke","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","1:24","0:00"
"404","bgm_MC168","燦爛深淵","bgm_MC168_juke","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","1:24","0:00"
"405","bgm_MC169","玄闇深淵","bgm_MC169_juke","深淵討伐戰\n\n時間 / 01:24\n作曲 / 松尾早人、塚越廉、IM.Lab\n編曲 / IM.Lab","1:24","0:00"
"406","bgm_MC170","征戰深遠的潛魔深淵","bgm_MC170_juke","深淵討伐戰\n\n時間 / 01:56\n作曲 / 塚越廉、松尾早人\n編曲 / 塚越廉","1:56","0:00"
"407","bgm_MC215B","迎春吉歐‧格黑納　蛇少女與雙姝劍士","bgm_MC215B_juke","故事劇情主題曲\n-｢Tiny Twin Stars！！｣編曲-\n\n時間 / 01:21\n作曲 / 金山秀士（Dream Monster）\n編曲 / 岡本優一（Cygames）","1:21","0:00"
"408","bgm_MC216","咒縛的大蛇‧梅杜希亞娜","bgm_MC216_juke","故事劇情Boss戰\n\n時間 / 01:35\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","1:35","0:00"
"409","bgm_MC210","Tiny Twin Stars！！","bgm_MC210","角色歌曲\n\n時間 / 01:34\n演唱　 / 梅杜莎（水橋かおり）\n　　　莫妮卡（辻あゆみ）\n作詞 / 金山秀士（Dream Monster）\n作曲 / 金山秀士（Dream Monster）\n編曲 / 金山秀士（Dream Monster）\n額外編曲 / 佐藤厚仁 (Dream Monster)","1:34","0:57"
"410","bgm_MC201","寂靜的永凍冥界","bgm_MC201_juke","主線冒險\n\n時間 / 03:09\n作曲 / 東大路憲太\n編曲 / Enarak（Cygames）","3:09","0:00"
"411","bgm_MC202","吉歐‧尼布爾黑爾之戰","bgm_MC202_juke","主線冒險\n\n時間 / 01:36\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","1:36","0:00"
"412","bgm_MC203","靜寂世界的強敵","bgm_MC203_juke","主線冒險Boss戰\n\n時間 / 01:57\n作曲 / 守谷勇人\n編曲 / 守谷勇人","1:57","0:00"
"413","bgm_MC160","薇歐莉特","bgm_MC160_juke","角色主題曲\n-「寂靜的永凍冥界」編曲-\n\n時間 / 02:54\n作曲 / 東大路憲太\n編曲 / 東大路憲太","2:54","0:00"
"414","bgm_MC205","三魔姬屬","bgm_MC205_juke","角色主題曲\n\n時間 / 03:24\n作曲 / Enarak（Cygames）\n編曲 / 岡本優一（Cygames）、Enarak（Cygames）","3:24","0:00"
"415","bgm_MC219","潛入‧阿斯特朗　七個願望與創世之殘響","bgm_MC219_juke","故事劇情主題曲\n-《Phosphorus》編曲-\n\n時間 / 03:13\n作曲 / 竹次幸司\n編曲 / 小出大和（Cygames）","3:13","0:00"
"416","bgm_MC223","妖狐神荒尾‧始源","bgm_MC223_juke","故事劇情Boss戰\n-《相互碰撞的鬥志》編曲-\n\n時間 / 01:44\n作曲 / 伊藤翼\n編曲 / 岡本優一（Cygames）","1:44","0:00"
"417","bgm_MC224","始源‧七重冠冕","bgm_MC224_juke","故事劇情Boss戰\n\n時間 / 02:24\n作曲 / 中川峻彰、西木康智、伊藤翼、\n　　　サワグチカズヒコ、東大路憲太、ウツミタカアキ、\n　　　伊禮完（Cygames）、白井友規（Cygames）\n編曲 / 中川峻彰","2:24","0:00"
"418","bgm_MC245","Phosphorus","bgm_MC245","角色歌曲\n\n時間 / 01:30\n演唱 / 菲歐（相坂優歌）\n作詞 / カイザー恵理菜、竹次幸司\n作曲 / 竹次幸司\n編曲 / 竹次幸司","1:30","0:46"
"419","bgm_MC220A","阿斯特朗開發錄","bgm_MC220A_juke","故事劇情迷你內容\n-《Phosphorus》編曲-\n\n時間 / 01:30\n作曲 / 竹次幸司\n編曲 / 塚越廉","1:30","0:00"
"420","bgm_MC211","穿越靜寂的世界","bgm_MC211_juke","巡遊\n-《Precious Journey》編曲-\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 小出大和（Cygames）","1:39","0:00"
"421","bgm_M23","誓約女君","bgm_M23_juke","角色主題曲\n\n時間 / 01:59\n作曲 / 伊藤翼\n編曲 / 伊藤翼","1:59","0:00"
"422","bgm_M177","變貌大妃","bgm_M177_juke","角色主題曲\n\n時間 / 02:55\n作曲 / 東大路憲太\n編曲 / 東大路憲太","2:55","0:00"
"423","bgm_M307","迷宮女王","bgm_M307_juke","角色主題曲\n\n時間 / 04:14\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","4:14","0:00"
"424","bgm_M49","霸瞳皇帝","bgm_M49_juke","角色主題曲\n\n時間 / 01:53\n作曲 / 西木康智\n編曲 / 西木康智","1:53","0:00"
"425","bgm_M50","跳躍王","bgm_M50_juke","角色主題曲\n\n時間 / 02:05\n作曲 / サワグチカズヒコ\n編曲 / サワグチカズヒコ","2:05","0:00"
"426","bgm_M600","嚮導老君","bgm_M600_juke","角色主題曲\n\n時間 / 02:21\n作曲 / ウツミタカアキ、伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","2:21","0:00"
"427","bgm_MC244","緊緊相連","bgm_MC244","角色歌曲\n\n時間 / 01:31\n演唱 / 優衣（種田梨沙）\n　　　日和（東山奈央）\n　　　怜（早見沙織）\n作詞 / 利根川貴之\n作曲 / 利根川貴之、坂和也\n編曲 / Dr.Usui、坂和也＆Wicky.Recordings","1:31","1:04"
"428","bgm_MC226","Andante‧With‧You　祈禱的雙唱響起時","bgm_MC226_juke","故事劇情主題曲\n-《星詠的祈禱之歌》編曲-\n\n時間 / 01:21\n作曲 / Enarak（Cygames）\n編曲 / 吉川美矩","1:21","0:00"
"429","bgm_MC228","歪音之精靈","bgm_MC228_juke","故事劇情Boss戰\n\n時間 / 00:50\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","0:50","0:00"
"430","bgm_MC246","星詠的祈禱之歌","bgm_MC246","角色歌曲\n\n時間 / 01:30\n演唱　 / 千歌（福原綾香）\n　　　蘭法（原田彩楓）\n作詞 / Enarak（Cygames）\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","1:30","0:45"
"431","bgm_MC227B","演唱會海報","bgm_MC227B_juke","故事劇情迷你內容\n-《星詠的祈禱之歌》編曲-\n\n時間 / 01:58\n作曲 / Enarak（Cygames）\n編曲 / 多田彰文","1:58","0:00"
"432","bgm_M55","魔星獸決戰","bgm_M55_juke","戰隊競賽\n\n時間 / 03:06\n作曲 / 東大路憲太\n編曲 / 東大路憲太","3:06","0:00"
"433","bgm_MC234B","超鋼少女巨型克蘿茜　～大出擊！蘭德索爾爆炸4.1秒前～","bgm_MC234B_juke","故事劇情主題曲\n-《愛！勇氣！巨型克蘿茜》編曲-\n\n時間 / 01:11\n作曲 / 千葉梓（Cygames）\n編曲 / 岡本優一（Cygames）","1:11","0:00"
"434","bgm_MC236","巨鋼機獸‧改造蓋登","bgm_MC236_juke","故事劇情Boss戰\n\n時間 / 02:59\n作曲 / 田山里奈‧千葉梓（Cygames）\n編曲 / 田山里奈","2:59","0:00"
"435","bgm_MC247","愛！勇氣！巨型克蘿茜","bgm_MC247","角色歌曲\n\n時間 / 01:34\n演唱　 / 克蘿茜（長谷川育美）\n作詞 / 千葉梓（Cygames）\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）‧加藤慶久（Cygames）","1:34","0:39"
"436","bgm_MC234A","克蘿茜大解密","bgm_MC234A_juke","故事劇情迷你內容\n-《愛！勇氣！巨型克蘿茜》編曲-\n\n時間 / 00:58\n作曲 / 千葉梓（Cygames）\n編曲 / 岡本優一（Cygames）","0:58","0:00"
"437","bgm_MC250","集結！　阿爾克絲＆暮光　密醫與兩位鍊金術師","bgm_MC250_juke","故事劇情主題曲\n-《鍊金 Make it！》編曲-\n\n時間 / 01:33\n作曲 / 青柳諒 （Arte Refact）‧小出大和（Cygames）\n編曲 / 小出大和 （Cygames）","1:33","0:00"
"438","bgm_MC253","戀愛的鍊僕‧荷姆荷姆","bgm_MC253_juke","故事劇情Boss戰\n\n時間 / 01:34\n作曲 / 岡本優一 （Cygames）\n編曲 / 岡本優一 （Cygames）","1:34","0:00"
"439","bgm_MC248","鍊金 Make it！","bgm_MC248","角色歌曲\n\n時間 / 01:25\n演唱　 / 露易絲瑪莉（鈴代紗弓）\n　　　彩羽（青山吉能）\n　　　苑（井上ほの花）\n作詞 / 青柳諒 （Arte Refact）\n作曲 / 青柳諒 （Arte Refact）‧小出大和 （Cygames）\n編曲 / 青柳諒 （Arte Refact）","1:25","1:00"
"440","bgm_MC248","鍊金 Make it！ (off drama ver.)","bgm_MC248_OffDrama","角色歌曲\n\n時間 / 01:12\n演唱　 / 露易絲瑪莉（鈴代紗弓）\n　　　彩羽（青山吉能）\n　　　苑（井上ほの花）\n作詞 / 青柳諒 （Arte Refact）\n作曲 / 青柳諒 （Arte Refact）‧小出大和 （Cygames）\n編曲 / 青柳諒 （Arte Refact）","1:12","0:47"
"441","bgm_MC254","鍊金術‧重播","bgm_MC254_juke","故事劇情迷你內容\n-《鍊金 Make it！》編曲-\n\n時間 / 01:59\n作曲 / 青柳諒 （Arte Refact）‧小出大和 （Cygames）\n編曲 / 小出大和 （Cygames）","1:59","0:00"
"442","bgm_MC255","華隸大小姐華音的華麗復仇　～佐以傲嬌粉紅～","bgm_MC255_juke","故事劇情主題曲\n-《Back×Back》編曲-\n\n時間 / 01:19\n作曲 / gratia‧奈良ひより‧Fi'Ne‧Ryo Ito\n編曲 / 岡本優一 （Cygames）","1:19","0:00"
"443","bgm_MC257","灼麗的劍奴 哥布林女士","bgm_MC257_juke","故事劇情Boss戰\n\n時間 / 01:44\n作曲 / Enarak （Cygames）\n編曲 / Enarak （Cygames）","1:44","0:00"
"444","bgm_MC289","Back×Back","bgm_MC289","角色歌曲\n\n時間 / 01:31\n演唱　 / 華音（幸村恵理）\n　　　紡希（木戸衣吹）\n作詞 / gratia‧奈良ひより‧Fi'Ne‧Ryo Ito\n作曲 / gratia‧奈良ひより‧Fi'Ne‧Ryo Ito\n編曲 / Fi'Ne","1:31","0:49"
"445","bgm_MC256","華隸大小姐的更生挑戰","bgm_MC256_02_juke","故事劇情迷你內容\n-《Back×Back》編曲-\n\n時間 / 01:25\n作曲 / gratia‧奈良ひより‧Fi'Ne‧Ryo Ito\n編曲 / 岡本優一（Cygames）","1:25","0:00"
"446","bgm_MC262","Summer Dream Refrain　水平線彼端的旅途","bgm_MC262_juke","故事劇情主題曲\n-《幸福的味道》編曲-\n\n時間 / 01:21\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 小半大 ","1:21","0:00"
"447","bgm_MC264","厄莉絲的闇影","bgm_MC264_NoIntro_juke","故事劇情Boss戰\n-《厄莉絲》編曲-\n\n時間 / 02:00\n作曲 / 東大路憲太\n編曲 / Enarak（Cygames）","2:00","0:00"
"448","bgm_MC290","幸福的味道","bgm_MC290","角色歌曲\n\n時間 / 01:38\n演唱　 / 普蕾西亞（高尾奏音）\n作詞 / 高尾奏之介（F.M.F）\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 高尾奏之介（F.M.F）","1:38","0:48"
"449","bgm_MC267A","Summer Anemos, Summer Qualia","bgm_MC267A_juke","故事劇情主題曲\n-《夏日的一片花瓣》編曲-\n\n時間 / 02:10\n作曲 / 山崎光（Arte Refact）\n編曲 / 小出大和（Cygames）","2:10","0:00"
"450","bgm_MC270","企鵝加丘","bgm_MC270_juke","故事劇情Boss戰\n\n時間 / 01:31\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","1:31","0:00"
"451","bgm_MC291","夏日的一片花瓣","bgm_MC291","角色歌曲\n\n時間 / 01:20\n演唱　 /可璃亞（前田佳織里）\n　　　安涅默涅（立花日菜）\n作詞 / 山崎光（Arte Refact）\n作曲 / 山崎光（Arte Refact）\n編曲 / 山崎光（Arte Refact）","1:20","0:39"
"452","bgm_MC271","妮諾，建立大奧","bgm_MC271_juke","故事劇情迷你內容\n-《夏日的一片花瓣》編曲-\n\n時間 / 01:37\n作曲 / 山崎光（Arte Refact）\n編曲 / 岡本優一（Cygames）","1:37","0:00"
"453","bgm_MC279",", And I Will　以掌握的這雙手","bgm_MC279_juke","故事劇情主題曲\n-「Resonate　～奔向尚未見過的明日～」編曲-\n\n時間 / 02:15\n作曲 / シノ（Dream Monster）\n編曲 / 中町友洋","2:15","0:00"
"454","bgm_MC283","霸瞳皇帝'","bgm_MC283_juke","故事劇情Boss戰\n-「與神的決戰」\n 「Resonate　～奔向尚未見過的明日～」編曲-\n\n時間 / 02:49\n作曲 / 西木康智・東大路憲太\n　　　シノ（Dream Monster）\n編曲 / 中町友洋","2:49","0:00"
"455","bgm_MC292","Resonate　～奔向尚未見過的明日～","bgm_MC292","角色歌曲\n\n時間 / 01:24\n演唱　 / 埃拉（松岡由貴）\n　　　志那都（皆川純子）\n作詞 / シノ（Dream Monster）\n作曲 / シノ（Dream Monster）\n編曲 / シノ（Dream Monster）\n弦樂編曲 / 三浦良明 (Dream Monster)","1:24","0:33"
"456","bgm_MC281","複製品世界回憶（埃拉的世界）","bgm_MC281_juke","故事劇情迷你內容\n-「Resonate　～奔向尚未見過的明日～」編曲-\n\n時間 / 02:12\n作曲 / シノ（Dream Monster）\n編曲 / 小半大","2:12","0:00"
"457","bgm_MC280","複製品世界回憶（志那都的世界）","bgm_MC280_juke","故事劇情迷你內容\n-「Resonate　～奔向尚未見過的明日～」編曲-\n\n時間 / 02:30\n作曲 / シノ（Dream Monster）\n編曲 / 小半大","2:30","0:00"
"458","bgm_MC273","幻境龍后","bgm_MC273_juke","角色主題曲\n\n時間 / 04:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","4:25","0:00"
"459","bgm_MC275","阿爾莎特","bgm_MC275_juke","角色主題曲\n\n時間 / 02:57\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","2:57","0:00"
"460","bgm_MC284","Demon/Snow　起死回生的冥府旅途情懷","bgm_MC284_juke","故事劇情主題曲\n-「二重奏之歌」編曲-\n\n時間 / 02:11\n作曲 / YUU for YOU、常楽寺澪\n編曲 / 岡本優一（Cygames）","2:11","0:00"
"461","bgm_MC293","二重奏之歌","bgm_MC293","角色歌曲\n\n時間 / 01:30\n演唱　 / 雪野（天野聡美）\n　　　剎鬼（島袋美由利）\n作詞 / 常楽寺澪\n作曲 / YUU for YOU、常楽寺澪\n編曲 / YUU for YOU","1:30","0:53"
