1f1bc9e29abd3d65daba92e76327e3e62730a886457033ab68f71aa02d7c20cd,95458579346265014a7821bb833d751ea7798460c93fdb2e5849b5a9a8e2a31b,b8ba1722b8fc0cba87152dbc1a57c7aa71871e388671c4f42c11075763e33e35,0dde780e5f1dcf8cd2c718372eb2f39aaf1a48c79e501aa6ce6e641047bd9c4e,7a8b11da3bd9eb77ccfea3164b5c7643d3f6e30b7cb7e76be1554b55f3d069f7
"減少降低TP","92418320","1168","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92418320","1169","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92418320","1170","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92418320","1171","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"火屬性獎勵特大幅度提升","92418330","1172","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92418330","1173","boss_def_lower_limit","戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92418330","1174","boss_magic_def_lower_limit","戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92418330","1175","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92418330","1176","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92418330","1177","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92418330","1178","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"火屬性獎勵特大幅度提升","92418340","1179","12","編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92418340","1180","boss_def_lower_limit","戰鬥開始時，特大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92418340","1181","boss_magic_def_lower_limit","戰鬥開始時，特大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92418340","1182","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92418340","1183","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92418340","1184","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92418340","1185","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419010","1186","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419010","1187","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419010","1188","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92419010","1189","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419010","1190","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419020","1191","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419020","1192","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419020","1193","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92419020","1194","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419020","1195","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419030","1196","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419030","1197","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419030","1198","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92419030","1199","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419030","1200","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419110","1201","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419110","1202","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419110","1203","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419110","1204","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419110","1205","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419110","1206","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419110","1207","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419120","1208","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419120","1209","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419120","1210","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419120","1211","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419120","1212","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419120","1213","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419120","1214","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419130","1215","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419130","1216","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419130","1217","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419130","1218","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419130","1219","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419130","1220","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419130","1221","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419140","1222","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419140","1223","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419140","1224","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419140","1225","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419140","1226","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419140","1227","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419140","1228","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419210","1229","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419210","1230","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419210","1231","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419210","1232","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419210","1233","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419210","1234","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419210","1235","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419220","1236","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419220","1237","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419220","1238","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419220","1239","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419220","1240","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419220","1241","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419220","1242","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419230","1243","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419230","1244","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419230","1245","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419230","1246","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419230","1247","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419230","1248","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419230","1249","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419240","1250","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419240","1251","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419240","1252","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419240","1253","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419240","1254","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419240","1255","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419240","1256","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419310","1257","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419310","1258","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419310","1259","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419310","1260","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419310","1261","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419310","1262","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419310","1263","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419320","1264","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419320","1265","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419320","1266","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419320","1267","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419320","1268","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419320","1269","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419320","1270","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419330","1271","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419330","1272","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419330","1273","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419330","1274","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419330","1275","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419330","1276","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419330","1277","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"風屬性獎勵特大幅度提升","92419340","1278","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。風屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92419340","1279","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92419340","1280","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92419340","1281","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92419340","1282","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92419340","1283","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92419340","1284","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420010","1285","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420010","1286","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420010","1287","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92420010","1288","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420010","1289","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420020","1290","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420020","1291","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420020","1292","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92420020","1293","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420020","1294","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420030","1295","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420030","1296","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420030","1297","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"賦予TP上升的上限","92420030","1298","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420030","1299","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420110","1300","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420110","1301","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420110","1302","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420110","1303","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420110","1304","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420110","1305","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420110","1306","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420120","1307","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420120","1308","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420120","1309","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420120","1310","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420120","1311","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420120","1312","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420120","1313","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420130","1314","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420130","1315","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420130","1316","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420130","1317","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420130","1318","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420130","1319","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420130","1320","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420140","1321","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420140","1322","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420140","1323","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420140","1324","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420140","1325","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420140","1326","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420140","1327","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420210","1328","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420210","1329","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420210","1330","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420210","1331","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420210","1332","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420210","1333","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420210","1334","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420220","1335","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420220","1336","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420220","1337","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420220","1338","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420220","1339","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420220","1340","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420220","1341","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420230","1342","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420230","1343","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420230","1344","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420230","1345","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420230","1346","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420230","1347","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420230","1348","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420240","1349","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420240","1350","boss_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420240","1351","boss_magic_def_lower_limit","戰鬥開始時，大幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420240","1352","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420240","1353","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420240","1354","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420240","1355","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420310","1356","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420310","1357","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420310","1358","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420310","1359","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420310","1360","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420310","1361","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420310","1362","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420320","1363","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
"提升物理防禦力（不可降低）","92420320","1364","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。"
"提升魔法防禦力（不可降低）","92420320","1365","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。"
"減少降低TP","92420320","1366","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。"
"傷害值衰減","92420320","1367","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。"
"賦予TP上升的上限","92420320","1368","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。"
"降低HP吸收","92420320","1369","9","戰鬥開始時，中幅度降低全體角色的HP吸收。"
"光屬性獎勵特大幅度提升","92420330","1370","15","編組4位以上的光屬性角色時，會強化角色的屬性獎勵。光屬性以外的屬性獎勵無效。"
