07c08dd7a72d72081fec94e6de2a64d85f37b2e77ab84157daa4d18a63e466fb,64fe688964dc32a3ca9f01f5eeb3191b89867818a56d711702f36a1d9dcf61ef,f0b82de589f0f36396fc1a445f5b05e20d610de1d5c4860a48bcea55f95bc12c,aaef30c43244576e8917c811f6fde6b2ec1be485cd4e0cc9540ef36e40728154,5e332c5aaca347a2f77ad37d0c761117b68310675ac868f5b868ea19da6cd34d,8465b9255e35c61f7a0ce19b28349371ecd79b6d2972647396383d88608dea7a,dcb91440f5074d66daec8639c2857055c94132629db87cbae8ae709666edb287,cafccf3a10cc55b8c8bbaa418fb7b60a891b6e0eb4259ccedf6c66affaba0dc1,894324db2a269f33294911f6e34fd28d73765ea5f76ff19a05ec2c5b72b15fe0,c8a1b200956aec1a69539c259a394ea771df2f46798a5533e8e263294feef97e,88893acfc7dfae6f79c2320ab5f3206075ffdb8c895a00344d543640b25ec8ff
"1.75","41_pekorine_swim_loop","1","941","-910","23","1","-180","107511","0","19410001"
"1.75","cmn_float","1","941","-800","22","1","-180","107611","0","19410002"
"1.75","41_kyaru_floatRing","22","941","-1000","22","5","-180","22","0","19410003"
"1","","1","941","-180","-890","31","1","1075111","","19410004"
"0","","14","941","-180","0","31","1","1075114","","19410005"
"1","","4","941","-180","-800","31","1","107611","","19410006"
"1","","126","941","-180","-830","31","1","22","","19410007"
"0","","105","941","-180","140","31","1","105","","19410008"
"0","","108","941","40","320","31","1","108","","19410009"
"0","","1001","941","-110","-160","31","1","1001","","19410010"
"1","","se_10053800","941","","1","23","","se_fpc_water_random","","19410011"
"","","19410010","941","","","91","","0","","19410012"
"","","22","941","5","-180","2","12","-150","","19410013"
"","","22","941","5","-180","33","12","-10","","19410014"
"","","0","941","","","91","","","","19410015"
"","","vo_fpc","941","0","","21","","vo_fpc_30101","","19410016"
"0","1","22","941","1","4","11","0","呼～偶爾像這樣\n悠悠哉哉的也不錯呢～","0","19410017"
"","","0","941","","","91","","0","","19410018"
"","","107511","941","4.52941176470588","-180","2","0","0","","19410019"
"","","1075111","941","4.52941176470588","-180","33","0","0","","19410020"
"","","22","941","4.52941176470588","-180","2","12","0","","19410021"
"","","22","941","4.52941176470588","-180","33","12","140","","19410022"
"","","1.5","941","","","93","","0","","19410023"
"","","vo_fpc","941","0","","21","","vo_fpc_30102","","19410024"
"0","1","107511","941","1","5","11","0","小──凱──留──！\n嘿！","0","19410025"
"","","19410019","941","","","91","","","","19410026"
"","","1075111","941","","","32","","0","","19410027"
"","","1075114","941","","","32","","1","","19410028"
"0.1","","107511","941","41_pekorine_hug_loop","0","3","1","41_pekorine_hug","0.1","19410029"
"0.1","","22","941","41_kyaru_surprise_loop","0","3","1","41_kyaru_surprise","0.1","19410030"
"","","0.6","941","","","93","","0","","19410031"
"","","105","941","","","32","","1","","19410032"
"","","0.6","941","","","93","","0","","19410033"
"","","105","941","","","32","","0","","19410034"
"","","19410025","941","","","91","","","","19410035"
"","","107611","941","2.94117647058824","-180","2","12","-300","","19410036"
"","","107611","941","2.94117647058824","-180","33","12","-300","","19410037"
"","","vo_fpc","941","0","","21","","vo_fpc_30103","","19410038"
"0","1","22","941","1","7","11","0","等等！喂！\n不要突然抱過來啊，白癡佩可！\n這個游泳圈只限一個人用啦！","0","19410039"
"","","0","941","","","91","","0","","19410040"
"","","19410036","941","","","91","","","","19410041"
"","","105","941","","","32","","1","","19410042"
"0.1","","107511","941","","1","3","","41_pekorine_shake","","19410043"
"0.1","","22","941","","1","3","","41_kyaru_shake","","19410044"
"","","vo_fpc","941","0","","21","","vo_fpc_30104","","19410045"
"0.1","","107611","941","","1","3","","41_kokkoro_float_loop","","19410046"
"0","1","107611","941","1","6","11","0","呵呵，兩位已經完全\n沉浸在嬉鬧之中……\n好像很開心呢。","0","19410047"
"","","0","941","","","91","","0","","19410048"
"","","vo_fpc","941","0","","21","","vo_fpc_30105","","19410049"
"0","1","22","941","1","11","11","0","啊，不行……\n已經，到極……限了……","0","19410050"
"","","0","941","","","91","","0","","19410051"
"0.2","","22","941","","0","3","","41_kyaru_drown","","19410052"
"0.2","","107511","941","","1","3","","41_pekorine_shake","","19410053"
"","","0.2","941","","","93","","0","","19410054"
"1","","se_10053800","941","","0","23","","se_10053800_941_bishokuden","","19410055"
"","","0.8","941","","","93","","0","","19410056"
"0.1","","107611","941","41_kokkoro_surprise_loop","0","3","1","41_kokkoro_surprise","0.1","19410057"
"","","0.5","941","","","93","","0","","19410058"
"","","108","941","","","32","","1","","19410059"
"","","2.5","941","","","93","","0","","19410060"
"0.1","","22","941","","1","3","","41_kyaru_drown_loop","0.1","19410061"
"0.1","","107511","941","41_pekorine_notice_loop","0","3","1","41_pekorine_notice","0.1","19410062"
"","","105","941","","","32","","0","","19410063"
"","","22","941","","","32","","0","","19410064"
"","","vo_fpc","941","0","","21","","vo_fpc_30106","","19410065"
"0","1","107511","941","1","6","11","0","咦？\n小凱留？\n妳跑哪去了？","0","19410066"
"","","0","941","","","91","","0","","19410067"
"","","vo_fpc","941","0","","21","","vo_fpc_30107","","19410068"
"0","1","107611","941","1","9","11","0","糟、糟了……\n風之精靈啊！\n現在立刻用空氣\n將凱留小姐包覆起來！","0","19410069"
"","","2.1","941","","","93","","0","","19410070"
"0.1","","107611","941","41_kokkoro_action_loop","0","3","1","41_kokkoro_action","0.1","19410071"
"","","1001","941","","","32","","1","","19410072"
"0","","107511","941","cmn_swm_flutterKick_floatRing","0","3","1","41_pekorine_flutterKick_floatRing_in","0.1","19410073"
"0.1","","22","941","","1","3","","41_kyaru_flutterKick_floatRing","","19410074"
"","","107511","941","4.52488687782805","-180","2","0","1000","","19410075"
"","","1075111","941","","","32","","1","","19410076"
"","","1075114","941","","","32","","0","","19410077"
"","","1075111","941","4.52488687782805","-180","33","0","1000","","19410078"
"","","22","941","4.52488687782805","-180","2","0","1000","","19410079"
"","","107611","941","5.88235294117647","-180","2","0","1000","","19410080"
"","","107611","941","5.88235294117647","-180","33","0","1000","","19410081"
"","","1001","941","5.88235294117647","-110","33","0","1140","","19410082"
"","","19410081","941","","","91","","","","19410083"
"1.75","42_anna_idle","1","942","-1060","33","1","-250","113211","0","19420001"
"1.75","42_shinobu_idle","1","942","-920","33","1","-250","127111","0","19420002"
"1.75","42_boat_idle","2","942","-1000","32","5","-250","2","0","19420003"
"0","","107","942","0","0","31","1","107","","19420004"
"1","","106","942","-250","-1000","31","1","106","","19420005"
"","","113211","942","","","13","","47","","19420006"
"","","127111","942","","","13","","47","","19420007"
"1","","se_10053800","942","","1","23","","se_fpc_water_random","","19420008"
"","","19420007","942","","","91","","0","","19420009"
"","","113211","942","5.88235294117647","-250","2","12","-60","","19420010"
"","","127111","942","5.88235294117647","-250","2","12","80","","19420011"
"","","2","942","5.88235294117647","-250","2","12","0","","19420012"
"","","106","942","5.88235294117647","-250","33","12","0","","19420013"
"","","","942","","","91","","","","19420014"
"0.2","","113211","942","","1","3","","42_anna_doyatalk","","19420015"
"0.2","","127111","942","","1","3","","42_shinobu_idle","","19420016"
"0.2","","2","942","","1","3","","42_boat_idle","","19420017"
"","","vo_fpc","942","0","","21","","vo_fpc_30201","","19420018"
"0","1","113211","942","1","4","11","0","哈──哈哈哈！\n像這樣在水上擺盪，\n就會想起那次冒險呢！","0","19420019"
"","","0","942","","","91","","0","","19420020"
"0.2","","113211","942","","1","3","","42_anna_doyatalk","","19420021"
"0.2","","127111","942","42_shinobu_talk","0","3","1","42_shinobu_idle2talk","0.1","19420022"
"0.2","","2","942","","1","3","","42_boat_idle","","19420023"
"","","vo_fpc","942","0","","21","","vo_fpc_30202","","19420024"
"0","1","127111","942","1","6","11","0","是啊，真是非常愉快的冒險呢。\n我到現在也很珍惜地\n保管著那套服裝喔。","0","19420025"
"","","0","942","","","91","","0","","19420026"
"0.2","","127111","942","42_shinobu_idle","0","3","1","42_shinobu_talk2idle","0.1","19420027"
"0.2","","113211","942","42_anna_idle","0","3","1","42_anna_doya2idle","0.1","19420028"
"0.2","","2","942","","1","3","","42_boat_idle","","19420029"
"","","vo_fpc","942","0","","21","","vo_fpc_30203","","19420030"
"0","0.5","113211","942","1","6","11","0","那之後怎麼樣了？\n要是有什麼有趣的事件或冒險，\n請務必要說給我聽！","0","19420031"
"","","0","942","","","91","","0","","19420032"
"","","vo_fpc","942","0","","21","","vo_fpc_30204","","19420033"
"0","1","113211","942","1","7","11","0","（說不定會成為\n冥風戰記的好靈感呢！）","0","19420034"
"","","0","942","","","91","","0","","19420035"
"0.2","","113211","942","","1","3","","42_anna_idle","","19420036"
"0.2","","127111","942","42_shinobu_talk","0","3","1","42_shinobu_idle2talk","0.1","19420037"
"0.2","","2","942","","1","3","","42_boat_idle","","19420038"
"","","vo_fpc","942","0","","21","","vo_fpc_30205","","19420039"
"0","0.5","127111","942","1","4","11","0","嗯，有喔。\n在度假村發生的\n各種靈異現象……","0","19420040"
"","","0","942","","","91","","0","","19420041"
"0.2","","113211","942","","1","3","","42_anna_idle","","19420042"
"0.2","","127111","942","42_shinobu_horror","0","3","1","42_shinobu_talk2horror","0.1","19420043"
"0.2","","2","942","","1","3","","42_boat_idle","","19420044"
"","","107","942","","","32","","1","","19420045"
"","","vo_fpc","942","0","","21","","vo_fpc_30206","","19420046"
"0","1","127111","942","1","4","11","0","在那背後是生者與死者的欲望\n混雜在一起的深沉真相……","0","19420047"
"","","6.5","942","","","93","","0","","19420048"
"","","1.5","942","","","93","","0","","19420049"
"","","19420047","942","","","91","","0","","19420050"
"0.1","","127111","942","","1","3","","42_shinobu_horror","","19420051"
"0.1","","113211","942","","1","3","","42_anna_scared","","19420052"
"0.1","","2","942","","1","3","","42_boat_idle","","19420053"
"","","vo_fpc","942","0","","21","","vo_fpc_30207","","19420054"
"0","1.5","113211","942","1","4","11","0","等！等一下！\n那種事沒問題嗎？\n喂，忍……我說忍啊！","0","19420055"
"","","9.13333333333333","942","","","93","","0","","19420056"
"","","1.5","942","","","93","","0","","19420057"
"","","19420055","942","","","91","","0","","19420058"
"","","113211","942","4.52488687782805","-250","2","","940","","19420059"
"","","127111","942","4.52488687782805","-250","2","","1080","","19420060"
"","","2","942","4.52488687782805","-250","2","","1000","","19420061"
"","","106","942","4.52488687782805","-250","33","","1000","","19420062"
"","","0","942","","","91","","","","19420063"
"1.75","cmn_float","1","943","-850","23","1","-180","122511","0","19430001"
"1.75","43_tsumugi_deredere","1","943","-800","13","1","-125","117411","0","19430002"
"1.75","cmn_float_item_09_Ball","1","943","-1675","12","5","-125","11","0","19430003"
"1.75","cmn_floatRing_pink","1","943","-850","32","5","-250","12","0","19430004"
"1.75","cmn_floatRing_blue","1","943","-2500","32","5","-250","13","0","19430005"
"1","","8","943","-180","-850","31","1","1225114","","19430006"
"1","","5","943","-125","-800","31","1","1174114","","19430007"
"1","","5","943","-125","-1675","31","1","411","","19430008"
"1","","4","943","-250","-850","31","1","412","","19430009"
"1","","4","943","-250","-2500","31","1","413","","19430010"
"0","","110","943","-125","-350","31","1","1101","","19430011"
"1","","se_10053800","943","","1","23","","se_fpc_water_random","","19430012"
"","","19430011","943","","","91","","","","19430013"
"","","12","943","24.2647058823529","-250","2","","2450","","19430014"
"","","412","943","24.2647058823529","-250","33","","2450","","19430015"
"","","11","943","24.2647058823529","-125","2","","1625","","19430016"
"","","411","943","24.2647058823529","-125","33","","1625","","19430017"
"","","13","943","24.2647058823529","-250","2","","800","","19430018"
"","","413","943","24.2647058823529","-250","33","","800","","19430019"
"","","2","943","","","93","","0","","19430020"
"","","122511","943","6.25","-180","2","12","0","","19430021"
"","","1225114","943","6.25","-180","33","12","0","","19430022"
"","","19430021","943","","","91","","","","19430023"
"","","vo_fpc","943","0","","21","","vo_fpc_30301","","19430024"
"0","1","122511","943","1","5","11","0","有好多東西在漂流著呢。\n如果這裡不是泳池，\n感覺會潛藏著魚……","0","19430025"
"","","0","943","","","91","","","","19430026"
"","","117411","943","6.92307692307692","-125","2","12","-350","","19430027"
"","","1174114","943","6.92307692307692","-125","33","12","-350","","19430028"
"","","vo_fpc","943","0","","21","","vo_fpc_30302","","19430029"
"0","1","122511","943","1","5","11","0","對了，如果能透過委身於這股水流\n來體會溪流中魚群的心情，\n或許能活用在下次釣魚時呢。","0","19430030"
"","","0","943","","","91","","","","19430031"
"","","19430028","943","","","91","","","","19430032"
"","","vo_fpc","943","0","","21","","vo_fpc_30303","","19430033"
"0","1","117411","943","1","6","11","0","啊，怜大人……♡\n漂流的姿態也好美呢。\n我可以一直看下去……","0","19430034"
"","","0","943","","","91","","","","19430035"
"0.1","","122511","943","43_rei_notice_loop","0","3","1","43_rei_notice_in","0.1","19430036"
"","","vo_fpc","943","0","","21","","vo_fpc_30304","","19430037"
"0","0.5","122511","943","1","4","11","0","唔……怎麼？\n這股像是猛禽鎖定獵物般的殺氣是？\n是有誰在嗎？","0","19430038"
"","","0","943","","","91","","","","19430039"
"","","1101","943","","","32","","1","","19430040"
"","","1174114","943","","","32","","0","","19430041"
"0.1","","122511","943","43_rei_aseri","0","3","1","43_rei_turn","0.1","19430042"
"0.1","","117411","943","","0","3","","43_tsumugi_hide","","19430043"
"","","3","943","","","93","","0","","19430044"
"0.1","","117411","943","43_tsumugi_deredere","0","3","1","43_tsumugi_appear","0.1","19430045"
"","","1","943","","","93","","0","","19430046"
"","","1101","943","","","32","","0","","19430047"
"","","1174114","943","","","32","","1","","19430048"
"","","vo_fpc","943","0","","21","","vo_fpc_30305","","19430049"
"0","0.5","122511","943","1","6","11","0","沒有任何人啊……\n不……在那裡！","0","19430050"
"","","0","943","","","91","","","","19430051"
"","","1101","943","","","32","","1","","19430052"
"","","1174114","943","","","32","","0","","19430053"
"0.1","","122511","943","43_rei_aseri_2","0","3","1","43_rei_turn","0.1","19430054"
"0.1","","117411","943","","0","3","","43_tsumugi_hide","","19430055"
"","","3","943","","","93","","0","","19430056"
"0.1","","117411","943","43_tsumugi_deredere","0","3","1","43_tsumugi_appear","0.1","19430057"
"","","1","943","","","93","","0","","19430058"
"","","1101","943","","","32","","0","","19430059"
"","","1174114","943","","","32","","1","","19430060"
"","","vo_fpc","943","0","","21","","vo_fpc_30306","","19430061"
"0","1","122511","943","1","5","11","0","果然沒有任何人嗎。\n但這陣惡寒是怎麼回事……？\n唔，感覺簡直就像是被盯上的魚啊。","0","19430062"
"","","0","943","","","91","","","","19430063"
"","","122511","943","3.84615384615385","-180","2","","850","","19430064"
"","","1225114","943","3.84615384615385","-180","33","","850","","19430065"
"","","117411","943","2.57352941176471","-125","2","12","0","","19430066"
"","","1174114","943","2.57352941176471","-125","33","12","0","","19430067"
"","","0","943","","","91","","","","19430068"
"","","vo_fpc","943","0","","21","","vo_fpc_30307","","19430069"
"0","1","117411","943","1","5","11","0","啊啊，竟然能這麼近地\n欣賞怜大人凜然的姿態，\n真是大飽眼福～","0","19430070"
"","","0","943","","","91","","","","19430071"
"","","117411","943","3.84615384615385","-125","2","","850","","19430072"
"","","1174114","943","3.84615384615385","-125","33","","850","","19430073"
"","","0","943","","","91","","","","19430074"
"1.4875","44_tamaki_in","1","944","800","12","1","-15","107911","0","19440001"
"1.4875","44_tamaki_in","3","944","800","13","5","-15","3","0","19440002"
"1.75","44_yukari_idle","1","944","-1000","33","1","-250","126811","0","19440003"
"1.75","cmn_boat_idle","2","944","-1000","32","5","-250","2","0","19440004"
"1.4875","44_mifuyu_run","1","944","-800","12","1","-15","108011","0","19440005"
"1","","101","944","-250","-1000","31","1","126811","","19440006"
"0","","1004","944","140","-560","31","1","1004","","19440007"
"1","","se_10053800","944","","1","23","","se_fpc_water_random","","19440008"
"","","19440007","944","","","91","","0","","19440009"
"","","107911","944","2.26244343891403","-15","2","","300","","19440010"
"","","3","944","2.26244343891403","-15","2","","300","","19440011"
"","","","944","","","91","","","","19440012"
"0.1","","107911","944","44_tamaki_sale_loop","","3","1","44_tamaki_sale","0.1","19440013"
"0.1","","3","944","44_tamaki_sale_loop","","3","1","44_tamaki_sale","0.1","19440014"
"","","vo_fpc","944","0","","21","","vo_fpc_30401","","19440015"
"0","1","107911","944","1","4","11","0","鯛魚燒～鯛魚燒～\n好吃的鯛魚燒店喵～","0","19440016"
"","","0","944","","","91","","","","19440017"
"","","126811","944","5.29411764705882","-250","2","12","-100","","19440018"
"","","2","944","5.29411764705882","-250","2","12","-100","","19440019"
"","","126811","944","5.29411764705882","-250","33","12","-100","","19440020"
"","","","944","","","91","","","","19440021"
"0.1","","107911","944","44_tamaki_present_loop","0","3","1","44_tamaki_present","0.1","19440022"
"0.1","","3","944","44_tamaki_present_loop","0","3","1","44_tamaki_present","0.1","19440023"
"","","vo_fpc","944","0","","21","","vo_fpc_30402","","19440024"
"0","1","107911","944","1","7","11","0","好的，那邊漂過來的小姐，\n要不要來一份鯛魚燒喵？","0","19440025"
"","","0","944","","","91","","","","19440026"
"0.2","","126811","944","44_yukari_notice_loop","0","3","1","44_yukari_notice","0.1","19440027"
"0.2","","2","944","","1","3","","cmn_boat_idle","","19440028"
"","","vo_fpc","944","0","","21","","vo_fpc_30403","","19440029"
"0","1","126811","944","1","7","11","0","哎呀，這不是珠希嗎。\n妳在這種地方做什麼？","0","19440030"
"","","0","944","","","91","","","","19440031"
"","","vo_fpc","944","0","","21","","vo_fpc_30404","","19440032"
"0","1","107911","944","1","10","11","0","什麼嘛，是優花梨啊喵。\n妳問我在做什麼，當然是做生意喵！","0","19440033"
"","","0","944","","","91","","","","19440034"
"0.1","","107911","944","44_tamaki_sale_loop","0","3","1","44_tamaki_present2sale","0.1","19440035"
"0.1","","3","944","44_tamaki_sale_loop","0","3","1","44_tamaki_present2sale","0.1","19440036"
"","","vo_fpc","944","0","","21","","vo_fpc_30405","","19440037"
"0","1","107911","944","1","6","11","0","有這麼多人在的商機，\n我可不能錯過喵！","0","19440038"
"","","0","944","","","91","","","","19440039"
"0.2","","126811","944","44_yukari_worry_loop","0","3","1","44_yukari_worry","0.1","19440040"
"0.2","","2","944","","1","3","","cmn_boat_idle","","19440041"
"","","vo_fpc","944","0","","21","","vo_fpc_30406","","19440042"
"0","1","126811","944","1","5","11","0","那個有得到秋乃的同意嗎？\n要是無照營業，可是會被罵喔？","0","19440043"
"","","0","944","","","91","","","","19440044"
"","","vo_fpc","944","0","","21","","vo_fpc_30407","","19440045"
"0","0.5","107911","944","1","7","11","0","沒問題的喵！為了不被發現……\n話說，不妙喵！是巡邏喵！","0","19440046"
"","","0","944","","","91","","","","19440047"
"","","1004","944","","","32","","1","","19440048"
"","","1","944","","","93","","0","","19440049"
"0.1","","107911","944","44_tamaki_run","0","3","1","44_tamaki_surprise","0.1","19440050"
"0.1","","3","944","44_tamaki_run","0","3","1","44_tamaki_surprise","0.1","19440051"
"0.1","","3","944","44_tamaki_run","0","3","1","44_tamaki_surprise","0.1","19440052"
"","","vo_fpc","944","0","","21","","vo_fpc_30408","","19440053"
"0","1","107911","944","1","8","11","0","快溜喵──！","0","19440054"
"","","0.8","944","","","93","","0","","19440055"
"","","107911","944","1.74034110685694","-15","2","","800","","19440056"
"","","3","944","1.74034110685694","-15","2","","800","","19440057"
"","","108011","944","4.82654600301659","-15","2","","800","","19440058"
"","","1004","944","4.82654600301659","-15","33","","800","","19440059"
"","","0.8","944","","","93","","0","","19440060"
"","","vo_fpc","944","0","","21","","vo_fpc_30409","","19440061"
"0","0.5","108011","944","1","12","11","0","無照營業是要被取締的！\n給我等一下！","0","19440062"
"","","19440058","944","","","91","","","","19440063"
"","","vo_fpc","944","0","","21","","vo_fpc_30410","","19440064"
"0","1.5","126811","944","1","5","11","0","等等，珠希？\n果然是沒取得同意嘛。\n……總覺得肚子餓了呢。\n要是有先點個鯛魚燒就好了啊。","0","19440065"
"","","11.6571428571429","944","","","93","","1","","19440066"
"0.2","","126811","944","44_yukari_smile_loop","0","3","1","44_yukari_smile","0.1","19440067"
"0.2","","2","944","","1","3","","cmn_boat_idle","","19440068"
"","","1.5","944","","","93","","0","","19440069"
"","","19440065","944","","","91","","","","19440070"
"","","126811","944","4.97737556561086","-250","2","","1000","","19440071"
"","","2","944","4.97737556561086","-250","2","","1000","","19440072"
"","","126811","944","4.97737556561086","-250","33","","1000","","19440073"
"","","0","944","","","91","","","","19440074"
"1.75","45_yui_cmn_swm_tread","1","945","-1150","23","1","-180","122611","0","19450001"
"1.75","45_makoto_idle","1","945","-800","12","1","-125","110411","0","19450002"
"1.75","empty","23","945","-250","32","5","-180","23","0","19450003"
"1.75","cmn_swm_tread_pink","1","945","-1150","22","5","-180","1","0","19450004"
"1","","3","945","-180","-1150","31","1","1226113","","19450005"
"1","","4","945","-125","-770","31","1","1104111","","19450006"
"0","","117","945","-125","150","31","1","117","","19450007"
"0","","111","945","-180","-250","31","1","111","","19450008"
"1","","se_10053800","945","","1","23","","se_fpc_water_random","","19450009"
"","","19450008","945","","","91","","0","","19450010"
"","","110411","945","5.58823529411765","-125","2","12","150","","19450011"
"","","1104111","945","5.58823529411765","-125","33","12","180","","19450012"
"","","122611","945","5.58823529411765","-180","2","12","-200","","19450013"
"","","1","945","5.58823529411765","-180","2","12","-200","","19450014"
"","","1226113","945","5.58823529411765","-180","33","12","-200","","19450015"
"","","19450015","945","","","91","","","","19450016"
"0.1","","122611","945","","1","3","","45_yui_idle","","19450017"
"0.1","","1","945","","1","3","","45_yui_idle","","19450018"
"0.1","","110411","945","","1","3","","45_makoto_talk","","19450019"
"","","vo_fpc","945","0","","21","","vo_fpc_30501","","19450020"
"0","1","110411","945","1","6","11","0","怎麼了，優衣？\n妳特意為那傢伙\n做了便當吧？\n趕快邀請他不就好了。","0","19450021"
"","","0","945","","","91","","","","19450022"
"","","vo_fpc","945","0","","21","","vo_fpc_30502","","19450023"
"0","1","122611","945","1","5","11","0","我明明連採買都請妳幫忙了，\n抱歉啊。不過，便當的內容\n有點太幹勁十足了……","0","19450024"
"","","0","945","","","91","","","","19450025"
"","","vo_fpc","945","0","","21","","vo_fpc_30503","","19450026"
"0","1","110411","945","1","5","11","0","太幹勁十足是怎樣啊？\n妳準備的材料很正常吧？\n嗯？話說回來，妳有買粉紅色的\n櫻花魚鬆吧。難不成……","0","19450027"
"","","0","945","","","91","","","","19450028"
"0.1","","110411","945","45_makoto_talk_surprise_loop","0","3","1","45_makoto_talk_surprise","0.1","19450029"
"0.1","","122611","945","45_yui_shy_loop","0","3","1","45_yui_shy_in","0.1","19450030"
"0.1","","1","945","45_yui_shy_loop","0","3","1","45_yui_shy_in","0.1","19450031"
"","","vo_fpc","945","0","","21","","vo_fpc_30504","","19450032"
"0","1","122611","945","1","4","11","0","……嗯，我做了……\n巨大的愛心圖案……\n果然還是不能邀他吧！\n真琴能幫我吃掉嗎！？","0","19450033"
"","","0","945","","","91","","","","19450034"
"0.1","","110411","945","","1","3","","45_makoto_idle","","19450035"
"","","vo_fpc","945","0","","21","","vo_fpc_30505","","19450036"
"0","0.5","110411","945","1","7","11","0","我知道了啦。我會陪妳去，\n然後替妳吃掉的……\n其他的配菜是妳的得意之作吧？\n好了，快點走囉！","0","19450037"
"","","0","945","","","91","","","","19450038"
"0.1","","110411","945","cmn_swm_dogscratch","0","3","1","45_makoto_dogscratch_in","0.1","19450039"
"","","0.5","945","","","93","","0","","19450040"
"","","1104111","945","","","32","","0","","19450041"
"","","117","945","","","32","","1","","19450042"
"","","110411","945","4.07239819004525","-125","2","0","1050","","19450043"
"","","117","945","4.07239819004525","-125","33","0","1050","","19450044"
"0.1","","122611","945","45_yui_idle_2","0","3","1","45_yui_notice","0.1","19450045"
"0.1","","1","945","45_yui_idle","0","3","1","45_yui_notice","0.1","19450046"
"","","vo_fpc","945","0","","21","","vo_fpc_30506","","19450047"
"0","1","122611","945","1","9","11","0","啊，真琴？\n等一下啦──！","0","19450048"
"","","0","945","","","91","","","","19450049"
"0.1","","122611","945","","1","3","","45_yui_cmn_swm_tread","","19450050"
"0.1","","1","945","","1","3","","cmn_swm_tread_pink","","19450051"
"","","122611","945","4.75113122171946","-180","2","0","850","","19450052"
"","","1","945","4.75113122171946","-180","2","0","850","","19450053"
"","","1226113","945","4.75113122171946","-180","33","0","850","","19450054"
"","","3","945","","","93","","0","","19450055"
"","","111","945","","","32","","1","","19450056"
"0.1","","23","945","45_eriko_float_loop","0","3","1","45_eriko_float_in","0.1","19450057"
"","","2","945","","","93","","0","","19450058"
"","","vo_fpc","945","0","","21","","vo_fpc_30507","","19450059"
"0","3","23","945","1","3","11","0","有盯上那位大人的不檢點氣息……\n這是偷腥貓，不對，是母狗的味道？\n必須要排除才行……","0","19450060"
"","","16.7666666666667","945","","","93","","0","","19450061"
"","","1.5","945","","","93","","0","","19450062"
"","","19450060","945","","","91","","","","19450063"
"0.1","","23","945","","0","3","","45_eriko_float_end","","19450064"
"","","3","945","","","93","","0","","19450065"
"","","0","945","","","91","","","","19450066"
"1.4875","cmn_walk","1","946","-800","12","1","-15","107911","0","19460001"
"1.4875","cmn_walk","1","946","-1000","12","1","-15","107811","0","19460002"
"1.75","cmn_swm_flutterKick","1","946","-910","22","1","-180","122411","0","19460003"
"1","","1","946","-180","-910","31","1","122411","","19460004"
"1","","1","946","-180","-910","31","1","115","","19460005"
"1","","se_10053800","946","","1","23","","se_fpc_water_random","","19460006"
"","","19460005","946","","","91","","0","","19460007"
"","","0.3","946","","","93","","0","","19460008"
"0.1","","107811","946","","1","3","","cmn_walk","","19460009"
"","","107911","946","3.82352941176471","-15","2","","-150","","19460010"
"","","107811","946","3.82352941176471","-15","2","","-350","","19460011"
"","","","946","","","91","","","","19460012"
"0.1","","107911","946","46_tamaki_talk_loop","","3","1","46_tamaki_talk","0.1","19460013"
"0.1","","107811","946","46_kyaru_idle_jitome_loop","","3","1","46_kyaru_idle_jitome","0.1","19460014"
"","","vo_fpc","946","0","","21","","vo_fpc_30601","","19460015"
"0","1","107811","946","1","5","11","0","大家游了那麼久，\n居然都不會膩呢～","0","19460016"
"","","0","946","","","91","","","","19460017"
"","","vo_fpc","946","0","","21","","vo_fpc_30602","","19460018"
"0","1","107911","946","1","4","11","0","嗯？\n難道妳怕水喵？","0","19460019"
"","","0","946","","","91","","","","19460020"
"0.1","","107811","946","46_kyaru_talk_loop","","3","1","46_kyaru_talk","0.1","19460021"
"","","vo_fpc","946","0","","21","","vo_fpc_30603","","19460022"
"0","1","107811","946","1","5","11","0","嗯～坐在游泳圈上是可以啦，\n但要游的話就感覺有點……妳懂嗎？","0","19460023"
"","","0","946","","","91","","","","19460024"
"0.1","","107911","946","46_tamaki_nod_loop","","3","1","46_tamaki_nod","0.1","19460025"
"","","vo_fpc","946","0","","21","","vo_fpc_30604","","19460026"
"0","0.5","107911","946","1","6","11","0","我懂喵。感覺包括我在內的貓獸人族\n就有很多那樣的人喵。","0","19460027"
"","","0","946","","","91","","","","19460028"
"","","122411","946","8.64253393665158","-180","2","","1000","","19460029"
"","","122411","946","8.64253393665158","-180","33","","1000","","19460030"
"","","3","946","","","93","","0","","19460031"
"0.1","","122411","946","46_hiyori_flutterKick_handWave_loop","0","3","1","46_hiyori_flutterKick_handWave","0.1","19460032"
"","","vo_fpc","946","0","","21","","vo_fpc_30605","","19460033"
"0","1","122411","946","1","10","11","0","啊，哈囉──！","0","19460034"
"","","2","946","","","93","","0","","19460035"
"0.1","","107911","946","46_tamaki_handwave_loop","","3","1","46_tamaki_handwave","0.1","19460036"
"0.1","","107811","946","46_kyaru_idle_smile_loop","","3","1","46_kyaru_idle_smile","0.1","19460037"
"","","1.5","946","","","93","","0","","19460038"
"","","vo_fpc","946","0","","21","","vo_fpc_30606","","19460039"
"0","1","107911","946","1","5","11","0","哈囉──\n不過，當然還是有例外啦喵。","0","19460040"
"","","0","946","","","91","","","","19460041"
