e0b6837fdafd1fe2da0eaf99eaa175047e64b453a4f296c44da480974c86a7a9,4ab9d632fd5e565e56483f5691dba5f788ca7d5334e65a6e01dabe29bd752a9b,ba114d7880937d8196c5b636470ff107e46c1bf848daa66c237b70ed8ad1009e,fa76170eea47a72b1a21c5a8e7f23b9596fdfec3c36f1321d34512ecace24c2f,9c8b28d4c49d837f86957e47a4ce15a0170d953099ab94eb53dc6a08b94c3ae3,78f9d07184b9585d128eaa68d7c1a4c8c9311f33dcb381ca3275b0b3576275dd,90262e08cd643ac883138795fba1d62261e00267c3a2ce08efa98bf893a65a2e,44d72bddac519dd74e2a1805da987677c8ef12c4b1312ec3ab8492e10535e6d5,39256866e38961adabbeb4d49c8f4fd772bcb9f2d74c7eab0d68b87bb7784a41,72645734f5f0e16bd4b124950a5e4d3535fc6f40025f64c5aeec7b5d9585a8ca,313259d91d7b300a4f788ff7df94e3e90dc33ac21816372279b925d6fedef0e7
"","","0.2","","941","","0","","93","","19410054"
"1","","se_10053800","","941","","se_10053800_941_bishokuden","","23","0","19410055"
"","","0.8","","941","","0","","93","","19410056"
"0.1","","107611","41_kokkoro_surprise_loop","941","0.1","41_kokkoro_surprise","1","3","0","19410057"
"","","0.5","","941","","0","","93","","19410058"
"","","108","","941","","1","","32","","19410059"
"","","2.5","","941","","0","","93","","19410060"
"0.1","","22","","941","0.1","41_kyaru_drown_loop","","3","1","19410061"
"0.1","","107511","41_pekorine_notice_loop","941","0.1","41_pekorine_notice","1","3","0","19410062"
"","","105","","941","","0","","32","","19410063"
"","","22","","941","","0","","32","","19410064"
"","","vo_fpc","0","941","","vo_fpc_30106","","21","","19410065"
"0","1","107511","1","941","0","あれ？\nキャルちゃん？\nどこかにいっちゃいました？","0","11","11","19410066"
"","","0","","941","","0","","91","","19410067"
"","","vo_fpc","0","941","","vo_fpc_30107","","21","","19410068"
"0","1","107611","1","941","0","い、いけません…\n風の精霊よ！\nいますぐキャルさまに\n空気の衣を！","0","11","10","19410069"
"","","2.1","","941","","0","","93","","19410070"
"0.1","","107611","41_kokkoro_action_loop","941","0.1","41_kokkoro_action","1","3","0","19410071"
"","","1001","","941","","1","","32","","19410072"
"0","","107511","cmn_swm_flutterKick_floatRing","941","0.1","41_pekorine_flutterKick_floatRing_in","1","3","0","19410073"
"0.1","","22","","941","","41_kyaru_flutterKick_floatRing","","3","1","19410074"
"","","107511","4.52488687782805","941","","1000","0","2","-180","19410075"
"","","1075111","","941","","1","","32","","19410076"
"","","1075114","","941","","0","","32","","19410077"
"","","1075111","4.52488687782805","941","","1000","0","33","-180","19410078"
"","","22","4.52488687782805","941","","1000","0","2","-180","19410079"
"","","107611","5.88235294117647","941","","1000","0","2","-180","19410080"
"","","107611","5.88235294117647","941","","1000","0","33","-180","19410081"
"","","1001","5.88235294117647","941","","1140","0","33","-110","19410082"
"","","19410081","","941","","","","91","","19410083"
"1.75","42_anna_idle","1","-1060","942","0","113211","-250","1","33","19420001"
"1.75","42_shinobu_idle","1","-920","942","0","127111","-250","1","33","19420002"
"1.75","42_boat_idle","2","-1000","942","0","2","-250","5","32","19420003"
"0","","107","0","942","","107","1","31","0","19420004"
"1","","106","-250","942","","106","1","31","-1000","19420005"
"","","113211","","942","","47","","13","","19420006"
"","","127111","","942","","47","","13","","19420007"
"1","","se_10053800","","942","","se_fpc_water_random","","23","1","19420008"
"","","19420007","","942","","0","","91","","19420009"
"","","113211","5.88235294117647","942","","-60","12","2","-250","19420010"
"","","127111","5.88235294117647","942","","80","12","2","-250","19420011"
"","","2","5.88235294117647","942","","0","12","2","-250","19420012"
"","","106","5.88235294117647","942","","0","12","33","-250","19420013"
"","","","","942","","","","91","","19420014"
"0.2","","113211","","942","","42_anna_doyatalk","","3","1","19420015"
"0.2","","127111","","942","","42_shinobu_idle","","3","1","19420016"
"0.2","","2","","942","","42_boat_idle","","3","1","19420017"
"","","vo_fpc","0","942","","vo_fpc_30201","","21","","19420018"
"0","1","113211","1","942","0","はーっはっはっは！\nこうして水の上をたゆたっていると\nあの冒険を思い出すな！","0","11","6","19420019"
"","","0","","942","","0","","91","","19420020"
"0.2","","113211","","942","","42_anna_doyatalk","","3","1","19420021"
"0.2","","127111","42_shinobu_talk","942","0.1","42_shinobu_idle2talk","1","3","0","19420022"
"0.2","","2","","942","","42_boat_idle","","3","1","19420023"
"","","vo_fpc","0","942","","vo_fpc_30202","","21","","19420024"
"0","1","127111","1","942","0","ええ、とても楽しい冒険でしたね。\nあの衣装は今でも\n大切に保管していますよ。","0","11","7","19420025"
"","","0","","942","","0","","91","","19420026"
"0.2","","127111","42_shinobu_idle","942","0.1","42_shinobu_talk2idle","1","3","0","19420027"
"0.2","","113211","42_anna_idle","942","0.1","42_anna_doya2idle","1","3","0","19420028"
"0.2","","2","","942","","42_boat_idle","","3","1","19420029"
"","","vo_fpc","0","942","","vo_fpc_30203","","21","","19420030"
"0","0.5","113211","1","942","0","あれからどうだ？\nなにか面白い事件や冒険があったなら\nぜひ聞かせてくれ！","0","11","7","19420031"
"","","0","","942","","0","","91","","19420032"
"","","vo_fpc","0","942","","vo_fpc_30204","","21","","19420033"
"0","1","113211","1","942","0","（冥風戦記のいいネタに\nなるかもしれないからな！）","0","11","10","19420034"
"","","0","","942","","0","","91","","19420035"
"0.2","","113211","","942","","42_anna_idle","","3","1","19420036"
"0.2","","127111","42_shinobu_talk","942","0.1","42_shinobu_idle2talk","1","3","0","19420037"
"0.2","","2","","942","","42_boat_idle","","3","1","19420038"
"","","vo_fpc","0","942","","vo_fpc_30205","","21","","19420039"
"0","0.5","127111","1","942","0","はい。ありましたよ。\nリゾートビーチで巻き起こる\n様々な霊障…","0","11","6","19420040"
"","","0","","942","","0","","91","","19420041"
"0.2","","113211","","942","","42_anna_idle","","3","1","19420042"
"0.2","","127111","42_shinobu_horror","942","0.1","42_shinobu_talk2horror","1","3","0","19420043"
"0.2","","2","","942","","42_boat_idle","","3","1","19420044"
"","","107","","942","","1","","32","","19420045"
"","","vo_fpc","0","942","","vo_fpc_30206","","21","","19420046"
"0","1","127111","1","942","0","その裏には生者と死者の欲望が\n混ざり合ったどろどろとした真実が…","0","11","5","19420047"
"","","6.5","","942","","0","","93","","19420048"
"","","1.5","","942","","0","","93","","19420049"
"","","19420047","","942","","0","","91","","19420050"
"0.1","","127111","","942","","42_shinobu_horror","","3","1","19420051"
"0.1","","113211","","942","","42_anna_scared","","3","1","19420052"
"0.1","","2","","942","","42_boat_idle","","3","1","19420053"
"","","vo_fpc","0","942","","vo_fpc_30207","","21","","19420054"
"0","1.5","113211","1","942","0","ちょっ！　待ってくれ！\nそれ大丈夫なヤツ？\nなあ、シノブ…シノブってばあ！","0","11","6","19420055"
"","","9.13333333333333","","942","","0","","93","","19420056"
"","","1.5","","942","","0","","93","","19420057"
"","","19420055","","942","","0","","91","","19420058"
"","","113211","4.52488687782805","942","","940","","2","-250","19420059"
"","","127111","4.52488687782805","942","","1080","","2","-250","19420060"
"","","2","4.52488687782805","942","","1000","","2","-250","19420061"
"","","106","4.52488687782805","942","","1000","","33","-250","19420062"
"","","0","","942","","","","91","","19420063"
"1.75","cmn_float","1","-850","943","0","122511","-180","1","23","19430001"
"1.75","43_tsumugi_deredere","1","-800","943","0","117411","-125","1","13","19430002"
"1.75","cmn_float_item_09_Ball","1","-1675","943","0","11","-125","5","12","19430003"
"1.75","cmn_floatRing_pink","1","-850","943","0","12","-250","5","32","19430004"
"1.75","cmn_floatRing_blue","1","-2500","943","0","13","-250","5","32","19430005"
"1","","8","-180","943","","1225114","1","31","-850","19430006"
"1","","5","-125","943","","1174114","1","31","-800","19430007"
"1","","5","-125","943","","411","1","31","-1675","19430008"
"1","","4","-250","943","","412","1","31","-850","19430009"
"1","","4","-250","943","","413","1","31","-2500","19430010"
"0","","110","-125","943","","1101","1","31","-350","19430011"
"1","","se_10053800","","943","","se_fpc_water_random","","23","1","19430012"
"","","19430011","","943","","","","91","","19430013"
"","","12","24.2647058823529","943","","2450","","2","-250","19430014"
"","","412","24.2647058823529","943","","2450","","33","-250","19430015"
"","","11","24.2647058823529","943","","1625","","2","-125","19430016"
"","","411","24.2647058823529","943","","1625","","33","-125","19430017"
"","","13","24.2647058823529","943","","800","","2","-250","19430018"
"","","413","24.2647058823529","943","","800","","33","-250","19430019"
"","","2","","943","","0","","93","","19430020"
"","","122511","6.25","943","","0","12","2","-180","19430021"
"","","1225114","6.25","943","","0","12","33","-180","19430022"
"","","19430021","","943","","","","91","","19430023"
"","","vo_fpc","0","943","","vo_fpc_30301","","21","","19430024"
"0","1","122511","1","943","0","ずいぶんと色々なものが流れているね。\nここがプールでないなら、\n魚が潜んでいそうだけど…","0","11","7","19430025"
"","","0","","943","","","","91","","19430026"
"","","117411","6.92307692307692","943","","-350","12","2","-125","19430027"
"","","1174114","6.92307692307692","943","","-350","12","33","-125","19430028"
"","","vo_fpc","0","943","","vo_fpc_30302","","21","","19430029"
"0","1","122511","1","943","0","そうだ、この流れに身を任せることで\n渓流の魚たちの気持ちを学べば、\n次の釣りに活かせるかもしれないな。","0","11","6","19430030"
"","","0","","943","","","","91","","19430031"
"","","19430028","","943","","","","91","","19430032"
"","","vo_fpc","0","943","","vo_fpc_30303","","21","","19430033"
"0","1","117411","1","943","0","はぁ、レイ様…♡\n流れる姿も麗しいですね。\nずっと見ていられるぅ…","0","11","7","19430034"
"","","0","","943","","","","91","","19430035"
"0.1","","122511","43_rei_notice_loop","943","0.1","43_rei_notice_in","1","3","0","19430036"
"","","vo_fpc","0","943","","vo_fpc_30304","","21","","19430037"
"0","0.5","122511","1","943","0","むっ…なんだ？\nこの獲物を狙う猛禽のような殺気は？\n誰かいるのか？","0","11","5","19430038"
"","","0","","943","","","","91","","19430039"
"","","1101","","943","","1","","32","","19430040"
"","","1174114","","943","","0","","32","","19430041"
"0.1","","122511","43_rei_aseri","943","0.1","43_rei_turn","1","3","0","19430042"
"0.1","","117411","","943","","43_tsumugi_hide","","3","0","19430043"
"","","3","","943","","0","","93","","19430044"
"0.1","","117411","43_tsumugi_deredere","943","0.1","43_tsumugi_appear","1","3","0","19430045"
"","","1","","943","","0","","93","","19430046"
"","","1101","","943","","0","","32","","19430047"
"","","1174114","","943","","1","","32","","19430048"
"","","vo_fpc","0","943","","vo_fpc_30305","","21","","19430049"
"0","0.5","122511","1","943","0","誰もいなかったな…\nいや…そこ！","0","11","6","19430050"
"","","0","","943","","","","91","","19430051"
"","","1101","","943","","1","","32","","19430052"
"","","1174114","","943","","0","","32","","19430053"
"0.1","","122511","43_rei_aseri_2","943","0.1","43_rei_turn","1","3","0","19430054"
"0.1","","117411","","943","","43_tsumugi_hide","","3","0","19430055"
"","","3","","943","","0","","93","","19430056"
"0.1","","117411","43_tsumugi_deredere","943","0.1","43_tsumugi_appear","1","3","0","19430057"
"","","1","","943","","0","","93","","19430058"
"","","1101","","943","","0","","32","","19430059"
"","","1174114","","943","","1","","32","","19430060"
"","","vo_fpc","0","943","","vo_fpc_30306","","21","","19430061"
"0","1","122511","1","943","0","やはり誰もいないか。\nだがこの悪寒はなんだ…？\nくっ、まるで狙われる魚の気持ちだよ。","0","11","5","19430062"
"","","0","","943","","","","91","","19430063"
"","","122511","3.84615384615385","943","","850","","2","-180","19430064"
"","","1225114","3.84615384615385","943","","850","","33","-180","19430065"
"","","117411","2.57352941176471","943","","0","12","2","-125","19430066"
"","","1174114","2.57352941176471","943","","0","12","33","-125","19430067"
"","","0","","943","","","","91","","19430068"
"","","vo_fpc","0","943","","vo_fpc_30307","","21","","19430069"
"0","1","117411","1","943","0","ああ、レイ様の凛々しいお姿を\nこんな近くで見られるなんて\n眼福です～","0","11","6","19430070"
"","","0","","943","","","","91","","19430071"
"","","117411","3.84615384615385","943","","850","","2","-125","19430072"
"","","1174114","3.84615384615385","943","","850","","33","-125","19430073"
"","","0","","943","","","","91","","19430074"
"1.4875","44_tamaki_in","1","800","944","0","107911","-15","1","12","19440001"
"1.4875","44_tamaki_in","3","800","944","0","3","-15","5","13","19440002"
"1.75","44_yukari_idle","1","-1000","944","0","126811","-250","1","33","19440003"
"1.75","cmn_boat_idle","2","-1000","944","0","2","-250","5","32","19440004"
"1.4875","44_mifuyu_run","1","-800","944","0","108011","-15","1","12","19440005"
"1","","101","-250","944","","126811","1","31","-1000","19440006"
"0","","1004","140","944","","1004","1","31","-560","19440007"
"1","","se_10053800","","944","","se_fpc_water_random","","23","1","19440008"
"","","19440007","","944","","0","","91","","19440009"
"","","107911","2.26244343891403","944","","300","","2","-15","19440010"
"","","3","2.26244343891403","944","","300","","2","-15","19440011"
"","","","","944","","","","91","","19440012"
"0.1","","107911","44_tamaki_sale_loop","944","0.1","44_tamaki_sale","1","3","","19440013"
"0.1","","3","44_tamaki_sale_loop","944","0.1","44_tamaki_sale","1","3","","19440014"
"","","vo_fpc","0","944","","vo_fpc_30401","","21","","19440015"
"0","1","107911","1","944","0","たい焼き～、たい焼き～\nおいしいたい焼き屋さんにゃ～","0","11","6","19440016"
"","","0","","944","","","","91","","19440017"
"","","126811","5.29411764705882","944","","-100","12","2","-250","19440018"
"","","2","5.29411764705882","944","","-100","12","2","-250","19440019"
"","","126811","5.29411764705882","944","","-100","12","33","-250","19440020"
"","","","","944","","","","91","","19440021"
"0.1","","107911","44_tamaki_present_loop","944","0.1","44_tamaki_present","1","3","0","19440022"
"0.1","","3","44_tamaki_present_loop","944","0.1","44_tamaki_present","1","3","0","19440023"
"","","vo_fpc","0","944","","vo_fpc_30402","","21","","19440024"
"0","1","107911","1","944","0","はい、そこの流れてくるおねーさん\nたい焼きいかがかにゃ？","0","11","8","19440025"
"","","0","","944","","","","91","","19440026"
"0.2","","126811","44_yukari_notice_loop","944","0.1","44_yukari_notice","1","3","0","19440027"
"0.2","","2","","944","","cmn_boat_idle","","3","1","19440028"
"","","vo_fpc","0","944","","vo_fpc_30403","","21","","19440029"
"0","1","126811","1","944","0","あら、タマキさんじゃない。\nこんなところで何やってるの？","0","11","10","19440030"
"","","0","","944","","","","91","","19440031"
"","","vo_fpc","0","944","","vo_fpc_30404","","21","","19440032"
"0","1","107911","1","944","0","なんだ、ユカリだったかにゃ。\n何ってもちろん商売にゃ！","0","11","10","19440033"
"","","0","","944","","","","91","","19440034"
"0.1","","107911","44_tamaki_sale_loop","944","0.1","44_tamaki_present2sale","1","3","0","19440035"
"0.1","","3","44_tamaki_sale_loop","944","0.1","44_tamaki_present2sale","1","3","0","19440036"
"","","vo_fpc","0","944","","vo_fpc_30405","","21","","19440037"
"0","1","107911","1","944","0","こんなに人がいっぱいいる商機、\n見逃すわけにはいかないにゃ！","0","11","10","19440038"
"","","0","","944","","","","91","","19440039"
"0.2","","126811","44_yukari_worry_loop","944","0.1","44_yukari_worry","1","3","0","19440040"
"0.2","","2","","944","","cmn_boat_idle","","3","1","19440041"
"","","vo_fpc","0","944","","vo_fpc_30406","","21","","19440042"
"0","1","126811","1","944","0","それ、アキノさんの許可とってるの？\nもし無許可だったら怒られるわよ？","0","11","7","19440043"
"","","0","","944","","","","91","","19440044"
"","","vo_fpc","0","944","","vo_fpc_30407","","21","","19440045"
"0","0.5","107911","1","944","0","大丈夫にゃ。バレないように…\nってやばいにゃ！　見回りだにゃ！","0","11","8","19440046"
"","","0","","944","","","","91","","19440047"
"","","1004","","944","","1","","32","","19440048"
"","","1","","944","","0","","93","","19440049"
"0.1","","107911","44_tamaki_run","944","0.1","44_tamaki_surprise","1","3","0","19440050"
"0.1","","3","44_tamaki_run","944","0.1","44_tamaki_surprise","1","3","0","19440051"
"0.1","","3","44_tamaki_run","944","0.1","44_tamaki_surprise","1","3","0","19440052"
"","","vo_fpc","0","944","","vo_fpc_30408","","21","","19440053"
"0","1","107911","1","944","0","ズラかるにゃー！","0","11","10","19440054"
"","","0.8","","944","","0","","93","","19440055"
"","","107911","1.74034110685694","944","","800","","2","-15","19440056"
"","","3","1.74034110685694","944","","800","","2","-15","19440057"
"","","108011","4.82654600301659","944","","800","","2","-15","19440058"
"","","1004","4.82654600301659","944","","800","","33","-15","19440059"
"","","0.8","","944","","0","","93","","19440060"
"","","vo_fpc","0","944","","vo_fpc_30409","","21","","19440061"
"0","0.5","108011","1","944","0","無許可営業は取り締まり対象よ！\n待ちなさい！","0","11","15","19440062"
"","","19440058","","944","","","","91","","19440063"
"","","vo_fpc","0","944","","vo_fpc_30410","","21","","19440064"
"0","1.5","126811","1","944","0","ちょ、タマキさん？\nやっぱり無許可だったんじゃない。\n…なんだかお腹減ったわね。\nたい焼きもらっておけばよかったわ。","0","11","7","19440065"
"","","11.6571428571429","","944","","1","","93","","19440066"
"0.2","","126811","44_yukari_smile_loop","944","0.1","44_yukari_smile","1","3","0","19440067"
"0.2","","2","","944","","cmn_boat_idle","","3","1","19440068"
"","","1.5","","944","","0","","93","","19440069"
"","","19440065","","944","","","","91","","19440070"
"","","126811","4.97737556561086","944","","1000","","2","-250","19440071"
"","","2","4.97737556561086","944","","1000","","2","-250","19440072"
"","","126811","4.97737556561086","944","","1000","","33","-250","19440073"
"","","0","","944","","","","91","","19440074"
"1.75","45_yui_cmn_swm_tread","1","-1150","945","0","122611","-180","1","23","19450001"
"1.75","45_makoto_idle","1","-800","945","0","110411","-125","1","12","19450002"
"1.75","empty","23","-250","945","0","23","-180","5","32","19450003"
"1.75","cmn_swm_tread_pink","1","-1150","945","0","1","-180","5","22","19450004"
"1","","3","-180","945","","1226113","1","31","-1150","19450005"
"1","","4","-125","945","","1104111","1","31","-770","19450006"
"0","","117","-125","945","","117","1","31","150","19450007"
"0","","111","-180","945","","111","1","31","-250","19450008"
"1","","se_10053800","","945","","se_fpc_water_random","","23","1","19450009"
"","","19450008","","945","","0","","91","","19450010"
"","","110411","5.58823529411765","945","","150","12","2","-125","19450011"
"","","1104111","5.58823529411765","945","","180","12","33","-125","19450012"
"","","122611","5.58823529411765","945","","-200","12","2","-180","19450013"
"","","1","5.58823529411765","945","","-200","12","2","-180","19450014"
"","","1226113","5.58823529411765","945","","-200","12","33","-180","19450015"
"","","19450015","","945","","","","91","","19450016"
"0.1","","122611","","945","","45_yui_idle","","3","1","19450017"
"0.1","","1","","945","","45_yui_idle","","3","1","19450018"
"0.1","","110411","","945","","45_makoto_talk","","3","1","19450019"
"","","vo_fpc","0","945","","vo_fpc_30501","","21","","19450020"
"0","1","110411","1","945","0","どうしたんだ、ユイ？\nあいつのために\nわざわざ弁当作ってきたんだろ？\nとっとと誘えばいいじゃないか。","0","11","10","19450021"
"","","0","","945","","","","91","","19450022"
"","","vo_fpc","0","945","","vo_fpc_30502","","21","","19450023"
"0","1","122611","1","945","0","買い出しまで手伝ってもらったのに\nごめんね。でも、お弁当の中身、\nちょっと張り切りすぎちゃって…","0","11","7","19450024"
"","","0","","945","","","","91","","19450025"
"","","vo_fpc","0","945","","vo_fpc_30503","","21","","19450026"
"0","1","110411","1","945","0","なんだよ、張り切りすぎちゃったって。\n用意してた材料は普通だったろ？\nん？　そういやあピンクの桜でんぶ\n買ってたよな。まさか…","0","11","7","19450027"
"","","0","","945","","","","91","","19450028"
"0.1","","110411","45_makoto_talk_surprise_loop","945","0.1","45_makoto_talk_surprise","1","3","0","19450029"
"0.1","","122611","45_yui_shy_loop","945","0.1","45_yui_shy_in","1","3","0","19450030"
"0.1","","1","45_yui_shy_loop","945","0.1","45_yui_shy_in","1","3","0","19450031"
"","","vo_fpc","0","945","","vo_fpc_30504","","21","","19450032"
"0","1","122611","1","945","0","…うん、やっちゃった…\nおっきなハートマーク…\nやっぱりこれは無しで！\nマコトちゃん食べてくれる！？","0","11","5","19450033"
"","","0","","945","","","","91","","19450034"
"0.1","","110411","","945","","45_makoto_idle","","3","1","19450035"
"","","vo_fpc","0","945","","vo_fpc_30505","","21","","19450036"
"0","0.5","110411","1","945","0","わかったよ。あたしがついてって\nかわりに食ってやるから…\n他のおかずは自信作なんだろ？\nほら、早く行くぞ！","0","11","9","19450037"
"","","0","","945","","","","91","","19450038"
"0.1","","110411","cmn_swm_dogscratch","945","0.1","45_makoto_dogscratch_in","1","3","0","19450039"
"","","0.5","","945","","0","","93","","19450040"
"","","1104111","","945","","0","","32","","19450041"
"","","117","","945","","1","","32","","19450042"
"","","110411","4.07239819004525","945","","1050","0","2","-125","19450043"
"","","117","4.07239819004525","945","","1050","0","33","-125","19450044"
"0.1","","122611","45_yui_idle_2","945","0.1","45_yui_notice","1","3","0","19450045"
"0.1","","1","45_yui_idle","945","0.1","45_yui_notice","1","3","0","19450046"
"","","vo_fpc","0","945","","vo_fpc_30506","","21","","19450047"
"0","1","122611","1","945","0","あ、マコトちゃん？\n待ってよー！","0","11","12","19450048"
"","","0","","945","","","","91","","19450049"
"0.1","","122611","","945","","45_yui_cmn_swm_tread","","3","1","19450050"
"0.1","","1","","945","","cmn_swm_tread_pink","","3","1","19450051"
"","","122611","4.75113122171946","945","","850","0","2","-180","19450052"
"","","1","4.75113122171946","945","","850","0","2","-180","19450053"
"","","1226113","4.75113122171946","945","","850","0","33","-180","19450054"
"","","3","","945","","0","","93","","19450055"
"","","111","","945","","1","","32","","19450056"
"0.1","","23","45_eriko_float_loop","945","0.1","45_eriko_float_in","1","3","0","19450057"
"","","2","","945","","0","","93","","19450058"
"","","vo_fpc","0","945","","vo_fpc_30507","","21","","19450059"
"0","3","23","1","945","0","あのおかたを狙う不埒な気配…\nこれは泥棒猫、いいえ雌犬の匂い？\n排除しなくては…","0","11","3","19450060"
"","","16.7666666666667","","945","","0","","93","","19450061"
"","","1.5","","945","","0","","93","","19450062"
"","","19450060","","945","","","","91","","19450063"
"0.1","","23","","945","","45_eriko_float_end","","3","0","19450064"
"","","3","","945","","0","","93","","19450065"
"","","0","","945","","","","91","","19450066"
"1.4875","cmn_walk","1","-800","946","0","107911","-15","1","12","19460001"
"1.4875","cmn_walk","1","-1000","946","0","107811","-15","1","12","19460002"
"1.75","cmn_swm_flutterKick","1","-910","946","0","122411","-180","1","22","19460003"
"1","","1","-180","946","","122411","1","31","-910","19460004"
"1","","1","-180","946","","115","1","31","-910","19460005"
"1","","se_10053800","","946","","se_fpc_water_random","","23","1","19460006"
"","","19460005","","946","","0","","91","","19460007"
"","","0.3","","946","","0","","93","","19460008"
"0.1","","107811","","946","","cmn_walk","","3","1","19460009"
"","","107911","3.82352941176471","946","","-150","","2","-15","19460010"
"","","107811","3.82352941176471","946","","-350","","2","-15","19460011"
"","","","","946","","","","91","","19460012"
"0.1","","107911","46_tamaki_talk_loop","946","0.1","46_tamaki_talk","1","3","","19460013"
"0.1","","107811","46_kyaru_idle_jitome_loop","946","0.1","46_kyaru_idle_jitome","1","3","","19460014"
"","","vo_fpc","0","946","","vo_fpc_30601","","21","","19460015"
"0","1","107811","1","946","0","みんなあれだけ泳いで\nよく飽きないわね～","0","11","6","19460016"
"","","0","","946","","","","91","","19460017"
"","","vo_fpc","0","946","","vo_fpc_30602","","21","","19460018"
"0","1","107911","1","946","0","うん？\nもしかして水場は苦手にゃ？","0","11","8","19460019"
"","","0","","946","","","","91","","19460020"
"0.1","","107811","46_kyaru_talk_loop","946","0.1","46_kyaru_talk","1","3","","19460021"
"","","vo_fpc","0","946","","vo_fpc_30603","","21","","19460022"
"0","1","107811","1","946","0","ん～、浮輪に乗ったりするのはいいけど\n泳ぐのはちょっと、って感じ。わかる？","0","11","6","19460023"
"","","0","","946","","","","91","","19460024"
"0.1","","107911","46_tamaki_nod_loop","946","0.1","46_tamaki_nod","1","3","","19460025"
"","","vo_fpc","0","946","","vo_fpc_30604","","21","","19460026"
"0","0.5","107911","1","946","0","わかるにゃ。あたし含めて猫の獣人族は\nそういう人多い気がするにゃ。","0","11","7","19460027"
"","","0","","946","","","","91","","19460028"
"","","122411","8.64253393665158","946","","1000","","2","-180","19460029"
"","","122411","8.64253393665158","946","","1000","","33","-180","19460030"
"","","3","","946","","0","","93","","19460031"
"0.1","","122411","46_hiyori_flutterKick_handWave_loop","946","0.1","46_hiyori_flutterKick_handWave","1","3","0","19460032"
"","","vo_fpc","0","946","","vo_fpc_30605","","21","","19460033"
"0","1","122411","1","946","0","あ、やっほー！","0","11","10","19460034"
"","","2","","946","","0","","93","","19460035"
"0.1","","107911","46_tamaki_handwave_loop","946","0.1","46_tamaki_handwave","1","3","","19460036"
"0.1","","107811","46_kyaru_idle_smile_loop","946","0.1","46_kyaru_idle_smile","1","3","","19460037"
"","","1.5","","946","","0","","93","","19460038"
"","","vo_fpc","0","946","","vo_fpc_30606","","21","","19460039"
"0","1","107911","1","946","0","やっほー\nまあ、当然例外もいるけどにゃ。","0","11","6","19460040"
"","","0","","946","","","","91","","19460041"
"0.1","","107911","46_tamaki_talk2_loop","946","0.1","46_tamaki_talk2","1","3","0","19460042"
"","","vo_fpc","0","946","","vo_fpc_30607","","21","","19460043"
"0","0.5","107811","1","946","0","そうね。\n…にしても元気ねえ。","0","11","5","19460044"
"","","0","","946","","","","91","","19460045"
"0.1","","107811","46_kyaru_idle_normal_loop","946","0.1","46_kyaru_idle_normal","1","3","0","19460046"
"","","0.5","","946","","0","","93","","19460047"
"","","115","","946","","0","","32","","19460048"
"","","122411","","946","","0","","32","","19460049"
"","","122411","0","946","","-910","","2","-180","19460050"
"","","115","0","946","","-910","","33","-180","19460051"
"","","122411","4.80140774258421","946","","1000","","2","-180","19460052"
"","","115","4.80140774258421","946","","1000","","33","-180","19460053"
"","","115","","946","","1","","32","","19460054"
"0.1","","122411","","946","","46_hiyori_flutterKickFast","","3","1","19460055"
"","","1.5","","946","","0","","93","","19460056"
"","","vo_fpc","0","946","","vo_fpc_30608","","21","","19460057"
"0","1","122411","1","946","0","わーい！","0","11","15","19460058"
"","","0.766666666666667","","946","","0","","93","","19460059"
"","","1.5","","946","","0","","93","","19460060"
"","","19460052","","946","","","","91","","19460061"
"0.1","","107911","46_tamaki_talk3_loop","946","0.1","46_tamaki_talk3","1","3","","19460062"
"","","vo_fpc","0","946","","vo_fpc_30609","","21","","19460063"
"0","0.5","107911","1","946","0","…あれ？　ここのプールって、\n結構な長さだったはずにゃ。","0","11","10","19460064"
"","","0","","946","","","","91","","19460065"
"0.1","","107811","46_kyaru_idle_normal2_loop","946","0.1","46_kyaru_idle_normal2","1","3","0","19460066"
"","","115","","946","","0","","32","","19460067"
"","","122411","0","946","","-910","","2","-180","19460068"
"","","115","0","946","","-910","","33","-180","19460069"
"","","122411","2.1606334841629","946","","1000","","2","-180","19460070"
"","","115","2.1606334841629","946","","1000","","33","-180","19460071"
"","","115","","946","","1","","32","","19460072"
"1","","se_10053800","","946","","se_10053800_946_hiyori","","23","0","19460073"
"","","0.5","","946","","0","","93","","19460074"
"","","vo_fpc","0","946","","vo_fpc_30610","","21","","19460075"
"0","1","122411","1","946","0","わー！","0","11","20","19460076"
"","","0.65","","946","","0","","93","","19460077"
"","","1.5","","946","","0","","93","","19460078"
"0.1","","107811","46_kyaru_surprise_loop","946","0.1","46_kyaru_surprise","1","3","0","19460079"
"0.1","","107911","46_tamaki_talk4_loop","946","0.1","46_tamaki_talk4","1","3","","19460080"
"","","vo_fpc","0","946","","vo_fpc_30611","","21","","19460081"
"0","0.5","107811","1","946","0","今さっき通ったばっかよね？\nどんだけ速く泳いでるのよ！？","0","11","10","19460082"
"","","0","","946","","","","91","","19460083"
"","","115","","946","","0","","32","","19460084"
"","","122411","0","946","","-910","","2","-180","19460085"
"","","115","0","946","","-910","","33","-180","19460086"
"","","122411","2.1606334841629","946","","1000","","2","-180","19460087"
"","","115","2.1606334841629","946","","1000","","33","-180","19460088"
"","","115","","946","","1","","32","","19460089"
"1","","se_10053800","","946","","se_10053800_946_hiyori","","23","0","19460090"
"","","0.5","","946","","0","","93","","19460091"
