3f45154b3679c3152c433c5d36a967b27b26222ea0d74988bbf3e03d79c4231e,801cf61fa9a310acfb9925ee8c95bf8be8f04943dce8d4bf488d2a459e95b85e,d2e605415f139beca30a695d0e6ef992aba01cb085c41d5cbb1e726487ea54aa,2dab1efce72b38559e29f2b3ce52e8c6881a89e22b1b6caeeb39bfa72cd59f50,316ff06080f702f81425406d4a8b544fb06480f65ef1662b0858e9d6e63937db
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","934","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92416210"
"ＴＰダウンカット","boss_tp_down_cut","935","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92416210"
"ダメージ減衰","18","936","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92416210"
"ＴＰ上昇上限付与","17","937","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92416210"
"ＨＰ吸収ダウン","9","938","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92416210"
"光属性ボーナス特大アップ","15","939","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92416220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","940","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92416220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","941","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92416220"
"ＴＰダウンカット","boss_tp_down_cut","942","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92416220"
"ダメージ減衰","18","943","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92416220"
"ＴＰ上昇上限付与","17","944","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92416220"
"ＨＰ吸収ダウン","9","945","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92416220"
"光属性ボーナス特大アップ","15","946","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92416230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","947","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92416230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","948","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92416230"
"ＴＰダウンカット","boss_tp_down_cut","949","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92416230"
"ダメージ減衰","18","950","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92416230"
"ＴＰ上昇上限付与","17","951","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92416230"
"ＨＰ吸収ダウン","9","952","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92416230"
"光属性ボーナス特大アップ","15","953","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92416240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","954","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92416240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","955","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92416240"
"ＴＰダウンカット","boss_tp_down_cut","956","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92416240"
"ダメージ減衰","18","957","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92416240"
"ＴＰ上昇上限付与","17","958","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92416240"
"ＨＰ吸収ダウン","9","959","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92416240"
"光属性ボーナス特大アップ","15","960","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92416310"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","961","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92416310"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","962","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92416310"
"ＴＰダウンカット","boss_tp_down_cut","963","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92416310"
"ダメージ減衰","18","964","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92416310"
"ＴＰ上昇上限付与","17","965","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92416310"
"ＨＰ吸収ダウン","9","966","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92416310"
"光属性ボーナス特大アップ","15","967","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92416320"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","968","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92416320"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","969","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92416320"
"ＴＰダウンカット","boss_tp_down_cut","970","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92416320"
"ダメージ減衰","18","971","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92416320"
"ＴＰ上昇上限付与","17","972","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92416320"
"ＨＰ吸収ダウン","9","973","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92416320"
"光属性ボーナス特大アップ","15","974","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92416330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","975","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92416330"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","976","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92416330"
"ＴＰダウンカット","boss_tp_down_cut","977","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92416330"
"ダメージ減衰","18","978","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92416330"
"ＴＰ上昇上限付与","17","979","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92416330"
"ＨＰ吸収ダウン","9","980","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92416330"
"光属性ボーナス特大アップ","15","981","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","92416340"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","982","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92416340"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","983","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92416340"
"ＴＰダウンカット","boss_tp_down_cut","984","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92416340"
"ダメージ減衰","18","985","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92416340"
"ＴＰ上昇上限付与","17","986","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92416340"
"ＨＰ吸収ダウン","9","987","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92416340"
"闇属性ボーナス特大アップ","16","988","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","989","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","990","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417010"
"ＴＰ上昇上限付与","17","991","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417010"
"ＨＰ吸収ダウン","9","992","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417010"
"闇属性ボーナス特大アップ","16","993","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","994","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","995","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417020"
"ＴＰ上昇上限付与","17","996","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417020"
"ＨＰ吸収ダウン","9","997","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417020"
"闇属性ボーナス特大アップ","16","998","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","999","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1000","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417030"
"ＴＰ上昇上限付与","17","1001","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417030"
"ＨＰ吸収ダウン","9","1002","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417030"
"闇属性ボーナス特大アップ","16","1003","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1004","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1005","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417110"
"ＴＰダウンカット","boss_tp_down_cut","1006","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92417110"
"ダメージ減衰","18","1007","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417110"
"ＴＰ上昇上限付与","17","1008","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417110"
"ＨＰ吸収ダウン","9","1009","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417110"
"闇属性ボーナス特大アップ","16","1010","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417120"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1011","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417120"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1012","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417120"
"ＴＰダウンカット","boss_tp_down_cut","1013","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92417120"
"ダメージ減衰","18","1014","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417120"
"ＴＰ上昇上限付与","17","1015","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417120"
"ＨＰ吸収ダウン","9","1016","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417120"
"闇属性ボーナス特大アップ","16","1017","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417130"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1018","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417130"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1019","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417130"
"ＴＰダウンカット","boss_tp_down_cut","1020","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92417130"
"ダメージ減衰","18","1021","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417130"
"ＴＰ上昇上限付与","17","1022","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417130"
"ＨＰ吸収ダウン","9","1023","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417130"
"闇属性ボーナス特大アップ","16","1024","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417140"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1025","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417140"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1026","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417140"
"ＴＰダウンカット","boss_tp_down_cut","1027","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92417140"
"ダメージ減衰","18","1028","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417140"
"ＴＰ上昇上限付与","17","1029","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417140"
"ＨＰ吸収ダウン","9","1030","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417140"
"闇属性ボーナス特大アップ","16","1031","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417210"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1032","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417210"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1033","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417210"
"ＴＰダウンカット","boss_tp_down_cut","1034","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92417210"
"ダメージ減衰","18","1035","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417210"
"ＴＰ上昇上限付与","17","1036","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417210"
"ＨＰ吸収ダウン","9","1037","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417210"
"闇属性ボーナス特大アップ","16","1038","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417220"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1039","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417220"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1040","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417220"
"ＴＰダウンカット","boss_tp_down_cut","1041","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92417220"
"ダメージ減衰","18","1042","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417220"
"ＴＰ上昇上限付与","17","1043","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417220"
"ＨＰ吸収ダウン","9","1044","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417220"
"闇属性ボーナス特大アップ","16","1045","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417230"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1046","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1047","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417230"
"ＴＰダウンカット","boss_tp_down_cut","1048","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92417230"
"ダメージ減衰","18","1049","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417230"
"ＴＰ上昇上限付与","17","1050","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417230"
"ＨＰ吸収ダウン","9","1051","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417230"
"闇属性ボーナス特大アップ","16","1052","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417240"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1053","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417240"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1054","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417240"
"ＴＰダウンカット","boss_tp_down_cut","1055","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92417240"
"ダメージ減衰","18","1056","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417240"
"ＴＰ上昇上限付与","17","1057","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417240"
"ＨＰ吸収ダウン","9","1058","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417240"
"闇属性ボーナス特大アップ","16","1059","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417310"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1060","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417310"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1061","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417310"
"ＴＰダウンカット","boss_tp_down_cut","1062","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","92417310"
"ダメージ減衰","18","1063","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417310"
"ＴＰ上昇上限付与","17","1064","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417310"
"ＨＰ吸収ダウン","9","1065","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417310"
"闇属性ボーナス特大アップ","16","1066","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417320"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1067","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417320"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1068","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417320"
"ＴＰダウンカット","boss_tp_down_cut","1069","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","92417320"
"ダメージ減衰","18","1070","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417320"
"ＴＰ上昇上限付与","17","1071","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417320"
"ＨＰ吸収ダウン","9","1072","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417320"
"闇属性ボーナス特大アップ","16","1073","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417330"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1074","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417330"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1075","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417330"
"ＴＰダウンカット","boss_tp_down_cut","1076","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","92417330"
"ダメージ減衰","18","1077","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417330"
"ＴＰ上昇上限付与","17","1078","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417330"
"ＨＰ吸収ダウン","9","1079","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417330"
"闇属性ボーナス特大アップ","16","1080","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","92417340"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1081","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92417340"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1082","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92417340"
"ＴＰダウンカット","boss_tp_down_cut","1083","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","92417340"
"ダメージ減衰","18","1084","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92417340"
"ＴＰ上昇上限付与","17","1085","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92417340"
"ＨＰ吸収ダウン","9","1086","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92417340"
"火属性ボーナス特大アップ","12","1087","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92418010"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1088","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92418010"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1089","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92418010"
"ＴＰ上昇上限付与","17","1090","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92418010"
"ＨＰ吸収ダウン","9","1091","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92418010"
"火属性ボーナス特大アップ","12","1092","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92418020"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1093","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92418020"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1094","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92418020"
"ＴＰ上昇上限付与","17","1095","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92418020"
"ＨＰ吸収ダウン","9","1096","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92418020"
"火属性ボーナス特大アップ","12","1097","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92418030"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1098","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92418030"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1099","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92418030"
"ＴＰ上昇上限付与","17","1100","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92418030"
"ＨＰ吸収ダウン","9","1101","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92418030"
"火属性ボーナス特大アップ","12","1102","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92418110"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1103","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","92418110"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1104","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92418110"
"ＴＰダウンカット","boss_tp_down_cut","1105","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92418110"
"ダメージ減衰","18","1106","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92418110"
"ＴＰ上昇上限付与","17","1107","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92418110"
"ＨＰ吸収ダウン","9","1108","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92418110"
"火属性ボーナス特大アップ","12","1109","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92418120"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1110","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92418120"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1111","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92418120"
"ＴＰダウンカット","boss_tp_down_cut","1112","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","92418120"
"ダメージ減衰","18","1113","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","92418120"
"ＴＰ上昇上限付与","17","1114","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","92418120"
"ＨＰ吸収ダウン","9","1115","バトル開始時、すべてのキャラのＨＰ吸収を中ダウンさせる。","92418120"
"火属性ボーナス特大アップ","12","1116","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","92418130"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","1117","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","92418130"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","1118","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","92418130"
