11d376274cc1a9dc4d13fe3ae36db41f36c5251f8273a080a9f508d367df2073,d3d85f435dda77c4f1c732da6b20a435440fdf7071547335a18f678c1ac15aaa,cfc439718997deba437faf2707bf7fdadab94272946ada56fde9b57aa07364b5,af2697a15682a884dcff7b32b151b735043fbcccbeb522a2cc0c95aeea024d0e,d1a5de84812c2a5d5611310c3ac2baa4fdfccc788f5a78fb5e37e31d9df8ae89,c3bf637fcfab0090cabdd794fed5d95da1027ff3b5374915601429e8dd622f1b,4b176205fb95ca492bb1bcb537ae8ba6d5f047eb09402b0af9769ed810e40ff9,2230eaec5d03466b910787cebb66f662f7330fd1d5bdd942e3c80c235ee2147d,cb02d2c503accd922912929dd6f949220d305fba1f01dcf73559cccb3217419a,b5c49498b4a6b2abb44e10f5c4fc1f92a730e07ada8c6eeee361a5058d7ffb3e,58e8fe3324d5c5379c895e746c9a549e34ee2e48e082a208ff9615c36668b4d6,2406bb49a858c7962d8ba476e502a8eb55c47062e41e0ddf9023474006a4f35b
"今日の運勢は中吉！　悩まず行動すれば強運に恵まれる！　　　　守るよりも攻めるが吉だ！　勝負事をするにはいい運勢だな！","558","2","0","","60004","2","3","0","","0","0"
"今日の運勢は中吉！　お出かけした先で良縁に恵まれそうです！　ダウナー系あざとい女子が、あま～い飴をくれるかも？","559","1","0","","60004","2","3","0","","0","0"
"今日の運勢は中吉！　大抵のことはゴリ押しでなんとかできます！ラッキープレイスはゲーセン。パンチングマシンでストレス発散！","560","1","0","","60004","2","3","0","","0","0"
"今日の運勢は中吉！　健康に気を遣って気持ちのいい一年を！\n体に不調があるときは遠慮なく言いなさい、隅々まで調べてあげる","561","1","0","","60004","2","3","0","","0","0"
"今日の運勢は中吉！　歌を口ずさみ、幸運を呼び込もう！\n幸運になれるかは分からないけど……一緒に、歌いましょ？","562","1","0","","60004","2","3","0","","0","0"
"今日の運勢は中吉！　誰かに尽くすことで掴める幸せもあるかも？\n人事を尽くして天命を待つ！　さ、年始もバリバリ働きますわよ♪","563","1","0","","60004","2","3","0","","0","0"
"今日の運勢は小吉！　難しい頼み事をされるかもしれません！　　うまくやれればきっと成長につながります、挑戦してみましょう！","564","1","0","","60004","2","4","0","","0","0"
"今日の運勢は小吉！　無理は禁物、お家で静かにしていましょう　プロぼっちの私が、お家での過ごし方……教えてあげましょうか？","565","1","0","","60004","2","4","0","","0","0"
"今日の運勢は小吉！　思わぬ相手と仲良くなれるかも？　　　　　うっかり毒舌をもらしてしまわないように要注意です！","566","1","0","","60004","2","4","0","","0","0"
"今日の運勢は小吉！　いろんな事件が起こる一日になりそう！　　状況をよく観察してみようじゃないか！　まさに探偵のごとくね！","567","2","0","","60004","2","4","0","","0","0"
"今日の運勢は小吉！　周りに流されず、マイペースな一日を！　　ただし寝すぎには注意ぐうたらし過ぎず適度な運動を、だってさ～","568","1","0","","60004","2","4","0","","0","0"
"今日の運勢は小吉！　気の向くままに過ごすのが幸せへの近道！　美味い魚を食べて猫を眺めて、自然体で過ごすのはどうだい？","569","1","0","","60004","2","4","0","","0","0"
"今日の運勢は小吉！　小さな勇気で踏み出す一歩が大事！\n遠くから見てるだけじゃダメ。今日は、少しだけ近づいてみます！","570","2","0","","60004","2","4","0","","0","0"
"おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","571","0","0","カリン","60004","3","0","0","","2","190804"
"おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","572","0","7","カリン","60004","3","0","0","","3","190804"
"新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","573","1","0","カリン","60005","1","0","0","","1","190804"
"今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","574","1","0","","60005","2","1","0","","0","0"
"今日の運勢は姫吉！　ずっと祈り続けていた願いが叶うかも！\nきっとあんたならたどり着けるわ、ハッピーエンドのその先に","575","1","0","","60005","2","1","0","","0","0"
"今日の運勢は姫吉！　道を歩けば幸運に当たる、最高の吉日！　　さすがは兄様。尽善尽美、金甌無欠の強運をお持ちですね。","576","2","0","","60005","2","1","0","","0","0"
"今日の運勢は姫吉！　旅立ち、どこへ行くもよし！　　　　　　　新年の門出も、お兄さんと一緒です♪　冒険にしゅっぱーつ♪","577","2","0","","60005","2","1","0","","0","0"
"今日の運勢は姫吉！　一日三食食べれば健康運アップ！　　　　　おせち。おぞうに。もっと、たべよ？　お兄。","578","2","0","","60005","2","1","0","","0","0"
"今日の運勢は大吉！　あなたの趣味がもっと広がるかも！\nかんわゆ～～～いショタと～騎士きゅんもゲット～んふふ～♪","579","1","0","","60005","2","2","0","","0","0"
"今日の運勢は大吉！　お裁縫好きな女の子のお墨付きです！　　　お世話したがりの妹にめいっぱい愛されちゃうかも！？","580","1","0","","60005","2","2","0","","0","0"
"今日の運勢は大吉！　日々の努力が実り、何事も良い方向へ！　　そんな弟くんには、お姉ちゃんのよしよしぎゅ～っをプレゼント♪","581","1","0","","60005","2","2","0","","0","0"
"今日の運勢は大吉！　お出かけするといいことあるかも？　　　　また一緒に、お忍びデートしてくださいね……騎士♪","582","2","0","","60005","2","2","0","","0","0"
"今日の運勢は大吉！　転居するならあたたかい場所が吉！　　　　煉獄の世なれど、住めば都と申しんす。ゆるりときなんせ……♪","583","2","0","","60005","2","2","0","","0","0"
"今日の運勢は中吉！　大抵のことはゴリ押しでなんとかできます！ラッキープレイスはゲーセン。パンチングマシンでストレス発散！","584","1","0","","60005","2","3","0","","0","0"
"今日の運勢は中吉！　誰かに尽くすことで掴める幸せもあるかも？\n人事を尽くして天命を待つ！　さ、年始もバリバリ働きますわよ♪","585","1","0","","60005","2","3","0","","0","0"
"今日の運勢は中吉！　歌を口ずさみ、幸運を呼び込もう！\n幸運になれるかは分からないけど……一緒に、歌いましょ？","586","1","0","","60005","2","3","0","","0","0"
"今日の運勢は中吉！　健康に気を遣って気持ちのいい一年を！\n体に不調があるときは遠慮なく言いなさい、隅々まで調べてあげる","587","1","0","","60005","2","3","0","","0","0"
"今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","588","1","0","","60005","2","3","0","","0","0"
"今日の運勢は中吉！　争いごとは勝つが油断は大敵！　　　　　　ま、このあたしと一緒なら、向かうところ敵はねーですよっ！","589","2","0","","60005","2","3","0","","0","0"
"今日の運勢は中吉！　ラッキーアイテムは「光るもの」！　　　　ハツネちゃんの「きらーんっ☆」な魔法、見せちゃおうかなっ？","590","2","0","","60005","2","3","0","","0","0"
"今日の運勢は小吉！　のんびり穏やかな一日となるでしょう！　　あなた様を邪魔するものは全てエリコが排除しますわ、クスクス♪","591","1","0","","60005","2","4","0","","0","0"
"今日の運勢は小吉！　小さな勇気で踏み出す一歩が大事！\n遠くから見てるだけじゃダメ。今日は、少しだけ近づいてみます！","592","1","0","","60005","2","4","0","","0","0"
"今日の運勢は小吉！　外に出てゆっくり過ごすと運気が上昇！　　ラッキースポットは牧場。面白い出会いがありそうです♪","593","1","0","","60005","2","4","0","","0","0"
"今日の運勢は小吉！　いろんな事件が起こる一日になりそう！　　状況をよく観察してみようじゃないか！　まさに探偵のごとくね！","594","1","0","","60005","2","4","0","","0","0"
"今日の運勢は小吉！　難しい頼み事をされるかもしれません！　　うまくやれればきっと成長につながります、挑戦してみましょう！","595","1","0","","60005","2","4","0","","0","0"
"今日の運勢は小吉！　空を眺めると気持ちが晴れやかに！　　　　眺めるだけじゃなくて、ひとっ飛びしちゃいましょうかっ♪","596","2","0","","60005","2","4","0","","0","0"
"今日の運勢は小吉！　掃除をすると運勢が開けそう！　　　　　　「わ、めんど」「ヴルムっ！　新年早々サボっちゃダメなんだからね！」","597","2","0","","60005","2","4","0","","0","0"
"おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","598","0","0","カリン","60005","3","0","0","","2","190804"
"おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","599","0","7","カリン","60005","3","0","0","","3","190804"
"新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","600","1","0","カリン","60006","1","0","0","","1","190804"
"今日の運勢は姫吉！　勇気を持って、新しいことに挑戦しよう！\n幸先がいいねえ少年！　今年もいい一年になるよう祈ってるよ。","601","2","0","","60006","2","1","0","","0","0"
"今日の運勢は姫吉！　どんなピンチも簡単に乗り越えられそう！\nよい結果が出たようで何よりです。さて、待人の方は……ふふ。","602","2","0","","60006","2","1","0","","0","0"
"今日の運勢は姫吉！　あの人と仲直り……できちゃうかも！？\nはあ……この私があなたの運勢に興味を抱くわけないでしょう？","603","2","0","","60006","2","1","0","","0","0"
"今日の運勢は大吉！　身近な友達との絆が深まる予感……？\n騎士様は、どなたと友誼を結ぶのでしょう？　気になります……","604","1","0","","60006","2","2","0","","0","0"
"今日の運勢は大吉！　ラッキーアイテムは「蛇の抜け殻」！\nこのアタシにお目にかかれるなんて……アンタ、幸せものね♪","605","2","0","","60006","2","2","0","","0","0"
"今日の運勢は中吉！　気になるあの人に会えちゃうかも！？\n『初夢を正夢にする枕』であなたに会え……な、なんでもない！","606","2","0","","60006","2","3","0","","0","0"
"今日の運勢は中吉！　子供に戻って、一日中遊びつくそう！\nお年玉でけん玉ゲット！　おじちゃん、もしかめ一万回やって！","607","2","0","","60006","2","3","0","","0","0"
"今日の運勢は中吉！　今日はおうちで、ゆーっくりくつろごう。\nお雑煮よし。みかんよし。さ、こたつで寝正月だ。君も入る？","608","1","0","","60006","2","3","0","","0","0"
"今日の運勢は小吉！　突然のドッキリに注意！\nおや、後ろに髪の長い女の霊が──フフ、冗談です。私ですよ。","609","2","0","","60006","2","4","0","","0","0"
"今日の運勢は小吉。慌てなくても、幸運はきっとやってくる。\n運は自分で掴むもの──媛が言ってました。でも、どうやって？","610","2","0","","60006","2","4","0","","0","0"
"おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","611","0","0","カリン","60006","3","0","0","","2","190804"
"おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","612","0","5","カリン","60006","3","0","0","","3","190804"
"新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","613","1","0","カリン","60007","1","0","0","","1","190804"
"今日の運勢は姫吉！　絶好調で最高の一日になりそう♪\nわたしも、騎士クンが一緒ならいつだって最高に幸せな日だよ……","614","2","0","","60007","2","1","0","","0","0"
"今日の運勢は姫吉！　新しいことに挑戦するチャンス！\nお姉さんも一緒に挑戦しちゃおっかな♪　飲み処の新規開拓とか！","615","2","0","","60007","2","1","0","","0","0"
"今日の運勢は姫吉！　日々の努力が実を結ぶ予感！\n今日一日鍛錬に勤しむべき、ということだな。では早速行こうか。","616","2","0","","60007","2","1","0","","0","0"
"今日の運勢は大吉！　家族サービスにはぴったりの日！\nさっそく弟くんにあまあまお姉ちゃんの出血大サービス、だよっ♪","617","2","0","","60007","2","2","0","","0","0"
"今日の運勢は大吉！　笑顔で過ごせば周りもみんなハッピーかも！\n『笑う顔はフグになる』ですねっ。幸せいっぱいお届けしますっ","618","2","0","","60007","2","2","0","","0","0"
"今日の運勢は中吉！　恋愛運良し、積極的な行動に成果が！？\nじゃあ騎士さんのこと、拉致しちゃうとか★　恋愛成就確定です♥","619","2","0","","60007","2","3","0","","0","0"
"今日の運勢は中吉！　おめかししたら運気も上昇？\n毛並がふわふわになるまでブラッシングしたわ♪　ふふ、完璧ね！","620","2","0","","60007","2","3","0","","0","0"
"今日の運勢は小吉！　知らない場所に行くと新たな発見が！\n未知の場所……一人では恐ろしくて。騎士さま、どうかお力添えを","621","2","0","","60007","2","4","0","","0","0"
"今日の運勢は小吉！　ラッキーアイテムは鳥の羽根！\nだからって、私の羽を毟ろうとしないでくださ～いっ！","622","2","0","","60007","2","4","0","","0","0"
"おみくじの結果はどうでしたか？\n新たに始まる一日が、あなたに\nとって良い日になりますように\nまた明日も遊びに来て下さいね♪","623","0","0","カリン","60007","3","0","0","","2","190804"
"おみくじは楽しんで頂けましたか？\nあなたの新たなる年が\n素晴らしいものになるよう、\n心からお祈りいたします","624","0","5","カリン","60007","3","0","0","","3","190804"
