78fd092473a81c6eac48784f4fedecf8e91c4d6b3e72c0d111b228c8e268d2dd,1334a2fa0dafdcda785b01e3b6198e7871f9bdd042a796e6f542fe6052d4d3a1,48c5fc8296eca23a124faaa4a275671c617a10c7667979443b0d7fd4b48e382f,63688bb6900a93d21e8af85c79ccad39824d7359ca8c9e2c8d2df0b8ac391584,8882c9c23a2ac99262c18e30562daaade8862e795c71501b64a9161a6673efd9,ec33b4b1cbc0c15a3cc1db3c7f3989075c936b2ad2a16e7691a6747b88dc4801,af54c9eecde8971ba0a318c088ddf5b3a92dfd12c05245ea58000fa717fc942f
"ストーリーイベントミニコンテンツ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 小出大和（Cygames）","0:00","bgm_MC128_01_juke","bgm_MC128","2:10","【LIVE】流れるプール　夜","342"
"プリンセスナイト強化\n-｢プリンセスナイト｣アレンジ-\n\n時間 / 03:45\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","0:00","bgm_MC129_juke","bgm_MC129","3:45","プリンセスナイトの力","343"
"深域クエスト\n-｢紅焔の深域｣アレンジ-\n\n時間 / 00:59\n作曲 / 松尾早人\n編曲 / 多田彰文","0:00","bgm_MC130_juke","bgm_MC130","0:59","深奥なる領域へ至る","344"
"深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","bgm_MC131_juke","bgm_MC131","1:41","紅焔の深域","345"
"深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","bgm_MC132_juke","bgm_MC132","1:41","蒼波の深域","346"
"深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","bgm_MC133_juke","bgm_MC133","1:41","翠嵐の深域","347"
"深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","bgm_MC134_juke","bgm_MC134","1:41","珀天の深域","348"
"深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","0:00","bgm_MC135_juke","bgm_MC135","1:41","紫冥の深域","349"
"ストーリーイベントテーマ\n-｢Into The Trust｣アレンジ-\n\n時間 / 01:36\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 古見千桜子（Cygames）","0:00","bgm_MC136_juke","bgm_MC136","1:36","クーリィ・フューリィ・ブートキャンプ　鬼教官と鞭と…飴？","350"
"ストーリーイベントボスバトル\n\n時間 / 02:06\n作曲 / 中川峻彰\n編曲 / 中川峻彰","0:00","bgm_MC139_juke","bgm_MC139","2:06","剛雷獣・ライガホーン","351"
"キャラクターソング\n\n時間 / 01:30\n歌　 / エリコ（橋本ちなみ）\n　　　マコト（小松未可子）\n作詞 / Cocoro.（Dream Monster）\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 椿山日南子（Dream Monster）","1:00","bgm_MC151","bgm_MC151","1:30","Into The Trust","352"
"ミニゲーム\n-｢Into The Trust｣アレンジ-\n\n時間 / 01:51\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 小半大","0:00","bgm_MC140_juke","bgm_MC140","1:51","エリコとマコトの行軍（マーチ）A-Go-Go！","353"
"ミニゲーム\n-｢Into The Trust｣アレンジ-\n\n時間 / 03:23\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 多田彰文","0:00","bgm_MC141_juke","bgm_MC141","3:23","新兵らよ、我に続け","354"
"バトルスタジアム\n\n時間 / 01:04\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_MC044_juke","bgm_MC044","1:04","決闘の舞台へ","355"
"バトルスタジアム\n\n時間 / 02:13\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","0:00","bgm_MC045_juke","bgm_MC045","2:13","バトルスタジアム、開幕！","356"
"ストーリーイベントテーマ\n-｢瞳に映るシルエット｣アレンジ-\n\n時間 / 01:20\n作曲 / ReNee\n編曲 / 多田彰文","0:00","bgm_MC143_juke","bgm_MC143","1:20","花咲く季節のサンセリテ","357"
"ストーリーイベントボスバトル\n\n時間 / 02:25\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_MC145_juke","bgm_MC145","2:25","魔物植物・モベルベ","358"
"キャラクターソング\n\n時間 / 01:29\n歌　 / スズメ（悠木碧）\n　　　キョウカ（小倉唯）\n作詞 / ReNee\n作曲 / ReNee\n編曲 / 戸嶋友祐","0:50","bgm_MC152","bgm_MC152","1:29","瞳に映るシルエット","359"
"メインクエストボスバトル\n-｢業火燃え盛りし密林｣アレンジ-\n\n時間 / 01:31\n作曲 / 松尾早人、IM.Lab\n編曲 / 松尾早人","0:00","bgm_MC142_juke","bgm_MC142","1:31","煉獄に鎮座せしもの","360"
"ストーリーイベントテーマ\n-｢ミラクル・ジュエル・パレード！｣アレンジ-\n\n時間 / 02:43\n作曲 / INN\n編曲 / 小出大和（Cygames）","0:00","bgm_MC147_juke","bgm_MC147","2:43","グランドリーム・オンパレード　宝石兎と秘密の仲間たち","361"
"ストーリーイベントボスバトル\n\n時間 / 01:42\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","0:00","bgm_MC150_juke","bgm_MC150","1:42","捲土重来・ジーノ","362"
"キャラクターソング\n\n時間 / 01:23\n歌　 / クルル（田中美海）\n作詞 / 松井洋平\n作曲 / INN\n編曲 / INN","0:48","bgm_MC153","bgm_MC153","1:23","ミラクル・ジュエル・パレード！","363"
"ストーリーイベントミニコンテンツ\n-｢ミラクル・ジュエル・パレード！｣アレンジ-\n\n時間 / 02:47\n作曲 / INN\n編曲 / IM.Lab","0:00","bgm_MC148_juke","bgm_MC148","2:47","グランドリームパークガイド","364"
"ストーリーイベントテーマ\n-「Ai-愛 逃避行★」「最終クエストです★」アレンジ-\n\n時間 / 01:45\n作曲 / 梯拓哉 (Cygames）、IM.Lab\n編曲 / 塚越廉","0:00","bgm_MC156_juke","bgm_MC156","1:45","あつまれイイコトクラブ！　ミソラの愉快な夏休み","365"
"ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 田山里奈\n編曲 / 田山里奈","0:00","bgm_MC158_juke","bgm_MC158","2:00","真夏のバーサークスライム","366"
"キャラクターソング\n\n時間 / 01:24\n歌　 / ミソラ（鬼頭明里）\n作詞 / 岩井彩夏 (Cygames)\n作曲 / 梯拓哉 (Cygames)\n編曲 / 梯拓哉 (Cygames)","0:42","bgm_MC154","bgm_MC154","1:24","Ai-愛 逃避行★","367"
"ストーリーイベントミニコンテンツ\n-｢Ai-愛 逃避行★｣アレンジ-\n\n時間 / 01:48\n作曲 / 梯拓哉 (Cygames)\n編曲 / 古見千桜子（Cygames）","0:00","bgm_MC157_juke","bgm_MC157","1:48","サマーフォトフィックス","368"
"ストーリーイベントテーマ\n-「Re:collection」アレンジ-\n\n時間 / 01:27\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","0:00","bgm_MC162_juke","bgm_MC162","1:27","幻惑の妖精　‐真夏の園で舞踊る影‐","369"
"ストーリーイベントボスバトル\n\n時間 / 02:15\n作曲 / 田山里奈\n編曲 / 田山里奈","0:00","bgm_MC164_juke","bgm_MC164","2:15","カオス・ジェネレーター","370"
"キャラクターソング\n\n時間 / 01:28\n歌　 / アメス（相坂優歌）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","0:50","bgm_MC193","bgm_MC193","1:28","Re:collection","371"
"ストーリーイベントミニコンテンツ\n-｢Re:collection｣アレンジ-\n\n時間 / 01:49\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 小半大","0:00","bgm_MC163A_juke","bgm_MC163A","1:49","水都のメモリエ","372"
"煉獄のリベリオン\n\n時間 / 01:29\n作曲 / 中町友洋\n編曲 / 中町友洋","0:00","bgm_MC178A_juke","bgm_MC178A","1:29","煉獄のリベリオン","373"
"煉獄のリベリオン\n\n時間 / 01:39\n作曲 / 中町友洋\n編曲 / 中町友洋","0:00","bgm_MC178B_juke","bgm_MC178B","1:39","煉獄のリベリオン　-六凶・魔蜘アラクネ-","374"
"煉獄のリベリオンボスバトル\n\n時間 / 01:40\n作曲 / 植田能平\n編曲 / 植田能平","0:00","bgm_MC179A_juke","bgm_MC179A","1:40","魔蜘のしもべとの戦い","375"
"煉獄のリベリオンボスバトル\n\n時間 / 01:40\n作曲 / 植田能平・関根修平（Cygames）\n編曲 / 植田能平","0:00","bgm_MC179B_juke","bgm_MC179B","1:40","惑いの盗賊三姉妹","376"
"煉獄のリベリオンボスバトル\n\n時間 / 02:07\n作曲 / IM.Lab・Enarak（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_MC180_juke","bgm_MC180","2:07","革命の乙女との戦い","377"
"煉獄のリベリオンボスバトル\n\n時間 / 02:05\n作曲 / IM.Lab\n編曲 / 東大路憲太","0:00","bgm_MC181A_juke","bgm_MC181A","2:05","地底の獄に潜みし凶禍","378"
"煉獄のリベリオンボスバトル\n\n時間 / 02:08\n作曲 / IM.Lab\n編曲 / 東大路憲太","0:00","bgm_MC181B_juke","bgm_MC181B","2:08","目覚めし六凶・魔蜘アラクネ","379"
"煉獄のリベリオンボスバトル\n-「Yes！ Precious Harmony！」アレンジ-\n\n時間 / 02:49\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 中川峻彰","0:00","bgm_MC182_juke","bgm_MC182","2:49","再臨せし姫装の氷竜","380"
"キャラクターテーマ\n\n時間 / 01:47\n作曲 / 中川峻彰\n編曲 / 中川峻彰","0:00","bgm_M408_juke","bgm_M408","1:47","シェフィ","381"
"キャラクターテーマ\n\n時間 / 02:50\n作曲 / IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC069_juke","bgm_MC069","2:50","フレイヤ","382"
"キャラクターテーマ\n\n時間 / 01:55\n作曲 / IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC059_juke","bgm_MC059","1:55","アラクネ","383"
"メインストーリー\n\n時間 / 03:15\n作曲 / IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC176B_juke","bgm_MC176B","3:15","顕れし魔蜘の真像","384"
"ストーリーイベントテーマ\n-「Dance in the Fragrance」「アルケス錬金堂」\nアレンジ-\n\n時間 / 01:37\n作曲 / 山本真央樹、小出大和（Cygames）\n編曲 / 小出大和（Cygames）","0:00","bgm_MC186_juke","bgm_MC186","1:37","ノゾミの一日店長記　こちらアルケス錬金堂","385"
"ストーリーイベントボスバトル\n\n時間 / 01:34\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","0:00","bgm_MC188_juke","bgm_MC188","1:34","ヴェノム・ヒュドラ","386"
"キャラクターソング\n\n時間 / 01:24\n歌　 / ノゾミ（日笠陽子）\n　　　ルイズマリー（鈴代紗弓）\n　　　イロハ（青山吉能）\n　　　ソノ（井上ほの花）\n作詞 / 児玉雨子\n作曲 / 山本真央樹\n編曲 / 山本真央樹","0:55","bgm_MC207","bgm_MC207","1:24","Dance in the Fragrance","387"
"ストーリーイベントミニコンテンツ\n-｢Dance in the Fragrance｣アレンジ-\n\n時間 / 02:01\n作曲 / 山本真央樹\n編曲 / Enarak（Cygames）","0:00","bgm_MC187_juke","bgm_MC187","2:01","アルケス錬金堂　業務日誌","388"
"キャラクターテーマ\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 岡本優一（Cygames）","0:00","bgm_MC189A_juke","bgm_MC189A","1:39","アルケス錬金堂","389"
"キャラクターテーマ\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）、岡本優一（Cygames）","0:00","bgm_MC189B_juke","bgm_MC189B","1:39","アルケス錬金堂（ケミカルVer.）","390"
"ストーリーイベントテーマ\n-「バンディ・ラウディ・ショータイム！！」アレンジ-\n\n時間 / 01:55\n作曲 / 関根修平（Cygames）\n編曲 / 塚越廉","0:00","bgm_MC194_juke","bgm_MC194","1:55","バンディット・リターンズ　炎国の無法姉妹","391"
"ストーリーイベントボスバトル\n\n時間 / 01:37\n作曲 / 中村博\n編曲 / 中村博","0:00","bgm_MC196_juke","bgm_MC196","1:37","ハイパー・ダッシュジョー","392"
"キャラクターソング\n\n時間 / 01:20\n歌　 / ヤマト (ファイルーズあい)\n　　　ワカナ (石見舞菜香)\n　　　フブキ (花井美春)\n作詞 / 岩井彩夏（Cygames）・佐藤遥（Cygames）\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","0:39","bgm_MC208","bgm_MC208","1:20","バンディ・ラウディ・ショータイム！！","393"
"ミニゲーム\n-「バンディ・ラウディ・ショータイム！！」アレンジ-\n\n時間 / 01:54\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","0:00","bgm_MC198_juke","bgm_MC198","1:54","激突！破壊！イリーガルタンクウォー","394"
"ミニゲーム\n-「バンディ・シスターズ」アレンジ-\n\n時間 / 00:23\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","0:00","bgm_MC199_Battle","bgm_MC199","0:23","いざ出撃！戦車バトル！","395"
"究極錬成\n-「アルケス錬金堂」アレンジ-\n\n時間 / 02:05\n作曲 / 小出大和（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_MC190_juke","bgm_MC190","2:05","レッツ！『究極錬成』！","396"
"追憶の戦域\n\n時間 / 01:18\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_MC191_juke","bgm_MC191","1:18","歴戦の難敵、此の地にて邂逅す","397"
"ストーリーイベントテーマ\n-「今宵、ヤドリギの下で」アレンジ-\n\n時間 / 03:26\n作曲 / 矢野達也\n編曲 / 小出大和（Cygames）","0:00","bgm_MC213_juke","bgm_MC213","3:26","ラブ＆パニッシュメント　悪魔が届けるクリスマス","398"
"ストーリーイベントボスバトル\n\n時間 / 01:37\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）","0:00","bgm_MC214_juke","bgm_MC214","1:37","ゴーストキッド・ベロリー","399"
"キャラクターソング\n\n時間 / 01:31\n歌　 / ライラエル（河瀬茉希）\n　　　イオ（伊藤静）\n作詞 / 結城アイラ\n作曲 / 矢野達也\n編曲 / 矢野達也","0:51","bgm_MC209","bgm_MC209","1:31","今宵、ヤドリギの下で","400"
"深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC165_juke","bgm_MC165","1:24","朱火の深淵","401"
"深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC166_juke","bgm_MC166","1:24","轟流の深淵","402"
"深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC167_juke","bgm_MC167","1:24","烈風の深淵","403"
"深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC168_juke","bgm_MC168","1:24","燦爛の深淵","404"
"深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","0:00","bgm_MC169_juke","bgm_MC169","1:24","玄闇の深淵","405"
"深淵討伐戦\n\n時間 / 01:56\n作曲 / 塚越廉・松尾早人\n編曲 / 塚越廉","0:00","bgm_MC170_juke","bgm_MC170","1:56","深き伏魔の淵へ征く","406"
"ストーリーイベントテーマ\n-「Tiny Twin Stars！！」アレンジ-\n\n時間 / 01:21\n作曲 / 金山秀士 (Dream Monster)\n編曲 / 岡本優一（Cygames）","0:00","bgm_MC215B_juke","bgm_MC215B","1:21","迎春ジオ・ゲヘナ　蛇乙女と双麗の剣士","407"
"ストーリーイベントボスバトル\n\n時間 / 01:35\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","0:00","bgm_MC216_juke","bgm_MC216","1:35","呪縛の大蛇・メドゥシアナ","408"
"キャラクターソング\n\n時間 / 01:34\n歌　 / メドゥーサ（水橋かおり）\n　　　モニカ（辻あゆみ）\n作詞 / 金山秀士 (Dream Monster)\n作曲 / 金山秀士 (Dream Monster)\n編曲 / 金山秀士 (Dream Monster)\nブラスアレンジ / 佐藤厚仁 (Dream Monster)","0:57","bgm_MC210","bgm_MC210","1:34","Tiny Twin Stars！！","409"
"メインクエスト\n\n時間 / 03:09\n作曲 / 東大路憲太\n編曲 / Enarak（Cygames）","0:00","bgm_MC201_juke","bgm_MC201","3:09","深閑たる永凍の冥界","410"
"メインクエスト\n\n時間 / 01:36\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","0:00","bgm_MC202_juke","bgm_MC202","1:36","ジオ・ニヴルヘルの戦い","411"
"メインクエストボスバトル\n\n時間 / 01:57\n作曲 / 守谷勇人\n編曲 / 守谷勇人","0:00","bgm_MC203_juke","bgm_MC203","1:57","静寂なる世界の強敵","412"
"キャラクターテーマ\n-「深閑たる永凍の冥界」アレンジ-\n\n時間 / 02:54\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_MC160_juke","bgm_MC160","2:54","ヴァイオレット","413"
"キャラクターテーマ\n\n時間 / 03:24\n作曲 / Enarak（Cygames）\n編曲 / 岡本優一（Cygames）・Enarak（Cygames）","0:00","bgm_MC205_juke","bgm_MC205","3:24","三魔姫属","414"
"ストーリーイベントテーマ\n-「Phosphorus」アレンジ-\n\n時間 / 03:13\n作曲 / 竹次幸司\n編曲 / 小出大和（Cygames）","0:00","bgm_MC219_juke","bgm_MC219","3:13","ダイブ・アストルム　七つの願いと創世の残響","415"
"ストーリーイベントボスバトル\n-「ぶつかり合う闘志」アレンジ-\n\n時間 / 01:44\n作曲 / 伊藤翼\n編曲 / 岡本優一（Cygames）","0:00","bgm_MC223_juke","bgm_MC223","1:44","妖狐カムラヲ・始原","416"
"ストーリーイベントボスバトル\n\n時間 / 02:24\n作曲 / 中川峻彰・西木康智・伊藤翼・\n　　　サワグチカズヒコ・東大路憲太・ウツミタカアキ・\n　　　伊禮完（Cygames）・白井友規（Cygames）\n編曲 / 中川峻彰","0:00","bgm_MC224_juke","bgm_MC224","2:24","アルファ・レガリアス","417"
"キャラクターソング\n\n時間 / 01:30\n歌　 / フィオ（相坂優歌）\n作詞 / カイザー恵理菜・竹次幸司\n作曲 / 竹次幸司\n編曲 / 竹次幸司","0:46","bgm_MC245","bgm_MC245","1:30","Phosphorus","418"
"ストーリーイベントミニコンテンツ\n-｢Phosphorus｣アレンジ-\n\n時間 / 01:30\n作曲 / 竹次幸司\n編曲 / 塚越廉","0:00","bgm_MC220A_juke","bgm_MC220A","1:30","アストルム開発録","419"
"キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 小出大和（Cygames）","0:00","bgm_MC211_juke","bgm_MC211","1:39","静寂なる世界をゆく","420"
"キャラクターテーマ\n\n時間 / 01:59\n作曲 / 伊藤翼\n編曲 / 伊藤翼","0:00","bgm_M23_juke","bgm_M23","1:59","誓約女君","421"
"キャラクターテーマ\n\n時間 / 02:55\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_M177_juke","bgm_M177","2:55","変貌大妃","422"
"キャラクターテーマ\n\n時間 / 04:14\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","0:00","bgm_M307_juke","bgm_M307","4:14","迷宮女王","423"
"キャラクターテーマ\n\n時間 / 01:53\n作曲 / 西木康智\n編曲 / 西木康智","0:00","bgm_M49_juke","bgm_M49","1:53","覇瞳皇帝","424"
"キャラクターテーマ\n\n時間 / 02:05\n作曲 / サワグチカズヒコ\n編曲 / サワグチカズヒコ","0:00","bgm_M50_juke","bgm_M50","2:05","跳躍王","425"
"キャラクターテーマ\n\n時間 / 02:21\n作曲 / ウツミタカアキ・伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","0:00","bgm_M600_juke","bgm_M600","2:21","嚮導老君","426"
"キャラクターソング\n\n時間 / 01:31\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / 利根川貴之\n作曲 / 利根川貴之・坂和也\n編曲 / Dr.Usui・坂和也＆Wicky.Recordings","1:04","bgm_MC244","bgm_MC244","1:31","つなぐもの","427"
"ストーリーイベントテーマ\n-「星詠みの祈り唄」アレンジ-\n\n時間 / 01:21\n作曲 / Enarak (Cygames)\n編曲 / 吉川美矩","0:00","bgm_MC226_juke","bgm_MC226","1:21","アンダンテ・ウィズ・ユー　祈りの双唱が響く時","428"
"ストーリーイベントボスバトル\n\n時間 / 00:50\n作曲 / 岡本 優一（Cygames）\n編曲 / 岡本 優一（Cygames）","0:00","bgm_MC228_juke","bgm_MC228","0:50","歪音の精霊","429"
"キャラクターソング\n\n時間 / 01:30\n歌　 / チカ (福原綾香)\n　　　ランファ (原田彩楓)\n作詞 / Enarak (Cygames)\n作曲 / Enarak (Cygames)\n編曲 / Enarak (Cygames)","0:45","bgm_MC246","bgm_MC246","1:30","星詠みの祈り唄","430"
"ストーリーイベントミニコンテンツ\n-｢星詠みの祈り唄｣アレンジ-\n\n時間 / 01:58\n作曲 / Enarak (Cygames)\n編曲 / 多田彰文","0:00","bgm_MC227B_juke","bgm_MC227B","1:58","コンサートポスター","431"
"クランバトル\n\n時間 / 03:06\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_M55_juke","bgm_M55","3:06","魔星獣決戦","432"
