d6647cbeb2c916a4fb1348db3d45ed78b0bc56d717547631cc5c82b52c9b218c,beef00883481d2f5ef14edb5321510e46d81e647759f25494dd0a54bd15a32e7,1a97f96ba8bdee4f100cbeefb37d688dc4b72314c3f6caff1af367ae27b55606,77694746595a6f5991f3ad70973de4ed0c16a8f6f54b5b698463ff558193caf6,c08a915fbe64027e3e74ae022c19a1843f3821877c161dece7f188f8196f9c25,c6026e01d261bd7b55158d2a7aaaaf16e1b270df41315f35112676c75e389784,0eea78e2b1cabfd7c1b70f8edec38a073928959da211b67b64f925a6a0346710
"343","プリンセスナイトの力","プリンセスナイト強化\n-｢プリンセスナイト｣アレンジ-\n\n時間 / 03:45\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","bgm_MC129_juke","bgm_MC129","0:00","3:45"
"344","深奥なる領域へ至る","深域クエスト\n-｢紅焔の深域｣アレンジ-\n\n時間 / 00:59\n作曲 / 松尾早人\n編曲 / 多田彰文","bgm_MC130_juke","bgm_MC130","0:00","0:59"
"345","紅焔の深域","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC131_juke","bgm_MC131","0:00","1:41"
"346","蒼波の深域","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC132_juke","bgm_MC132","0:00","1:41"
"347","翠嵐の深域","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC133_juke","bgm_MC133","0:00","1:41"
"348","珀天の深域","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC134_juke","bgm_MC134","0:00","1:41"
"349","紫冥の深域","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC135_juke","bgm_MC135","0:00","1:41"
"350","クーリィ・フューリィ・ブートキャンプ　鬼教官と鞭と…飴？","ストーリーイベントテーマ\n-｢Into The Trust｣アレンジ-\n\n時間 / 01:36\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 古見千桜子（Cygames）","bgm_MC136_juke","bgm_MC136","0:00","1:36"
"351","剛雷獣・ライガホーン","ストーリーイベントボスバトル\n\n時間 / 02:06\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_MC139_juke","bgm_MC139","0:00","2:06"
"352","Into The Trust","キャラクターソング\n\n時間 / 01:30\n歌　 / エリコ（橋本ちなみ）\n　　　マコト（小松未可子）\n作詞 / Cocoro.（Dream Monster）\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 椿山日南子（Dream Monster）","bgm_MC151","bgm_MC151","1:00","1:30"
"353","エリコとマコトの行軍（マーチ）A-Go-Go！","ミニゲーム\n-｢Into The Trust｣アレンジ-\n\n時間 / 01:51\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 小半大","bgm_MC140_juke","bgm_MC140","0:00","1:51"
"354","新兵らよ、我に続け","ミニゲーム\n-｢Into The Trust｣アレンジ-\n\n時間 / 03:23\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 多田彰文","bgm_MC141_juke","bgm_MC141","0:00","3:23"
"355","決闘の舞台へ","バトルスタジアム\n\n時間 / 01:04\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC044_juke","bgm_MC044","0:00","1:04"
"356","バトルスタジアム、開幕！","バトルスタジアム\n\n時間 / 02:13\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC045_juke","bgm_MC045","0:00","2:13"
"357","花咲く季節のサンセリテ","ストーリーイベントテーマ\n-｢瞳に映るシルエット｣アレンジ-\n\n時間 / 01:20\n作曲 / ReNee\n編曲 / 多田彰文","bgm_MC143_juke","bgm_MC143","0:00","1:20"
"358","魔物植物・モベルベ","ストーリーイベントボスバトル\n\n時間 / 02:25\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC145_juke","bgm_MC145","0:00","2:25"
"359","瞳に映るシルエット","キャラクターソング\n\n時間 / 01:29\n歌　 / スズメ（悠木碧）\n　　　キョウカ（小倉唯）\n作詞 / ReNee\n作曲 / ReNee\n編曲 / 戸嶋友祐","bgm_MC152","bgm_MC152","0:50","1:29"
"360","煉獄に鎮座せしもの","メインクエストボスバトル\n-｢業火燃え盛りし密林｣アレンジ-\n\n時間 / 01:31\n作曲 / 松尾早人、IM.Lab\n編曲 / 松尾早人","bgm_MC142_juke","bgm_MC142","0:00","1:31"
"361","グランドリーム・オンパレード　宝石兎と秘密の仲間たち","ストーリーイベントテーマ\n-｢ミラクル・ジュエル・パレード！｣アレンジ-\n\n時間 / 02:43\n作曲 / INN\n編曲 / 小出大和（Cygames）","bgm_MC147_juke","bgm_MC147","0:00","2:43"
"362","捲土重来・ジーノ","ストーリーイベントボスバトル\n\n時間 / 01:42\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC150_juke","bgm_MC150","0:00","1:42"
"363","ミラクル・ジュエル・パレード！","キャラクターソング\n\n時間 / 01:23\n歌　 / クルル（田中美海）\n作詞 / 松井洋平\n作曲 / INN\n編曲 / INN","bgm_MC153","bgm_MC153","0:48","1:23"
"364","グランドリームパークガイド","ストーリーイベントミニコンテンツ\n-｢ミラクル・ジュエル・パレード！｣アレンジ-\n\n時間 / 02:47\n作曲 / INN\n編曲 / IM.Lab","bgm_MC148_juke","bgm_MC148","0:00","2:47"
"365","あつまれイイコトクラブ！　ミソラの愉快な夏休み","ストーリーイベントテーマ\n-「Ai-愛 逃避行★」「最終クエストです★」アレンジ-\n\n時間 / 01:45\n作曲 / 梯拓哉 (Cygames）、IM.Lab\n編曲 / 塚越廉","bgm_MC156_juke","bgm_MC156","0:00","1:45"
"366","真夏のバーサークスライム","ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC158_juke","bgm_MC158","0:00","2:00"
"367","Ai-愛 逃避行★","キャラクターソング\n\n時間 / 01:24\n歌　 / ミソラ（鬼頭明里）\n作詞 / 岩井彩夏 (Cygames)\n作曲 / 梯拓哉 (Cygames)\n編曲 / 梯拓哉 (Cygames)","bgm_MC154","bgm_MC154","0:42","1:24"
"368","サマーフォトフィックス","ストーリーイベントミニコンテンツ\n-｢Ai-愛 逃避行★｣アレンジ-\n\n時間 / 01:48\n作曲 / 梯拓哉 (Cygames)\n編曲 / 古見千桜子（Cygames）","bgm_MC157_juke","bgm_MC157","0:00","1:48"
"369","幻惑の妖精　‐真夏の園で舞踊る影‐","ストーリーイベントテーマ\n-「Re:collection」アレンジ-\n\n時間 / 01:27\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","bgm_MC162_juke","bgm_MC162","0:00","1:27"
"370","カオス・ジェネレーター","ストーリーイベントボスバトル\n\n時間 / 02:15\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC164_juke","bgm_MC164","0:00","2:15"
"371","Re:collection","キャラクターソング\n\n時間 / 01:28\n歌　 / アメス（相坂優歌）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","bgm_MC193","bgm_MC193","0:50","1:28"
"372","水都のメモリエ","ストーリーイベントミニコンテンツ\n-｢Re:collection｣アレンジ-\n\n時間 / 01:49\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 小半大","bgm_MC163A_juke","bgm_MC163A","0:00","1:49"
"373","煉獄のリベリオン","煉獄のリベリオン\n\n時間 / 01:29\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC178A_juke","bgm_MC178A","0:00","1:29"
"374","煉獄のリベリオン　-六凶・魔蜘アラクネ-","煉獄のリベリオン\n\n時間 / 01:39\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC178B_juke","bgm_MC178B","0:00","1:39"
"375","魔蜘のしもべとの戦い","煉獄のリベリオンボスバトル\n\n時間 / 01:40\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC179A_juke","bgm_MC179A","0:00","1:40"
"376","惑いの盗賊三姉妹","煉獄のリベリオンボスバトル\n\n時間 / 01:40\n作曲 / 植田能平・関根修平（Cygames）\n編曲 / 植田能平","bgm_MC179B_juke","bgm_MC179B","0:00","1:40"
"377","革命の乙女との戦い","煉獄のリベリオンボスバトル\n\n時間 / 02:07\n作曲 / IM.Lab・Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC180_juke","bgm_MC180","0:00","2:07"
"378","地底の獄に潜みし凶禍","煉獄のリベリオンボスバトル\n\n時間 / 02:05\n作曲 / IM.Lab\n編曲 / 東大路憲太","bgm_MC181A_juke","bgm_MC181A","0:00","2:05"
"379","目覚めし六凶・魔蜘アラクネ","煉獄のリベリオンボスバトル\n\n時間 / 02:08\n作曲 / IM.Lab\n編曲 / 東大路憲太","bgm_MC181B_juke","bgm_MC181B","0:00","2:08"
"380","再臨せし姫装の氷竜","煉獄のリベリオンボスバトル\n-「Yes！ Precious Harmony！」アレンジ-\n\n時間 / 02:49\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 中川峻彰","bgm_MC182_juke","bgm_MC182","0:00","2:49"
"381","シェフィ","キャラクターテーマ\n\n時間 / 01:47\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_M408_juke","bgm_M408","0:00","1:47"
"382","フレイヤ","キャラクターテーマ\n\n時間 / 02:50\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC069_juke","bgm_MC069","0:00","2:50"
"383","アラクネ","キャラクターテーマ\n\n時間 / 01:55\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC059_juke","bgm_MC059","0:00","1:55"
"384","顕れし魔蜘の真像","メインストーリー\n\n時間 / 03:15\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC176B_juke","bgm_MC176B","0:00","3:15"
"385","ノゾミの一日店長記　こちらアルケス錬金堂","ストーリーイベントテーマ\n-「Dance in the Fragrance」「アルケス錬金堂」\nアレンジ-\n\n時間 / 01:37\n作曲 / 山本真央樹、小出大和（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC186_juke","bgm_MC186","0:00","1:37"
"386","ヴェノム・ヒュドラ","ストーリーイベントボスバトル\n\n時間 / 01:34\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC188_juke","bgm_MC188","0:00","1:34"
"387","Dance in the Fragrance","キャラクターソング\n\n時間 / 01:24\n歌　 / ノゾミ（日笠陽子）\n　　　ルイズマリー（鈴代紗弓）\n　　　イロハ（青山吉能）\n　　　ソノ（井上ほの花）\n作詞 / 児玉雨子\n作曲 / 山本真央樹\n編曲 / 山本真央樹","bgm_MC207","bgm_MC207","0:55","1:24"
"388","アルケス錬金堂　業務日誌","ストーリーイベントミニコンテンツ\n-｢Dance in the Fragrance｣アレンジ-\n\n時間 / 02:01\n作曲 / 山本真央樹\n編曲 / Enarak（Cygames）","bgm_MC187_juke","bgm_MC187","0:00","2:01"
"389","アルケス錬金堂","キャラクターテーマ\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC189A_juke","bgm_MC189A","0:00","1:39"
"390","アルケス錬金堂（ケミカルVer.）","キャラクターテーマ\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）、岡本優一（Cygames）","bgm_MC189B_juke","bgm_MC189B","0:00","1:39"
"391","バンディット・リターンズ　炎国の無法姉妹","ストーリーイベントテーマ\n-「バンディ・ラウディ・ショータイム！！」アレンジ-\n\n時間 / 01:55\n作曲 / 関根修平（Cygames）\n編曲 / 塚越廉","bgm_MC194_juke","bgm_MC194","0:00","1:55"
"392","ハイパー・ダッシュジョー","ストーリーイベントボスバトル\n\n時間 / 01:37\n作曲 / 中村博\n編曲 / 中村博","bgm_MC196_juke","bgm_MC196","0:00","1:37"
"393","バンディ・ラウディ・ショータイム！！","キャラクターソング\n\n時間 / 01:20\n歌　 / ヤマト (ファイルーズあい)\n　　　ワカナ (石見舞菜香)\n　　　フブキ (花井美春)\n作詞 / 岩井彩夏（Cygames）・佐藤遥（Cygames）\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC208","bgm_MC208","0:39","1:20"
"394","激突！破壊！イリーガルタンクウォー","ミニゲーム\n-「バンディ・ラウディ・ショータイム！！」アレンジ-\n\n時間 / 01:54\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC198_juke","bgm_MC198","0:00","1:54"
"395","いざ出撃！戦車バトル！","ミニゲーム\n-「バンディ・シスターズ」アレンジ-\n\n時間 / 00:23\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC199_Battle","bgm_MC199","0:00","0:23"
"396","レッツ！『究極錬成』！","究極錬成\n-「アルケス錬金堂」アレンジ-\n\n時間 / 02:05\n作曲 / 小出大和（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC190_juke","bgm_MC190","0:00","2:05"
"397","歴戦の難敵、此の地にて邂逅す","追憶の戦域\n\n時間 / 01:18\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC191_juke","bgm_MC191","0:00","1:18"
"398","ラブ＆パニッシュメント　悪魔が届けるクリスマス","ストーリーイベントテーマ\n-「今宵、ヤドリギの下で」アレンジ-\n\n時間 / 03:26\n作曲 / 矢野達也\n編曲 / 小出大和（Cygames）","bgm_MC213_juke","bgm_MC213","0:00","3:26"
"399","ゴーストキッド・ベロリー","ストーリーイベントボスバトル\n\n時間 / 01:37\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC214_juke","bgm_MC214","0:00","1:37"
"400","今宵、ヤドリギの下で","キャラクターソング\n\n時間 / 01:31\n歌　 / ライラエル（河瀬茉希）\n　　　イオ（伊藤静）\n作詞 / 結城アイラ\n作曲 / 矢野達也\n編曲 / 矢野達也","bgm_MC209","bgm_MC209","0:51","1:31"
"401","朱火の深淵","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC165_juke","bgm_MC165","0:00","1:24"
"402","轟流の深淵","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC166_juke","bgm_MC166","0:00","1:24"
"403","烈風の深淵","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC167_juke","bgm_MC167","0:00","1:24"
"404","燦爛の深淵","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC168_juke","bgm_MC168","0:00","1:24"
"405","玄闇の深淵","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC169_juke","bgm_MC169","0:00","1:24"
"406","深き伏魔の淵へ征く","深淵討伐戦\n\n時間 / 01:56\n作曲 / 塚越廉・松尾早人\n編曲 / 塚越廉","bgm_MC170_juke","bgm_MC170","0:00","1:56"
"407","迎春ジオ・ゲヘナ　蛇乙女と双麗の剣士","ストーリーイベントテーマ\n-「Tiny Twin Stars！！」アレンジ-\n\n時間 / 01:21\n作曲 / 金山秀士 (Dream Monster)\n編曲 / 岡本優一（Cygames）","bgm_MC215B_juke","bgm_MC215B","0:00","1:21"
"408","呪縛の大蛇・メドゥシアナ","ストーリーイベントボスバトル\n\n時間 / 01:35\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC216_juke","bgm_MC216","0:00","1:35"
"409","Tiny Twin Stars！！","キャラクターソング\n\n時間 / 01:34\n歌　 / メドゥーサ（水橋かおり）\n　　　モニカ（辻あゆみ）\n作詞 / 金山秀士 (Dream Monster)\n作曲 / 金山秀士 (Dream Monster)\n編曲 / 金山秀士 (Dream Monster)\nブラスアレンジ / 佐藤厚仁 (Dream Monster)","bgm_MC210","bgm_MC210","0:57","1:34"
"410","深閑たる永凍の冥界","メインクエスト\n\n時間 / 03:09\n作曲 / 東大路憲太\n編曲 / Enarak（Cygames）","bgm_MC201_juke","bgm_MC201","0:00","3:09"
"411","ジオ・ニヴルヘルの戦い","メインクエスト\n\n時間 / 01:36\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC202_juke","bgm_MC202","0:00","1:36"
"412","静寂なる世界の強敵","メインクエストボスバトル\n\n時間 / 01:57\n作曲 / 守谷勇人\n編曲 / 守谷勇人","bgm_MC203_juke","bgm_MC203","0:00","1:57"
"413","ヴァイオレット","キャラクターテーマ\n-「深閑たる永凍の冥界」アレンジ-\n\n時間 / 02:54\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC160_juke","bgm_MC160","0:00","2:54"
"414","三魔姫属","キャラクターテーマ\n\n時間 / 03:24\n作曲 / Enarak（Cygames）\n編曲 / 岡本優一（Cygames）・Enarak（Cygames）","bgm_MC205_juke","bgm_MC205","0:00","3:24"
"415","ダイブ・アストルム　七つの願いと創世の残響","ストーリーイベントテーマ\n-「Phosphorus」アレンジ-\n\n時間 / 03:13\n作曲 / 竹次幸司\n編曲 / 小出大和（Cygames）","bgm_MC219_juke","bgm_MC219","0:00","3:13"
"416","妖狐カムラヲ・始原","ストーリーイベントボスバトル\n-「ぶつかり合う闘志」アレンジ-\n\n時間 / 01:44\n作曲 / 伊藤翼\n編曲 / 岡本優一（Cygames）","bgm_MC223_juke","bgm_MC223","0:00","1:44"
"417","アルファ・レガリアス","ストーリーイベントボスバトル\n\n時間 / 02:24\n作曲 / 中川峻彰・西木康智・伊藤翼・\n　　　サワグチカズヒコ・東大路憲太・ウツミタカアキ・\n　　　伊禮完（Cygames）・白井友規（Cygames）\n編曲 / 中川峻彰","bgm_MC224_juke","bgm_MC224","0:00","2:24"
"418","Phosphorus","キャラクターソング\n\n時間 / 01:30\n歌　 / フィオ（相坂優歌）\n作詞 / カイザー恵理菜・竹次幸司\n作曲 / 竹次幸司\n編曲 / 竹次幸司","bgm_MC245","bgm_MC245","0:46","1:30"
"419","アストルム開発録","ストーリーイベントミニコンテンツ\n-｢Phosphorus｣アレンジ-\n\n時間 / 01:30\n作曲 / 竹次幸司\n編曲 / 塚越廉","bgm_MC220A_juke","bgm_MC220A","0:00","1:30"
"420","静寂なる世界をゆく","キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 小出大和（Cygames）","bgm_MC211_juke","bgm_MC211","0:00","1:39"
"421","誓約女君","キャラクターテーマ\n\n時間 / 01:59\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M23_juke","bgm_M23","0:00","1:59"
"422","変貌大妃","キャラクターテーマ\n\n時間 / 02:55\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M177_juke","bgm_M177","0:00","2:55"
"423","迷宮女王","キャラクターテーマ\n\n時間 / 04:14\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M307_juke","bgm_M307","0:00","4:14"
"424","覇瞳皇帝","キャラクターテーマ\n\n時間 / 01:53\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M49_juke","bgm_M49","0:00","1:53"
"425","跳躍王","キャラクターテーマ\n\n時間 / 02:05\n作曲 / サワグチカズヒコ\n編曲 / サワグチカズヒコ","bgm_M50_juke","bgm_M50","0:00","2:05"
"426","嚮導老君","キャラクターテーマ\n\n時間 / 02:21\n作曲 / ウツミタカアキ・伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M600_juke","bgm_M600","0:00","2:21"
"427","つなぐもの","キャラクターソング\n\n時間 / 01:31\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / 利根川貴之\n作曲 / 利根川貴之・坂和也\n編曲 / Dr.Usui・坂和也＆Wicky.Recordings","bgm_MC244","bgm_MC244","1:04","1:31"
"428","アンダンテ・ウィズ・ユー　祈りの双唱が響く時","ストーリーイベントテーマ\n-「星詠みの祈り唄」アレンジ-\n\n時間 / 01:21\n作曲 / Enarak (Cygames)\n編曲 / 吉川美矩","bgm_MC226_juke","bgm_MC226","0:00","1:21"
"429","歪音の精霊","ストーリーイベントボスバトル\n\n時間 / 00:50\n作曲 / 岡本 優一（Cygames）\n編曲 / 岡本 優一（Cygames）","bgm_MC228_juke","bgm_MC228","0:00","0:50"
"430","星詠みの祈り唄","キャラクターソング\n\n時間 / 01:30\n歌　 / チカ (福原綾香)\n　　　ランファ (原田彩楓)\n作詞 / Enarak (Cygames)\n作曲 / Enarak (Cygames)\n編曲 / Enarak (Cygames)","bgm_MC246","bgm_MC246","0:45","1:30"
"431","コンサートポスター","ストーリーイベントミニコンテンツ\n-｢星詠みの祈り唄｣アレンジ-\n\n時間 / 01:58\n作曲 / Enarak (Cygames)\n編曲 / 多田彰文","bgm_MC227B_juke","bgm_MC227B","0:00","1:58"
"432","魔星獣決戦","クランバトル\n\n時間 / 03:06\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M55_juke","bgm_M55","0:00","3:06"
"433","超鋼乙女ギガンティックローチェ　～大出撃！ランドソル爆発4.1秒前～","ストーリーイベントテーマ\n-「AIだ！勇気だ！ギガンティックローチェ」アレンジ-\n\n時間 / 01:11\n作曲 / 千葉梓 (Cygames)\n編曲 / 岡本 優一 (Cygames)","bgm_MC234B_juke","bgm_MC234B","0:00","1:11"
"434","巨鋼機獣・改造ゲドン","ストーリーイベントボスバトル\n\n時間 / 02:59\n作曲 / 田山里奈・千葉梓（Cygames）\n編曲 / 田山里奈","bgm_MC236_juke","bgm_MC236","0:00","2:59"
"435","AIだ！勇気だ！ギガンティックローチェ","キャラクターソング\n\n時間 / 01:34\n歌　 / クローチェ (長谷川育美)\n作詞 / 千葉梓 (Cygames)\n作曲 / 千葉梓 (Cygames)\n編曲 / 千葉梓 (Cygames)・加藤慶久 (Cygames)","bgm_MC247","bgm_MC247","0:39","1:34"
"436","なぜなにクローチェ","ストーリーイベントミニコンテンツ\n-｢AIだ！勇気だ！ギガンティックローチェ｣アレンジ-\n\n時間 / 00:58\n作曲 / 千葉梓 (Cygames)\n編曲 / 岡本 優一 (Cygames)","bgm_MC234A_juke","bgm_MC234A","0:00","0:58"
"437","結集！　アルケス＆トワイライト　闇医者と二人の錬金術師","ストーリーイベントテーマ\n-「レキメキ！」アレンジ-\n\n時間 / 01:33\n作曲 / 青柳諒 (Arte Refact)・小出大和(Cygames)\n編曲 / 小出大和 (Cygames)","bgm_MC250_juke","bgm_MC250","0:00","1:33"
"438","恋する錬僕・ホムンホムン","ストーリーイベントボスバトル\n\n時間 / 01:34\n作曲 / 岡本優一 (Cygames)\n編曲 / 岡本優一 (Cygames)","bgm_MC253_juke","bgm_MC253","0:00","1:34"
"439","レキメキ！","キャラクターソング\n\n時間 / 01:25\n歌　 / ルイズマリー（鈴代紗弓）\n　　　イロハ（青山吉能）\n　　　ソノ（井上ほの花）\n作詞 / 青柳諒 (Arte Refact)\n作曲 / 青柳諒 (Arte Refact)・小出大和 (Cygames)\n編曲 / 青柳諒 (Arte Refact)","bgm_MC248","bgm_MC248","1:00","1:25"
"440","レキメキ！ (off drama ver.)","キャラクターソング\n\n時間 / 01:12\n歌　 / ルイズマリー（鈴代紗弓）\n　　　イロハ（青山吉能）\n　　　ソノ（井上ほの花）\n作詞 / 青柳諒 (Arte Refact)\n作曲 / 青柳諒 (Arte Refact)・小出大和 (Cygames)\n編曲 / 青柳諒 (Arte Refact)","bgm_MC248_OffDrama","bgm_MC248","0:47","1:12"
"441","アルケミック・リプレイ","ストーリーイベントミニコンテンツ\n-｢レキメキ！｣アレンジ-\n\n時間 / 01:59\n作曲 / 青柳諒 (Arte Refact)・小出大和 (Cygames)\n編曲 / 小出大和 (Cygames)","bgm_MC254_juke","bgm_MC254","0:00","1:59"
"442","ド令嬢カノンの華麗なるおリベンジ　～ツンデレおピンクを添えて～","ストーリーイベントテーマ\n-「Back×Back」アレンジ-\n\n時間 / 01:19\n作曲 / gratia・奈良ひより・Fi'Ne・Ryo Ito\n編曲 / 岡本優一 (Cygames)","bgm_MC255_juke","bgm_MC255","0:00","1:19"
"443","灼麗の剣奴 ゴブリンレディ","ストーリーイベントボスバトル\n\n時間 / 01:44\n作曲 / Enarak (Cygames)\n編曲 / Enarak (Cygames)","bgm_MC257_juke","bgm_MC257","0:00","1:44"
"444","Back×Back","キャラクターソング\n\n時間 / 01:31\n歌　 / カノン（幸村恵理）\n　　　ツムギ（木戸衣吹）\n作詞 / gratia・奈良ひより・Fi'Ne・Ryo Ito\n作曲 / gratia・奈良ひより・Fi'Ne・Ryo Ito\n編曲 / Fi'Ne","bgm_MC289","bgm_MC289","0:49","1:31"
"445","ド令嬢更生チャレンジ","ストーリーイベントミニコンテンツ\n-｢Back×Back｣アレンジ-\n\n時間 / 01:25\n作曲 / gratia・奈良ひより・Fi'Ne・Ryo Ito\n編曲 / 岡本優一（Cygames）","bgm_MC256_02_juke","bgm_MC256","0:00","1:25"
"446","サマードリーム・リフレイン　水平線の彼方の旅路","ストーリーイベントテーマ\n-「しあわせのあじ｣アレンジ-\n\n時間 / 01:21\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 小半大 ","bgm_MC262_juke","bgm_MC262","0:00","1:21"
"447","エリスのシャドウ","ストーリーイベントボスバトル\n-「エリス｣アレンジ-\n\n時間 / 02:00\n作曲 / 東大路憲太\n編曲 / Enarak (Cygames)","bgm_MC264_NoIntro_juke","bgm_MC264","0:00","2:00"
"448","しあわせのあじ","キャラクターソング\n\n時間 / 01:38\n歌　 / プレシア（高尾奏音）\n作詞 / 高尾奏之介（F.M.F）\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 高尾奏之介（F.M.F）","bgm_MC290","bgm_MC290","0:48","1:38"
"449","Summer Anemos, Summer Qualia","ストーリーイベントテーマ\n-「夏のひとひら｣アレンジ-\n\n時間 / 02:10\n作曲 / 山崎光（Arte Refact）\n編曲 / 小出大和（Cygames）","bgm_MC267A_juke","bgm_MC267A","0:00","2:10"
"450","ペンギャッチョ","ストーリーイベントボスバトル\n\n時間 / 01:31\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC270_juke","bgm_MC270","0:00","1:31"
"451","夏のひとひら","キャラクターソング\n\n時間 / 01:20\n歌　 / クリア（前田佳織里）\n　　　アネモネ（立花日菜）\n作詞 / 山崎光（Arte Refact）\n作曲 / 山崎光（Arte Refact）\n編曲 / 山崎光（Arte Refact）","bgm_MC291","bgm_MC291","0:39","1:20"
"452","ニノン、オーオクを作る","ストーリーイベントミニコンテンツ\n-｢夏のひとひら｣アレンジ-\n\n時間 / 01:37\n作曲 / 山崎光（Arte Refact）\n編曲 / 岡本優一（Cygames）","bgm_MC271_juke","bgm_MC271","0:00","1:37"
"453",", And I Will 掴み取るこの手で","ストーリーイベントテーマ\n-「Resonate　～そしてまだ見ぬ明日へ～｣アレンジ-\n\n時間 / 02:15\n作曲 / シノ（Dream Monster）\n編曲 / 中町友洋","bgm_MC279_juke","bgm_MC279","0:00","2:15"
"454","覇瞳皇帝'","ストーリーイベントボスバトル\n-「神たる者との決戦」\n 「Resonate　～そしてまだ見ぬ明日へ～｣アレンジ-\n\n時間 / 02:49\n作曲 / 西木康智・東大路憲太\n　　　シノ（Dream Monster）\n編曲 / 中町友洋","bgm_MC283_juke","bgm_MC283","0:00","2:49"
