12e6279ffed2209909f92e16f29bc4cfb483c71bfbce07d1fc2881d42dd257f3,e05c4998217dff5e4a4be2fe1b16fd60c26015bf4d8f55b2f2e363b1579661a2,e53a9a64175c95ee9e26720651c4ec54d1992eaa2b27236b7ef2c2cb3c545b3a,5a20f6ad838cabe497dcff30ea47740ec8150015ab7f037dddbc7958691137d8,a66fe4d389649ae5c61ac061627765b13dfe73a86f2b9928244de9d12fe87801,023dd2a27b75ca8e4ef0384f2da348c0b63f23f143733117333925405a0fcf9c,ce15e8dbf3f73fcbff36e25b618df649b196719b8ed29663c919fded22167606
"342","ストーリーイベントミニコンテンツ\n-｢妄想サマーハレーション｣アレンジ-\n\n時間 / 02:10\n作曲 / 出口遼\n編曲 / 小出大和（Cygames）","bgm_MC128","2:10","0:00","bgm_MC128_01_juke","【LIVE】流れるプール　夜"
"343","プリンセスナイト強化\n-｢プリンセスナイト｣アレンジ-\n\n時間 / 03:45\n作曲 / 西木康智\n編曲 / 佐藤遥（Cygames）","bgm_MC129","3:45","0:00","bgm_MC129_juke","プリンセスナイトの力"
"344","深域クエスト\n-｢紅焔の深域｣アレンジ-\n\n時間 / 00:59\n作曲 / 松尾早人\n編曲 / 多田彰文","bgm_MC130","0:59","0:00","bgm_MC130_juke","深奥なる領域へ至る"
"345","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC131","1:41","0:00","bgm_MC131_juke","紅焔の深域"
"346","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC132","1:41","0:00","bgm_MC132_juke","蒼波の深域"
"347","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC133","1:41","0:00","bgm_MC133_juke","翠嵐の深域"
"348","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC134","1:41","0:00","bgm_MC134_juke","珀天の深域"
"349","深域クエスト\n\n時間 / 01:41\n作曲 / 松尾早人\n編曲 / 松尾早人","bgm_MC135","1:41","0:00","bgm_MC135_juke","紫冥の深域"
"350","ストーリーイベントテーマ\n-｢Into The Trust｣アレンジ-\n\n時間 / 01:36\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 古見千桜子（Cygames）","bgm_MC136","1:36","0:00","bgm_MC136_juke","クーリィ・フューリィ・ブートキャンプ　鬼教官と鞭と…飴？"
"351","ストーリーイベントボスバトル\n\n時間 / 02:06\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_MC139","2:06","0:00","bgm_MC139_juke","剛雷獣・ライガホーン"
"352","キャラクターソング\n\n時間 / 01:30\n歌　 / エリコ（橋本ちなみ）\n　　　マコト（小松未可子）\n作詞 / Cocoro.（Dream Monster）\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 椿山日南子（Dream Monster）","bgm_MC151","1:30","1:00","bgm_MC151","Into The Trust"
"353","ミニゲーム\n-｢Into The Trust｣アレンジ-\n\n時間 / 01:51\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 小半大","bgm_MC140","1:51","0:00","bgm_MC140_juke","エリコとマコトの行軍（マーチ）A-Go-Go！"
"354","ミニゲーム\n-｢Into The Trust｣アレンジ-\n\n時間 / 03:23\n作曲 / 椿山日南子（Dream Monster）\n編曲 / 多田彰文","bgm_MC141","3:23","0:00","bgm_MC141_juke","新兵らよ、我に続け"
"355","バトルスタジアム\n\n時間 / 01:04\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC044","1:04","0:00","bgm_MC044_juke","決闘の舞台へ"
"356","バトルスタジアム\n\n時間 / 02:13\n作曲 / 畑田浩孝（Cygames）\n編曲 / 畑田浩孝（Cygames）","bgm_MC045","2:13","0:00","bgm_MC045_juke","バトルスタジアム、開幕！"
"357","ストーリーイベントテーマ\n-｢瞳に映るシルエット｣アレンジ-\n\n時間 / 01:20\n作曲 / ReNee\n編曲 / 多田彰文","bgm_MC143","1:20","0:00","bgm_MC143_juke","花咲く季節のサンセリテ"
"358","ストーリーイベントボスバトル\n\n時間 / 02:25\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC145","2:25","0:00","bgm_MC145_juke","魔物植物・モベルベ"
"359","キャラクターソング\n\n時間 / 01:29\n歌　 / スズメ（悠木碧）\n　　　キョウカ（小倉唯）\n作詞 / ReNee\n作曲 / ReNee\n編曲 / 戸嶋友祐","bgm_MC152","1:29","0:50","bgm_MC152","瞳に映るシルエット"
"360","メインクエストボスバトル\n-｢業火燃え盛りし密林｣アレンジ-\n\n時間 / 01:31\n作曲 / 松尾早人、IM.Lab\n編曲 / 松尾早人","bgm_MC142","1:31","0:00","bgm_MC142_juke","煉獄に鎮座せしもの"
"361","ストーリーイベントテーマ\n-｢ミラクル・ジュエル・パレード！｣アレンジ-\n\n時間 / 02:43\n作曲 / INN\n編曲 / 小出大和（Cygames）","bgm_MC147","2:43","0:00","bgm_MC147_juke","グランドリーム・オンパレード　宝石兎と秘密の仲間たち"
"362","ストーリーイベントボスバトル\n\n時間 / 01:42\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC150","1:42","0:00","bgm_MC150_juke","捲土重来・ジーノ"
"363","キャラクターソング\n\n時間 / 01:23\n歌　 / クルル（田中美海）\n作詞 / 松井洋平\n作曲 / INN\n編曲 / INN","bgm_MC153","1:23","0:48","bgm_MC153","ミラクル・ジュエル・パレード！"
"364","ストーリーイベントミニコンテンツ\n-｢ミラクル・ジュエル・パレード！｣アレンジ-\n\n時間 / 02:47\n作曲 / INN\n編曲 / IM.Lab","bgm_MC148","2:47","0:00","bgm_MC148_juke","グランドリームパークガイド"
"365","ストーリーイベントテーマ\n-「Ai-愛 逃避行★」「最終クエストです★」アレンジ-\n\n時間 / 01:45\n作曲 / 梯拓哉 (Cygames）、IM.Lab\n編曲 / 塚越廉","bgm_MC156","1:45","0:00","bgm_MC156_juke","あつまれイイコトクラブ！　ミソラの愉快な夏休み"
"366","ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC158","2:00","0:00","bgm_MC158_juke","真夏のバーサークスライム"
"367","キャラクターソング\n\n時間 / 01:24\n歌　 / ミソラ（鬼頭明里）\n作詞 / 岩井彩夏 (Cygames)\n作曲 / 梯拓哉 (Cygames)\n編曲 / 梯拓哉 (Cygames)","bgm_MC154","1:24","0:42","bgm_MC154","Ai-愛 逃避行★"
"368","ストーリーイベントミニコンテンツ\n-｢Ai-愛 逃避行★｣アレンジ-\n\n時間 / 01:48\n作曲 / 梯拓哉 (Cygames)\n編曲 / 古見千桜子（Cygames）","bgm_MC157","1:48","0:00","bgm_MC157_juke","サマーフォトフィックス"
"369","ストーリーイベントテーマ\n-「Re:collection」アレンジ-\n\n時間 / 01:27\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / Enarak（Cygames）","bgm_MC162","1:27","0:00","bgm_MC162_juke","幻惑の妖精　‐真夏の園で舞踊る影‐"
"370","ストーリーイベントボスバトル\n\n時間 / 02:15\n作曲 / 田山里奈\n編曲 / 田山里奈","bgm_MC164","2:15","0:00","bgm_MC164_juke","カオス・ジェネレーター"
"371","キャラクターソング\n\n時間 / 01:28\n歌　 / アメス（相坂優歌）\n作詞 / Mitsu（TRYTONELABO）\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 滝澤俊輔（TRYTONELABO）","bgm_MC193","1:28","0:50","bgm_MC193","Re:collection"
"372","ストーリーイベントミニコンテンツ\n-｢Re:collection｣アレンジ-\n\n時間 / 01:49\n作曲 / 滝澤俊輔（TRYTONELABO）\n編曲 / 小半大","bgm_MC163A","1:49","0:00","bgm_MC163A_juke","水都のメモリエ"
"373","煉獄のリベリオン\n\n時間 / 01:29\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC178A","1:29","0:00","bgm_MC178A_juke","煉獄のリベリオン"
"374","煉獄のリベリオン\n\n時間 / 01:39\n作曲 / 中町友洋\n編曲 / 中町友洋","bgm_MC178B","1:39","0:00","bgm_MC178B_juke","煉獄のリベリオン　-六凶・魔蜘アラクネ-"
"375","煉獄のリベリオンボスバトル\n\n時間 / 01:40\n作曲 / 植田能平\n編曲 / 植田能平","bgm_MC179A","1:40","0:00","bgm_MC179A_juke","魔蜘のしもべとの戦い"
"376","煉獄のリベリオンボスバトル\n\n時間 / 01:40\n作曲 / 植田能平・関根修平（Cygames）\n編曲 / 植田能平","bgm_MC179B","1:40","0:00","bgm_MC179B_juke","惑いの盗賊三姉妹"
"377","煉獄のリベリオンボスバトル\n\n時間 / 02:07\n作曲 / IM.Lab・Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC180","2:07","0:00","bgm_MC180_juke","革命の乙女との戦い"
"378","煉獄のリベリオンボスバトル\n\n時間 / 02:05\n作曲 / IM.Lab\n編曲 / 東大路憲太","bgm_MC181A","2:05","0:00","bgm_MC181A_juke","地底の獄に潜みし凶禍"
"379","煉獄のリベリオンボスバトル\n\n時間 / 02:08\n作曲 / IM.Lab\n編曲 / 東大路憲太","bgm_MC181B","2:08","0:00","bgm_MC181B_juke","目覚めし六凶・魔蜘アラクネ"
"380","煉獄のリベリオンボスバトル\n-「Yes！ Precious Harmony！」アレンジ-\n\n時間 / 02:49\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 中川峻彰","bgm_MC182","2:49","0:00","bgm_MC182_juke","再臨せし姫装の氷竜"
"381","キャラクターテーマ\n\n時間 / 01:47\n作曲 / 中川峻彰\n編曲 / 中川峻彰","bgm_M408","1:47","0:00","bgm_M408_juke","シェフィ"
"382","キャラクターテーマ\n\n時間 / 02:50\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC069","2:50","0:00","bgm_MC069_juke","フレイヤ"
"383","キャラクターテーマ\n\n時間 / 01:55\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC059","1:55","0:00","bgm_MC059_juke","アラクネ"
"384","メインストーリー\n\n時間 / 03:15\n作曲 / IM.Lab\n編曲 / IM.Lab","bgm_MC176B","3:15","0:00","bgm_MC176B_juke","顕れし魔蜘の真像"
"385","ストーリーイベントテーマ\n-「Dance in the Fragrance」「アルケス錬金堂」\nアレンジ-\n\n時間 / 01:37\n作曲 / 山本真央樹、小出大和（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC186","1:37","0:00","bgm_MC186_juke","ノゾミの一日店長記　こちらアルケス錬金堂"
"386","ストーリーイベントボスバトル\n\n時間 / 01:34\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC188","1:34","0:00","bgm_MC188_juke","ヴェノム・ヒュドラ"
"387","キャラクターソング\n\n時間 / 01:24\n歌　 / ノゾミ（日笠陽子）\n　　　ルイズマリー（鈴代紗弓）\n　　　イロハ（青山吉能）\n　　　ソノ（井上ほの花）\n作詞 / 児玉雨子\n作曲 / 山本真央樹\n編曲 / 山本真央樹","bgm_MC207","1:24","0:55","bgm_MC207","Dance in the Fragrance"
"388","ストーリーイベントミニコンテンツ\n-｢Dance in the Fragrance｣アレンジ-\n\n時間 / 02:01\n作曲 / 山本真央樹\n編曲 / Enarak（Cygames）","bgm_MC187","2:01","0:00","bgm_MC187_juke","アルケス錬金堂　業務日誌"
"389","キャラクターテーマ\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC189A","1:39","0:00","bgm_MC189A_juke","アルケス錬金堂"
"390","キャラクターテーマ\n\n時間 / 01:39\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）、岡本優一（Cygames）","bgm_MC189B","1:39","0:00","bgm_MC189B_juke","アルケス錬金堂（ケミカルVer.）"
"391","ストーリーイベントテーマ\n-「バンディ・ラウディ・ショータイム！！」アレンジ-\n\n時間 / 01:55\n作曲 / 関根修平（Cygames）\n編曲 / 塚越廉","bgm_MC194","1:55","0:00","bgm_MC194_juke","バンディット・リターンズ　炎国の無法姉妹"
"392","ストーリーイベントボスバトル\n\n時間 / 01:37\n作曲 / 中村博\n編曲 / 中村博","bgm_MC196","1:37","0:00","bgm_MC196_juke","ハイパー・ダッシュジョー"
"393","キャラクターソング\n\n時間 / 01:20\n歌　 / ヤマト (ファイルーズあい)\n　　　ワカナ (石見舞菜香)\n　　　フブキ (花井美春)\n作詞 / 岩井彩夏（Cygames）・佐藤遥（Cygames）\n作曲 / 関根修平（Cygames）\n編曲 / 関根修平（Cygames）","bgm_MC208","1:20","0:39","bgm_MC208","バンディ・ラウディ・ショータイム！！"
"394","ミニゲーム\n-「バンディ・ラウディ・ショータイム！！」アレンジ-\n\n時間 / 01:54\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC198","1:54","0:00","bgm_MC198_juke","激突！破壊！イリーガルタンクウォー"
"395","ミニゲーム\n-「バンディ・シスターズ」アレンジ-\n\n時間 / 00:23\n作曲 / 関根修平（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC199","0:23","0:00","bgm_MC199_Battle","いざ出撃！戦車バトル！"
"396","究極錬成\n-「アルケス錬金堂」アレンジ-\n\n時間 / 02:05\n作曲 / 小出大和（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC190","2:05","0:00","bgm_MC190_juke","レッツ！『究極錬成』！"
"397","追憶の戦域\n\n時間 / 01:18\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC191","1:18","0:00","bgm_MC191_juke","歴戦の難敵、此の地にて邂逅す"
"398","ストーリーイベントテーマ\n-「今宵、ヤドリギの下で」アレンジ-\n\n時間 / 03:26\n作曲 / 矢野達也\n編曲 / 小出大和（Cygames）","bgm_MC213","3:26","0:00","bgm_MC213_juke","ラブ＆パニッシュメント　悪魔が届けるクリスマス"
"399","ストーリーイベントボスバトル\n\n時間 / 01:37\n作曲 / 小出大和（Cygames）\n編曲 / 小出大和（Cygames）","bgm_MC214","1:37","0:00","bgm_MC214_juke","ゴーストキッド・ベロリー"
"400","キャラクターソング\n\n時間 / 01:31\n歌　 / ライラエル（河瀬茉希）\n　　　イオ（伊藤静）\n作詞 / 結城アイラ\n作曲 / 矢野達也\n編曲 / 矢野達也","bgm_MC209","1:31","0:51","bgm_MC209","今宵、ヤドリギの下で"
"401","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC165","1:24","0:00","bgm_MC165_juke","朱火の深淵"
"402","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC166","1:24","0:00","bgm_MC166_juke","轟流の深淵"
"403","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC167","1:24","0:00","bgm_MC167_juke","烈風の深淵"
"404","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC168","1:24","0:00","bgm_MC168_juke","燦爛の深淵"
"405","深淵討伐戦\n\n時間 / 01:24\n作曲 / 松尾早人・塚越廉・IM.Lab\n編曲 / IM.Lab","bgm_MC169","1:24","0:00","bgm_MC169_juke","玄闇の深淵"
"406","深淵討伐戦\n\n時間 / 01:56\n作曲 / 塚越廉・松尾早人\n編曲 / 塚越廉","bgm_MC170","1:56","0:00","bgm_MC170_juke","深き伏魔の淵へ征く"
"407","ストーリーイベントテーマ\n-「Tiny Twin Stars！！」アレンジ-\n\n時間 / 01:21\n作曲 / 金山秀士 (Dream Monster)\n編曲 / 岡本優一（Cygames）","bgm_MC215B","1:21","0:00","bgm_MC215B_juke","迎春ジオ・ゲヘナ　蛇乙女と双麗の剣士"
"408","ストーリーイベントボスバトル\n\n時間 / 01:35\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC216","1:35","0:00","bgm_MC216_juke","呪縛の大蛇・メドゥシアナ"
"409","キャラクターソング\n\n時間 / 01:34\n歌　 / メドゥーサ（水橋かおり）\n　　　モニカ（辻あゆみ）\n作詞 / 金山秀士 (Dream Monster)\n作曲 / 金山秀士 (Dream Monster)\n編曲 / 金山秀士 (Dream Monster)\nブラスアレンジ / 佐藤厚仁 (Dream Monster)","bgm_MC210","1:34","0:57","bgm_MC210","Tiny Twin Stars！！"
"410","メインクエスト\n\n時間 / 03:09\n作曲 / 東大路憲太\n編曲 / Enarak（Cygames）","bgm_MC201","3:09","0:00","bgm_MC201_juke","深閑たる永凍の冥界"
"411","メインクエスト\n\n時間 / 01:36\n作曲 / Enarak（Cygames）\n編曲 / Enarak（Cygames）","bgm_MC202","1:36","0:00","bgm_MC202_juke","ジオ・ニヴルヘルの戦い"
"412","メインクエストボスバトル\n\n時間 / 01:57\n作曲 / 守谷勇人\n編曲 / 守谷勇人","bgm_MC203","1:57","0:00","bgm_MC203_juke","静寂なる世界の強敵"
"413","キャラクターテーマ\n-「深閑たる永凍の冥界」アレンジ-\n\n時間 / 02:54\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_MC160","2:54","0:00","bgm_MC160_juke","ヴァイオレット"
"414","キャラクターテーマ\n\n時間 / 03:24\n作曲 / Enarak（Cygames）\n編曲 / 岡本優一（Cygames）・Enarak（Cygames）","bgm_MC205","3:24","0:00","bgm_MC205_juke","三魔姫属"
"415","ストーリーイベントテーマ\n-「Phosphorus」アレンジ-\n\n時間 / 03:13\n作曲 / 竹次幸司\n編曲 / 小出大和（Cygames）","bgm_MC219","3:13","0:00","bgm_MC219_juke","ダイブ・アストルム　七つの願いと創世の残響"
"416","ストーリーイベントボスバトル\n-「ぶつかり合う闘志」アレンジ-\n\n時間 / 01:44\n作曲 / 伊藤翼\n編曲 / 岡本優一（Cygames）","bgm_MC223","1:44","0:00","bgm_MC223_juke","妖狐カムラヲ・始原"
"417","ストーリーイベントボスバトル\n\n時間 / 02:24\n作曲 / 中川峻彰・西木康智・伊藤翼・\n　　　サワグチカズヒコ・東大路憲太・ウツミタカアキ・\n　　　伊禮完（Cygames）・白井友規（Cygames）\n編曲 / 中川峻彰","bgm_MC224","2:24","0:00","bgm_MC224_juke","アルファ・レガリアス"
"418","キャラクターソング\n\n時間 / 01:30\n歌　 / フィオ（相坂優歌）\n作詞 / カイザー恵理菜・竹次幸司\n作曲 / 竹次幸司\n編曲 / 竹次幸司","bgm_MC245","1:30","0:46","bgm_MC245","Phosphorus"
"419","ストーリーイベントミニコンテンツ\n-｢Phosphorus｣アレンジ-\n\n時間 / 01:30\n作曲 / 竹次幸司\n編曲 / 塚越廉","bgm_MC220A","1:30","0:00","bgm_MC220A_juke","アストルム開発録"
"420","キャラバン\n-｢Precious Journey｣アレンジ-\n\n時間 / 01:39\n作曲 / 東大路憲太\n編曲 / 小出大和（Cygames）","bgm_MC211","1:39","0:00","bgm_MC211_juke","静寂なる世界をゆく"
"421","キャラクターテーマ\n\n時間 / 01:59\n作曲 / 伊藤翼\n編曲 / 伊藤翼","bgm_M23","1:59","0:00","bgm_M23_juke","誓約女君"
"422","キャラクターテーマ\n\n時間 / 02:55\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M177","2:55","0:00","bgm_M177_juke","変貌大妃"
"423","キャラクターテーマ\n\n時間 / 04:14\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","bgm_M307","4:14","0:00","bgm_M307_juke","迷宮女王"
"424","キャラクターテーマ\n\n時間 / 01:53\n作曲 / 西木康智\n編曲 / 西木康智","bgm_M49","1:53","0:00","bgm_M49_juke","覇瞳皇帝"
"425","キャラクターテーマ\n\n時間 / 02:05\n作曲 / サワグチカズヒコ\n編曲 / サワグチカズヒコ","bgm_M50","2:05","0:00","bgm_M50_juke","跳躍王"
"426","キャラクターテーマ\n\n時間 / 02:21\n作曲 / ウツミタカアキ・伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","bgm_M600","2:21","0:00","bgm_M600_juke","嚮導老君"
"427","キャラクターソング\n\n時間 / 01:31\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / 利根川貴之\n作曲 / 利根川貴之・坂和也\n編曲 / Dr.Usui・坂和也＆Wicky.Recordings","bgm_MC244","1:31","1:04","bgm_MC244","つなぐもの"
"428","ストーリーイベントテーマ\n-「星詠みの祈り唄」アレンジ-\n\n時間 / 01:21\n作曲 / Enarak (Cygames)\n編曲 / 吉川美矩","bgm_MC226","1:21","0:00","bgm_MC226_juke","アンダンテ・ウィズ・ユー　祈りの双唱が響く時"
"429","ストーリーイベントボスバトル\n\n時間 / 00:50\n作曲 / 岡本 優一（Cygames）\n編曲 / 岡本 優一（Cygames）","bgm_MC228","0:50","0:00","bgm_MC228_juke","歪音の精霊"
"430","キャラクターソング\n\n時間 / 01:30\n歌　 / チカ (福原綾香)\n　　　ランファ (原田彩楓)\n作詞 / Enarak (Cygames)\n作曲 / Enarak (Cygames)\n編曲 / Enarak (Cygames)","bgm_MC246","1:30","0:45","bgm_MC246","星詠みの祈り唄"
"431","ストーリーイベントミニコンテンツ\n-｢星詠みの祈り唄｣アレンジ-\n\n時間 / 01:58\n作曲 / Enarak (Cygames)\n編曲 / 多田彰文","bgm_MC227B","1:58","0:00","bgm_MC227B_juke","コンサートポスター"
"432","クランバトル\n\n時間 / 03:06\n作曲 / 東大路憲太\n編曲 / 東大路憲太","bgm_M55","3:06","0:00","bgm_M55_juke","魔星獣決戦"
"433","ストーリーイベントテーマ\n-「AIだ！勇気だ！ギガンティックローチェ」アレンジ-\n\n時間 / 01:11\n作曲 / 千葉梓 (Cygames)\n編曲 / 岡本 優一 (Cygames)","bgm_MC234B","1:11","0:00","bgm_MC234B_juke","超鋼乙女ギガンティックローチェ　～大出撃！ランドソル爆発4.1秒前～"
"434","ストーリーイベントボスバトル\n\n時間 / 02:59\n作曲 / 田山里奈・千葉梓（Cygames）\n編曲 / 田山里奈","bgm_MC236","2:59","0:00","bgm_MC236_juke","巨鋼機獣・改造ゲドン"
"435","キャラクターソング\n\n時間 / 01:34\n歌　 / クローチェ (長谷川育美)\n作詞 / 千葉梓 (Cygames)\n作曲 / 千葉梓 (Cygames)\n編曲 / 千葉梓 (Cygames)・加藤慶久 (Cygames)","bgm_MC247","1:34","0:39","bgm_MC247","AIだ！勇気だ！ギガンティックローチェ"
"436","ストーリーイベントミニコンテンツ\n-｢AIだ！勇気だ！ギガンティックローチェ｣アレンジ-\n\n時間 / 00:58\n作曲 / 千葉梓 (Cygames)\n編曲 / 岡本 優一 (Cygames)","bgm_MC234A","0:58","0:00","bgm_MC234A_juke","なぜなにクローチェ"
"437","ストーリーイベントテーマ\n-「レキメキ！」アレンジ-\n\n時間 / 01:33\n作曲 / 青柳諒 (Arte Refact)・小出大和(Cygames)\n編曲 / 小出大和 (Cygames)","bgm_MC250","1:33","0:00","bgm_MC250_juke","結集！　アルケス＆トワイライト　闇医者と二人の錬金術師"
"438","ストーリーイベントボスバトル\n\n時間 / 01:34\n作曲 / 岡本優一 (Cygames)\n編曲 / 岡本優一 (Cygames)","bgm_MC253","1:34","0:00","bgm_MC253_juke","恋する錬僕・ホムンホムン"
"439","キャラクターソング\n\n時間 / 01:25\n歌　 / ルイズマリー（鈴代紗弓）\n　　　イロハ（青山吉能）\n　　　ソノ（井上ほの花）\n作詞 / 青柳諒 (Arte Refact)\n作曲 / 青柳諒 (Arte Refact)・小出大和 (Cygames)\n編曲 / 青柳諒 (Arte Refact)","bgm_MC248","1:25","1:00","bgm_MC248","レキメキ！"
"440","キャラクターソング\n\n時間 / 01:12\n歌　 / ルイズマリー（鈴代紗弓）\n　　　イロハ（青山吉能）\n　　　ソノ（井上ほの花）\n作詞 / 青柳諒 (Arte Refact)\n作曲 / 青柳諒 (Arte Refact)・小出大和 (Cygames)\n編曲 / 青柳諒 (Arte Refact)","bgm_MC248","1:12","0:47","bgm_MC248_OffDrama","レキメキ！ (off drama ver.)"
"441","ストーリーイベントミニコンテンツ\n-｢レキメキ！｣アレンジ-\n\n時間 / 01:59\n作曲 / 青柳諒 (Arte Refact)・小出大和 (Cygames)\n編曲 / 小出大和 (Cygames)","bgm_MC254","1:59","0:00","bgm_MC254_juke","アルケミック・リプレイ"
"442","ストーリーイベントテーマ\n-「Back×Back」アレンジ-\n\n時間 / 01:19\n作曲 / gratia・奈良ひより・Fi'Ne・Ryo Ito\n編曲 / 岡本優一 (Cygames)","bgm_MC255","1:19","0:00","bgm_MC255_juke","ド令嬢カノンの華麗なるおリベンジ　～ツンデレおピンクを添えて～"
"443","ストーリーイベントボスバトル\n\n時間 / 01:44\n作曲 / Enarak (Cygames)\n編曲 / Enarak (Cygames)","bgm_MC257","1:44","0:00","bgm_MC257_juke","灼麗の剣奴 ゴブリンレディ"
"444","キャラクターソング\n\n時間 / 01:31\n歌　 / カノン（幸村恵理）\n　　　ツムギ（木戸衣吹）\n作詞 / gratia・奈良ひより・Fi'Ne・Ryo Ito\n作曲 / gratia・奈良ひより・Fi'Ne・Ryo Ito\n編曲 / Fi'Ne","bgm_MC289","1:31","0:49","bgm_MC289","Back×Back"
"445","ストーリーイベントミニコンテンツ\n-｢Back×Back｣アレンジ-\n\n時間 / 01:25\n作曲 / gratia・奈良ひより・Fi'Ne・Ryo Ito\n編曲 / 岡本優一（Cygames）","bgm_MC256","1:25","0:00","bgm_MC256_02_juke","ド令嬢更生チャレンジ"
"446","ストーリーイベントテーマ\n-「しあわせのあじ｣アレンジ-\n\n時間 / 01:21\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 小半大 ","bgm_MC262","1:21","0:00","bgm_MC262_juke","サマードリーム・リフレイン　水平線の彼方の旅路"
"447","ストーリーイベントボスバトル\n-「エリス｣アレンジ-\n\n時間 / 02:00\n作曲 / 東大路憲太\n編曲 / Enarak (Cygames)","bgm_MC264","2:00","0:00","bgm_MC264_NoIntro_juke","エリスのシャドウ"
"448","キャラクターソング\n\n時間 / 01:38\n歌　 / プレシア（高尾奏音）\n作詞 / 高尾奏之介（F.M.F）\n作曲 / 高尾奏之介（F.M.F）\n編曲 / 高尾奏之介（F.M.F）","bgm_MC290","1:38","0:48","bgm_MC290","しあわせのあじ"
"449","ストーリーイベントテーマ\n-「夏のひとひら｣アレンジ-\n\n時間 / 02:10\n作曲 / 山崎光（Arte Refact）\n編曲 / 小出大和（Cygames）","bgm_MC267A","2:10","0:00","bgm_MC267A_juke","Summer Anemos, Summer Qualia"
"450","ストーリーイベントボスバトル\n\n時間 / 01:31\n作曲 / 岡本優一（Cygames）\n編曲 / 岡本優一（Cygames）","bgm_MC270","1:31","0:00","bgm_MC270_juke","ペンギャッチョ"
"451","キャラクターソング\n\n時間 / 01:20\n歌　 / クリア（前田佳織里）\n　　　アネモネ（立花日菜）\n作詞 / 山崎光（Arte Refact）\n作曲 / 山崎光（Arte Refact）\n編曲 / 山崎光（Arte Refact）","bgm_MC291","1:20","0:39","bgm_MC291","夏のひとひら"
"452","ストーリーイベントミニコンテンツ\n-｢夏のひとひら｣アレンジ-\n\n時間 / 01:37\n作曲 / 山崎光（Arte Refact）\n編曲 / 岡本優一（Cygames）","bgm_MC271","1:37","0:00","bgm_MC271_juke","ニノン、オーオクを作る"
"453","ストーリーイベントテーマ\n-「Resonate　～そしてまだ見ぬ明日へ～｣アレンジ-\n\n時間 / 02:15\n作曲 / シノ（Dream Monster）\n編曲 / 中町友洋","bgm_MC279","2:15","0:00","bgm_MC279_juke",", And I Will 掴み取るこの手で"
