ae824303450318d66f3529ceb9e66f85de23abdb37a425b9aeb79c0332299a43,30a431fea16e4c6af08511155872fd046028d5255927f5b4ddc8220c175af594,6938c601f0eed1d18d6d641e88fc78f24ea4b6f4d42a1dfc3322e91ec9d4d2fb,13e4663a3d2f5d6823033faa0018ab6159976dab682354b2943e2202e43a24bf,216d1defec1085004326956dacf71840755a2b2cd2b1fd7b07cef6d6cd4764c0
"504","83001022","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"505","83001022","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"506","83001022","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"507","83001022","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"508","83001022","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"509","83001023","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"510","83001023","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"511","83001023","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"512","83001023","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"513","83001023","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"514","83001023","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"515","83001024","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"516","83001024","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"517","83001024","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"518","83001024","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"519","83001024","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"520","83001024","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"521","83001025","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"522","83001025","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"523","83001025","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"524","83001025","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"525","83001025","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"526","83001025","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"527","83001026","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"528","83001026","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"529","83001026","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"530","83001026","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"531","83001026","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"532","83001026","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"533","83001027","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"534","83001027","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"535","83001027","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"536","83001027","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"537","83001027","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"538","83001027","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"539","83001028","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"540","83001028","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"541","83001028","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"542","83001028","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"543","83001028","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"544","83001028","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"545","83001029","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"546","83001029","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"547","83001029","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"548","83001029","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"549","83001029","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"550","83001029","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"551","83001030","14","바람 속성 보너스 (특대) 증가","바람 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 바람 속성 이외의 속성 보너스는 무효화된다."
"552","83001030","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"553","83001030","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"554","83001030","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"555","83001030","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"556","83001030","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"557","83001030","boss_tp_down_cut","TP 감소 컷","전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다."
"558","83001030","5","물리 공격력 감소","전투 시작 시 모든 캐릭터의 물리 공격력이 (대) 감소한다."
"559","83001030","6","마법 공격력 감소","전투 시작 시 모든 캐릭터의 마법 공격력이 (대) 감소한다."
"560","84001001","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"561","84001001","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"562","84001001","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"563","84001001","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"564","84001001","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"565","84001001","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"566","84001002","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"567","84001002","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"568","84001002","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"569","84001002","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"570","84001002","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"571","84001002","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"572","84001003","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"573","84001003","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"574","84001003","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"575","84001003","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"576","84001003","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"577","84001003","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"578","84001004","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"579","84001004","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"580","84001004","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"581","84001004","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"582","84001004","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"583","84001004","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"584","84001005","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"585","84001005","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"586","84001005","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"587","84001005","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"588","84001005","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"589","84001005","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"590","84001006","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"591","84001006","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"592","84001006","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"593","84001006","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"594","84001006","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"595","84001006","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"596","84001007","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"597","84001007","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"598","84001007","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"599","84001007","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"600","84001007","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"601","84001007","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"602","84001008","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"603","84001008","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"604","84001008","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"605","84001008","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"606","84001008","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"607","84001008","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"608","84001009","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"609","84001009","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"610","84001009","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"611","84001009","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"612","84001009","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"613","84001009","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"614","84001010","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"615","84001010","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"616","84001010","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"617","84001010","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"618","84001010","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"619","84001010","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"620","84001010","boss_tp_down_cut","TP 감소 컷","전투 시작 시 모든 몬스터의  TP 감소\n100％ 컷 상태가 된다."
"621","84001010","8","마법 방어력 감소","전투 시작 시 모든 캐릭터의 마법 방어력이 (대) 감소한다."
"622","84001011","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"623","84001011","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"624","84001011","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"625","84001011","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"626","84001011","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"627","84001011","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"628","84001012","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"629","84001012","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"630","84001012","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"631","84001012","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"632","84001012","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"633","84001012","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"634","84001013","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"635","84001013","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"636","84001013","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"637","84001013","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"638","84001013","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"639","84001013","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"640","84001014","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"641","84001014","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"642","84001014","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"643","84001014","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"644","84001014","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"645","84001014","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"646","84001015","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"647","84001015","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"648","84001015","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"649","84001015","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"650","84001015","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"651","84001015","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"652","84001016","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"653","84001016","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"654","84001016","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"655","84001016","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"656","84001016","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"657","84001016","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"658","84001017","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"659","84001017","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"660","84001017","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"661","84001017","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"662","84001017","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"663","84001017","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"664","84001018","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"665","84001018","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
"666","84001018","17","TP 상승 최대치 부여","전투 시작 시 모든 캐릭터의 TP 상승 최대치를 150로 한다."
"667","84001018","boss_def_lower_limit","물리 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 물리 방어력이 (중) 증가한다. 이 효과는 물리 방어력 감소의 영향을 받지 않는다."
"668","84001018","boss_magic_def_lower_limit","마법 방어력(감소 불가) 증가","전투 시작 시 모든 몬스터의 마법 방어력이 (중) 증가한다. 이 효과는 마법 방어력 감소의 영향을 받지 않는다."
"669","84001018","9","HP 흡수 감소","전투 시작 시 모든 캐릭터의 HP 흡수가 (대) 감소한다."
"670","84001019","15","빛 속성 보너스(특대) 증가","빛 속성 캐릭터가 4명 이상 편성되었을 때 캐릭터의 속성 보너스를 강화한다. 빛 속성 이외의 속성 보너스는 무효화된다."
"671","84001019","11","심역 몬스터","모든 몬스터의 한 번의 행동으로 받는 데미지 수치가 감쇠된다. 데미지 수치가 상승할수록 감쇠율도 상승한다."
